trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
55,55_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2107,100,1000,0.001000000000000000020816681712
56,56_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2804,779,71,746,0.995141929533626901083209759236
57,57_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2732,834,96,645,0.919357531832275198802051363600
58,58_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2942,889,48,993,0.955356209564423020097478911339
59,59_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2819,1220,59,1000,0.998999999999999999111821580300
60,60_0,FAILED,GenerationStep_1,,,3941,1,55,761,0.875600434899486801398893476289
61,61_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2525,1,1000,0.001000000000000000020816681712
62,62_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4371,100,1000,0.001000000000000000020816681712
63,63_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4107,1,1000,0.001000000000000000020816681712
64,64_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3689,3912,100,1000,0.998999999999999999111821580300
65,65_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,3714,100,1,0.001000000000000000020816681712
66,66_0,FAILED,GenerationStep_1,,,1,1,100,1000,0.998999999999999999111821580300
67,67_0,FAILED,GenerationStep_1,,,5000,1,100,1,0.001000000000000000020816681712
68,68_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,3477,1,1000,0.998999999999999999111821580300
69,69_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2530,100,1000,0.998999999999999999111821580300
70,70_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4804,3288,1,1,0.998999999999999999111821580300
71,71_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4661,100,1,0.998999999999999999111821580300
72,72_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1,1,1,1,0.998999999999999999111821580300
73,73_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4846,100,1,0.001000000000000000020816681712
74,74_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4395,1,1000,0.001000000000000000020816681712
75,75_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2973,1,1000,0.001000000000000000020816681712
76,76_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2522,100,1,0.001000000000000000020816681712
77,77_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4347,100,1,0.998999999999999999111821580300
78,78_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,3910,1,1,0.001000000000000000020816681712
79,79_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2034,1,1,0.998999999999999999111821580300
80,80_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4094,100,1,0.998999999999999999111821580300
81,81_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,23.000000000000000000000000000000,1,12,1,1000,0.001000000000000000020816681712
82,82_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,3480,100,1000,0.998999999999999999111821580300
83,83_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2726,100,1,0.998999999999999999111821580300
84,84_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,3294,100,1000,0.001000000000000000020816681712
85,85_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,21.000000000000000000000000000000,5000,1,1,1000,0.998999999999999999111821580300
86,86_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2592,100,1000,0.001000000000000000020816681712
87,87_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4116,1,1,0.998999999999999999111821580300
88,88_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,3725,100,1000,0.998999999999999999111821580300
89,89_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,5000,1,1,1,0.001000000000000000020816681712
90,90_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,692,4194,65,38,0.001000000000000000020816681712
91,91_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2367,65,878,0.998999999999999999111821580300
92,92_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,2170,65,171,0.998999999999999999111821580300
93,93_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1142,818,65,272,0.998999999999999999111821580300
94,94_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1456,777,73,809,0.998999999999999999111821580300
95,95_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,4175,67,193,0.001000000000000000020816681712
96,96_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,445,3135,63,495,0.998999999999999999111821580300
97,97_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4200,4930,65,1000,0.001000000000000000020816681712
98,98_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4947,67,709,0.001000000000000000020816681712
99,99_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1673,1552,78,936,0.935651765903438681348802674620
100,100_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1730,63,990,0.998999999999999999111821580300
101,101_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,922,767,64,907,0.998999999999999999111821580300
102,102_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1346,546,67,957,0.001000000000000000020816681712
103,103_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,981,64,30,0.998999999999999999111821580300
104,104_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4612,2855,64,559,0.998999999999999999111821580300
105,105_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,338,2222,66,971,0.001000000000000000020816681712
106,106_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2158,3194,42,894,0.001000000000000000020816681712
107,107_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4517,3122,66,54,0.001000000000000000020816681712
108,108_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4163,808,67,67,0.998999999999999999111821580300
109,109_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,3017,63,638,0.998999999999999999111821580300
110,110_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1203,4172,76,537,0.001000000000000000020816681712
111,111_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1476,3025,66,438,0.998999999999999999111821580300
112,112_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,844,2258,53,938,0.998999999999999999111821580300
113,113_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,4253,66,231,0.998999999999999999111821580300
114,114_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1678,1612,63,903,0.001000000000000000020816681712
115,115_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,38.000000000000000000000000000000,3598,270,30,132,0.998999999999999999111821580300
116,116_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,681,684,67,367,0.998999999999999999111821580300
117,117_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,474,1425,64,877,0.998999999999999999111821580300
118,118_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1241,777,25,188,0.998999999999999999111821580300
119,119_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3261,3054,54,956,0.998999999999999999111821580300
120,120_0,FAILED,GenerationStep_1,,,3903,1,99,641,0.822751892627675118774277507327
121,121_0,FAILED,GenerationStep_1,,,3773,1,70,671,0.631521865854029806897074195149
122,122_0,FAILED,GenerationStep_1,,,1442,1,34,684,0.953886179200050143833777838154
123,123_0,FAILED,GenerationStep_1,,,5000,1,83,645,0.998999999999999999111821580300
124,124_0,FAILED,GenerationStep_1,,,4811,1,60,645,0.456898977594693944670467544711
125,125_0,FAILED,GenerationStep_1,,,3767,1,100,784,0.763901941673111650743521749973
126,126_0,FAILED,GenerationStep_1,,,4286,1,100,544,0.695567563194356308642340991355
127,127_0,FAILED,GenerationStep_1,,,1616,1,4,673,0.911313712013348542484436620725
128,128_0,FAILED,GenerationStep_1,,,5000,1,100,644,0.646371887291009805664998566499
129,129_0,FAILED,GenerationStep_1,,,4872,1,65,642,0.081383289683604198572197674366
130,130_0,FAILED,GenerationStep_1,,,3008,1,64,546,0.406220269085064700220755185001
131,131_0,FAILED,GenerationStep_1,,,1069,1,100,648,0.998999999999999999111821580300
132,132_0,FAILED,GenerationStep_1,,,1517,1,56,634,0.329609884597777846870769735688
133,133_0,FAILED,GenerationStep_1,,,4952,1,81,724,0.446936169529409788037099815483
134,134_0,FAILED,GenerationStep_1,,,4649,1,100,780,0.885995905455526977512192843278
135,135_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1470,1064,30,721,0.923536913048289664907031237817
136,136_0,FAILED,GenerationStep_1,,,5000,1,41,668,0.618879639438336792700567912107
137,137_0,FAILED,GenerationStep_1,,,1533,1,81,637,0.134523804702772475927474715718
138,138_0,FAILED,GenerationStep_1,,,119,1,31,540,0.943812501660398428526832503849
139,139_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3875,611,100,744,0.832170687150152188493734684016
140,140_0,FAILED,GenerationStep_1,,,4930,1,19,569,0.280723991025935482035436052684
141,141_0,FAILED,GenerationStep_1,,,809,1,73,652,0.344564131048954336300482736988
142,142_0,FAILED,GenerationStep_1,,,5000,1,63,615,0.998999999999999999111821580300
143,143_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,15.000000000000000000000000000000,5000,1,1,697,0.132287045433048339182491304200
144,144_0,FAILED,GenerationStep_1,,,1206,1,92,553,0.419081599410003557970583187853
145,145_0,FAILED,GenerationStep_1,,,4053,1,39,586,0.001000000000000000020816681712
146,146_0,FAILED,GenerationStep_1,,,4957,1,100,494,0.250334260494644467165414880583
147,147_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,14.000000000000000000000000000000,5000,1,1,655,0.694951026705341257105885688361
148,148_0,FAILED,GenerationStep_1,,,855,1,84,568,0.186478655724558961548353863691
149,149_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2382,5000,41,283,0.863606476575208947821238325560
150,150_0,FAILED,GenerationStep_1,,,54,1,77,807,0.738653283369340774022759887885
151,151_0,FAILED,GenerationStep_1,,,3555,1,72,394,0.527042771724699155022619834199
152,152_0,FAILED,GenerationStep_1,,,3401,1,75,99,0.964689685023042087230749075388
153,153_0,FAILED,GenerationStep_1,,,4285,1,64,434,0.490569276287749989062803024353
154,154_0,FAILED,GenerationStep_1,,,656,1,73,353,0.607449095326516697035401648463
155,155_0,FAILED,GenerationStep_1,,,2588,2,39,430,0.851067681326903247018833553739
156,156_0,FAILED,GenerationStep_1,,,4681,1,96,124,0.969532800289774177038282232388
157,157_0,FAILED,GenerationStep_1,,,810,21,60,969,0.436415544556369661144401561614
158,158_0,FAILED,GenerationStep_1,,,2838,1,77,236,0.712026233779223138853353702871
159,159_0,FAILED,GenerationStep_1,,,2796,1,68,777,0.045848170679925435988533166665
160,160_0,FAILED,GenerationStep_1,,,3092,1,72,625,0.001000000000000000020816681712
161,161_0,FAILED,GenerationStep_1,,,3306,7,59,316,0.001914573905860021251629232708
162,162_0,FAILED,GenerationStep_1,,,182,1,74,291,0.039758990593479329178627779129
163,163_0,FAILED,GenerationStep_1,,,3500,1,77,449,0.044780012915152912766902915109
164,164_0,FAILED,GenerationStep_1,,,241,1,81,707,0.856511781010538708613921698998
165,165_0,FAILED,GenerationStep_1,,,1900,11,72,745,0.093621094982709873733028871357
166,166_0,FAILED,GenerationStep_1,,,4898,1,85,726,0.642388142404300088728064110910
167,167_0,FAILED,GenerationStep_1,,,4365,4,63,21,0.427532895025977244252146647341
