trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
91,91_0,FAILED,SOBOL,,,4857,4493,1252,0.446440430169925073222714217991,0.585091227464377916511750754580,0.329246728750877126756790858053,str\(\'t-test\'\),30,str\(\'bounded\'\)
92,92_0,FAILED,SOBOL,,,4261,1645,841,0.330142325324937702113459181419,0.629449635677039598391502295271,4.786552000512369176021820749156,str\(\'ks-test\'\),24,str\(\'bounded\'\)
93,93_0,FAILED,SOBOL,,,1996,3936,3817,0.600974883452057850874439282052,0.255309441143646842498071691807,5.066318998992443312090472318232,str\(\'t-test\'\),36,str\(\'bounded\'\)
94,94_0,FAILED,SOBOL,,,1210,676,2290,0.052419334981590508248938675706,0.165147808071225893344902146964,8.573506031131371329934154346120,str\(\'ks-test\'\),50,str\(\'bounded\'\)
95,95_0,FAILED,SOBOL,,,2538,3734,3074,0.752358411805704285768570116488,0.788795142715796870902522641700,1.263192269398830891447005342343,str\(\'t-test\'\),12,str\(\'bounded\'\)
96,96_0,COMPLETED,SOBOL,0.550000000000000044408920985006,2241.000000000000000000000000000000,2633,1778,4259,0.627994238058105058719604585349,0.316250290978699943877927580616,0.550408711296506258925376187108,str\(\'ks-test\'\),6,str\(\'bounded\'\)
97,97_0,FAILED,SOBOL,,,1149,3893,985,0.427363764237612464569338044384,0.690336920736357551042772229266,9.579229042358695878078833629843,str\(\'t-test\'\),43,str\(\'bounded\'\)
98,98_0,FAILED,SOBOL,,,1895,867,2583,0.973789503611624196466323155619,0.858444927990436590370393332705,6.872743219343946385890831152210,str\(\'ks-test\'\),29,str\(\'bounded\'\)
99,99_0,FAILED,SOBOL,,,4317,3476,2116,0.203769677897915252318128409570,0.234865438343957066980038916881,3.312125827035866887371184930089,str\(\'t-test\'\),16,str\(\'bounded\'\)
100,100_0,RUNNING,SOBOL,,,4991,76,144,0.071847440866753459198790210394,0.059879869105294344922008065168,1.491199384332634547689622195321,str\(\'ks-test\'\),35,str\(\'bounded\'\)
101,101_0,RUNNING,SOBOL,,,1319,3095,4672,0.872901970803737659032606188703,0.933049538671970379866138500802,8.635081845920533183402767463122,str\(\'t-test\'\),23,str\(\'bounded\'\)
102,102_0,RUNNING,SOBOL,,,475,2295,1747,0.295106044221669416849351819110,0.516412333725020267216621050466,5.307015865789726838386286544846,str\(\'ks-test\'\),12,str\(\'bounded\'\)
103,103_0,FAILED,SOBOL,,,3210,4547,3458,0.527198565633967497490175446728,0.391735524047166105976458538862,4.881209852988832587072920432547,str\(\'t-test\'\),49,str\(\'bounded\'\)
104,104_0,FAILED,SOBOL,,,3642,1098,1556,0.770243657892569877354560503591,0.680074037041515144785819302342,3.121414078776724831953970351606,str\(\'ks-test\'\),34,str\(\'bounded\'\)
105,105_0,FAILED,SOBOL,,,127,3235,3278,0.035492514513432979472717931912,0.306048273896798506132910233646,7.062234386548400522087831632234,str\(\'t-test\'\),22,str\(\'bounded\'\)
106,106_0,COMPLETED,SOBOL,0.550000000000000044408920985006,5621.000000000000000000000000000000,1831,1535,344,0.609390051927417464305847261130,0.145718163929879657159105477149,9.301238596847280604151819716208,str\(\'ks-test\'\),7,str\(\'bounded\'\)
107,107_0,FAILED,SOBOL,,,4410,4126,4883,0.318790959471836665706234725803,0.769236790681257831536754565604,0.829619737862609341050301736686,str\(\'t-test\'\),44,str\(\'bounded\'\)
108,108_0,FAILED,SOBOL,,,3813,1896,2870,0.467525282578542811240396304129,0.944287080073729190310416470311,4.056408630766906497910895268433,str\(\'ks-test\'\),1,str\(\'bounded\'\)
109,109_0,FAILED,SOBOL,,,2486,4937,2396,0.726602306637913031295283872169,0.071056447230279443094680402737,6.133037669066340846768525807420,str\(\'t-test\'\),39,str\(\'bounded\'\)
110,110_0,FAILED,SOBOL,,,722,463,4000,0.184075045660138131298211305875,0.479908140754327194876793782896,7.741305874371901651898042473476,str\(\'ks-test\'\),27,str\(\'bounded\'\)
111,111_0,FAILED,SOBOL,,,2988,2698,717,0.887851386649534113360004994320,0.604645909991115337867029211338,2.383754774826578604063342936570,str\(\'t-test\'\),15,str\(\'bounded\'\)
112,112_0,FAILED,SOBOL,,,2883,571,3422,0.273011938678100696265005353780,0.201794148925691835261275741686,5.657187134601176836667946190573,str\(\'t-test\'\),26,str\(\'bounded\'\)
113,113_0,FAILED,SOBOL,,,929,2512,1392,0.532366432551294566088984083763,0.825745320303365559766461956315,4.218531616521068450254006165778,str\(\'ks-test\'\),13,str\(\'bounded\'\)
114,114_0,FAILED,SOBOL,,,2272,2101,4710,0.112520000442862505574126430474,0.720964546605944667234666667355,1.922160245648585341626812805771,str\(\'t-test\'\),2,str\(\'bounded\'\)
115,115_0,FAILED,SOBOL,,,3912,4810,498,0.816018931103870248655596242315,0.346520515339449053371367881482,7.891614016948268250928322231630,str\(\'ks-test\'\),40,str\(\'bounded\'\)
116,116_0,FAILED,SOBOL,,,4586,1330,2237,0.964874991154298200513039773796,0.423101232187822473562732739083,7.223146401535720073638913163450,str\(\'t-test\'\),9,str\(\'bounded\'\)
117,117_0,FAILED,SOBOL,,,1695,4253,3010,0.229854051582515234164461048749,0.547893694564700162175086006755,2.649215826184488697947472246597,str\(\'ks-test\'\),46,str\(\'bounded\'\)
118,118_0,FAILED,SOBOL,,,255,990,866,0.680827048297971471058076531335,0.903152884704992220399333291425,0.981139000202529198979561897431,str\(\'t-test\'\),32,str\(\'bounded\'\)
119,119_0,FAILED,SOBOL,,,3458,3420,3831,0.390497811520472193347330858160,0.029853282216936349174885023672,8.835991934793069546572041872423,str\(\'ks-test\'\),20,str\(\'bounded\'\)
120,120_0,FAILED,SOBOL,,,3423,2500,1143,0.126746058521792298590114000945,0.801835986953228663232096096181,8.169597310617566776613784895744,str\(\'t-test\'\),10,str\(\'bounded\'\)
121,121_0,FAILED,SOBOL,,,375,4420,4120,0.928010482817888227025093783595,0.177945711931213723655531566692,1.642956370924599340810345893260,str\(\'ks-test\'\),48,str\(\'bounded\'\)
122,122_0,FAILED,SOBOL,,,1426,183,1967,0.473139037448912835870373783109,0.274918128080666068768778131926,4.409250516622328142091191693908,str\(\'t-test\'\),37,str\(\'bounded\'\)
123,123_0,FAILED,SOBOL,,,4785,2909,2752,0.705021723987534598698800891725,0.649301266709342628224987947760,5.467688815554604175872555060778,str\(\'ks-test\'\),24,str\(\'bounded\'\)
124,124_0,FAILED,SOBOL,,,4190,759,4528,0.572977571556344655867576420860,0.572777655879035618724515188660,9.729755986604839534948041546158,str\(\'t-test\'\),31,str\(\'bounded\'\)
125,125_0,FAILED,SOBOL,,,2080,3661,308,0.372129648726433504002386598586,0.447924259968101978746091162975,0.088595529445447032679261667454,str\(\'ks-test\'\),18,str\(\'bounded\'\)
126,126_0,COMPLETED,SOBOL,0.550000000000000044408920985006,151.000000000000000000000000000000,972,1573,3631,0.795874499745666930117238280218,0.100481041511520749476282787782,3.474028968143276774327432576683,str\(\'t-test\'\),4,str\(\'bounded\'\)
127,127_0,FAILED,SOBOL,,,2768,4020,1593,0.026072182526811957942181052772,0.973841573815792838075822146493,6.397112678522244522127948584966,str\(\'ks-test\'\),42,str\(\'bounded\'\)
128,128_0,FAILED,SOBOL,,,2740,319,4399,0.826962960213422748623202096496,0.038799761589616538204339235563,2.491243777045048624074752297020,str\(\'t-test\'\),50,str\(\'bounded\'\)
129,129_0,FAILED,SOBOL,,,943,2774,183,0.119261749742552644604209888257,0.912221443062648185140517398395,7.692404762778432214531676436309,str\(\'ks-test\'\),12,str\(\'bounded\'\)
130,130_0,FAILED,SOBOL,,,2101,2011,3731,0.540990546407178030108298116829,0.510196238629519904783649053570,6.181783824080602229855685436632,str\(\'t-test\'\),24,str\(\'bounded\'\)
131,131_0,FAILED,SOBOL,,,4211,4910,1708,0.277920121926814311930087342262,0.385281697267666478623482362309,3.949074585127644532178692315938,str\(\'ks-test\'\),36,str\(\'bounded\'\)
132,132_0,FAILED,SOBOL,,,4786,1435,1180,0.379751844745129352176604697888,0.338061325782909982695656481155,0.936939628814347114094118751382,str\(\'t-test\'\),17,str\(\'bounded\'\)
133,133_0,FAILED,SOBOL,,,1427,4158,4142,0.674161553749814679292740038363,0.712383307807147536649949870480,9.252506596520543524775348487310,str\(\'ks-test\'\),30,str\(\'bounded\'\)
134,134_0,FAILED,SOBOL,,,367,1246,1921,0.221184381177648908822774842520,0.863930095797404651314366219594,7.111149950822816201423393067671,str\(\'t-test\'\),44,str\(\'bounded\'\)
135,135_0,COMPLETED,SOBOL,0.550000000000000044408920985006,3423.000000000000000000000000000000,3414,3174,2700,0.959799436338245826050297182519,0.240100973661988986718185401514,3.013910623877309458151785293012,str\(\'ks-test\'\),7,str\(\'bounded\'\)
136,136_0,FAILED,SOBOL,,,3457,2239,2278,0.711885059658437957530452422361,0.965367155987769343106208452809,4.930123033315875424875684984727,str\(\'t-test\'\),16,str\(\'bounded\'\)
137,137_0,FAILED,SOBOL,,,254,4672,3066,0.483717827843502146123455531779,0.091884574441239236231027120994,5.199514794837684306116898369510,str\(\'ks-test\'\),28,str\(\'bounded\'\)
138,138_0,FAILED,SOBOL,,,1703,83,834,0.932796603811904767589169296116,0.486124263733625439076746488354,8.742404120819642798778659198433,str\(\'t-test\'\),39,str\(\'bounded\'\)
139,139_0,FAILED,SOBOL,,,4594,2999,3805,0.135735886976122849256753966074,0.611099708886817083453024679329,1.442465000058524182691144233104,str\(\'ks-test\'\),2,str\(\'bounded\'\)
140,140_0,FAILED,SOBOL,,,3940,855,3317,0.019041445545852183490742604022,0.658262974353507113178807230724,3.360864830208011078127583459718,str\(\'t-test\'\),45,str\(\'bounded\'\)
141,141_0,COMPLETED,SOBOL,0.550000000000000044408920985006,7638.000000000000000000000000000000,2300,3556,1283,0.785250123059377025391825100087,0.284001914709806457803864532252,6.765416325546802056578599149361,str\(\'ks-test\'\),8,str\(\'bounded\'\)
142,142_0,FAILED,SOBOL,,,908,1819,4844,0.367419812226667974464078270103,0.140233027724549180748070398295,9.686725196419283534510213939939,str\(\'t-test\'\),22,str\(\'bounded\'\)
143,143_0,FAILED,SOBOL,,,2862,3764,617,0.564185835178941497147775407939,0.764001223761588299510094657307,0.501500447860918963094434275263,str\(\'ks-test\'\),35,str\(\'bounded\'\)
144,144_0,FAILED,SOBOL,,,2989,1712,2893,0.214645960532128809994389939675,0.417859478782862447943102779391,6.289642747882754569843655190198,str\(\'ks-test\'\),20,str\(\'bounded\'\)
145,145_0,FAILED,SOBOL,,,723,3949,2432,0.980583890086039855482624716387,0.542414744844660123845869748038,3.522911008157767476234312198358,str\(\'t-test\'\),33,str\(\'bounded\'\)
146,146_0,FAILED,SOBOL,,,2477,650,3948,0.435934408122673644481182009258,0.881098435498774090746110232431,0.039830302852205935748575171829,str\(\'ks-test\'\),47,str\(\'bounded\'\)
147,147_0,FAILED,SOBOL,,,3805,3683,671,0.632971238519996370897047199833,0.008050309548154473485159776658,9.837109103823079792050521064084,str\(\'t-test\'\),10,str\(\'bounded\'\)
148,148_0,FAILED,SOBOL,,,4381,289,1431,0.516398534033447487168189127260,0.208254134306684129951392492330,5.360349853023887334302344243042,str\(\'ks-test\'\),40,str\(\'bounded\'\)
