trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
964,964_0,RUNNING,SOBOL,,,,2179,15,2328,str\(\'KL\'\),str\(\'stdev\'\),0.920231873564422153677355709078,70,1
965,965_0,RUNNING,SOBOL,,,,3340,9,4405,str\(\'H\'\),str\(\'tstat\'\),0.454232899529859401877018854066,33,3
966,966_0,RUNNING,SOBOL,,,,4672,13,116,str\(\'KL\'\),str\(\'tstat\'\),0.155395535271614787520277900512,18,3
967,967_0,RUNNING,SOBOL,,,,828,1,2886,str\(\'H\'\),str\(\'stdev\'\),0.718611781449988495928948850633,81,2
968,968_0,RUNNING,SOBOL,,,,1202,20,492,str\(\'H\'\),str\(\'stdev\'\),0.994796049021184458638344949577,5,2
969,969_0,RUNNING,SOBOL,,,,4863,6,2803,str\(\'KL\'\),str\(\'tstat\'\),0.380654695166274925632876602322,92,1
970,970_0,RUNNING,SOBOL,,,,3695,12,2108,str\(\'H\'\),str\(\'tstat\'\),0.198766678582876915593047328912,59,1
971,971_0,RUNNING,SOBOL,,,,2351,3,4956,str\(\'KL\'\),str\(\'stdev\'\),0.676219114067032944781487913133,46,2
972,972_0,RUNNING,SOBOL,,,,1598,15,3643,str\(\'KL\'\),str\(\'tstat\'\),0.002848157642409205290989770987,82,2
973,973_0,RUNNING,SOBOL,,,,2905,1,876,str\(\'H\'\),str\(\'stdev\'\),0.624510418690741087033302392229,20,3
974,974_0,RUNNING,SOBOL,,,,4090,18,3912,str\(\'KL\'\),str\(\'stdev\'\),0.796896242963150092109003708174,31,1
975,975_0,RUNNING,SOBOL,,,,393,8,1838,str\(\'H\'\),str\(\'tstat\'\),0.327029434826225040566782809037,69,3
976,976_0,RUNNING,SOBOL,,,,622,17,2637,str\(\'KL\'\),str\(\'stdev\'\),0.417730178823694564549384722341,36,3
977,977_0,RUNNING,SOBOL,,,,4271,8,326,str\(\'H\'\),str\(\'tstat\'\),0.957770763635635402621915091004,73,2
978,978_0,RUNNING,SOBOL,,,,3115,14,4771,str\(\'KL\'\),str\(\'tstat\'\),0.650892241859808540205278859503,78,3
979,979_0,RUNNING,SOBOL,,,,1759,0,1922,str\(\'H\'\),str\(\'stdev\'\),0.224149950418621290992859940161,15,1
980,980_0,RUNNING,SOBOL,,,,2259,12,730,str\(\'H\'\),str\(\'tstat\'\),0.579782959118485430316525253147,51,1
981,981_0,RUNNING,SOBOL,,,,3573,3,3497,str\(\'KL\'\),str\(\'stdev\'\),0.047754304027184842074138515500,39,2
982,982_0,RUNNING,SOBOL,,,,4751,19,1712,str\(\'H\'\),str\(\'stdev\'\),0.344642957020550977365047629064,12,2
983,983_0,RUNNING,SOBOL,,,,1061,5,3785,str\(\'KL\'\),str\(\'tstat\'\),0.779454284200444824648457142757,100,1
984,984_0,RUNNING,SOBOL,,,,657,14,1472,str\(\'KL\'\),str\(\'tstat\'\),0.505228271588683108817008360347,23,3
985,985_0,RUNNING,SOBOL,,,,4472,2,4317,str\(\'H\'\),str\(\'stdev\'\),0.121338248735293752211816808995,85,2
986,986_0,RUNNING,SOBOL,,,,3149,16,1126,str\(\'KL\'\),str\(\'stdev\'\),0.301277494568377712802487167210,66,2
987,987_0,RUNNING,SOBOL,,,,1959,9,3433,str\(\'H\'\),str\(\'tstat\'\),0.821856498995795825557308944553,28,3
988,988_0,RUNNING,SOBOL,,,,1521,19,4551,str\(\'H\'\),str\(\'stdev\'\),0.499116679390892381551481093993,89,3
989,989_0,RUNNING,SOBOL,,,,2669,7,2474,str\(\'KL\'\),str\(\'tstat\'\),0.875421134382486365588249555003,2,1
990,990_0,RUNNING,SOBOL,,,,4014,11,3013,str\(\'H\'\),str\(\'tstat\'\),0.701085591310635192208167154604,49,3
991,991_0,RUNNING,SOBOL,,,,158,5,243,str\(\'KL\'\),str\(\'stdev\'\),0.172985739175230274211614300839,62,1
992,992_0,RUNNING,SOBOL,,,,260,19,2134,str\(\'KL\'\),str\(\'stdev\'\),0.945325152972713134147397795459,41,1
993,993_0,RUNNING,SOBOL,,,,3911,7,4911,str\(\'H\'\),str\(\'tstat\'\),0.428644705016165972200070655163,53,2
994,994_0,RUNNING,SOBOL,,,,2772,10,625,str\(\'KL\'\),str\(\'tstat\'\),0.244323940461501493137674856371,98,3
995,995_0,RUNNING,SOBOL,,,,1418,4,2690,str\(\'H\'\),str\(\'stdev\'\),0.632112281844019907595111362753,10,1
996,996_0,RUNNING,SOBOL,,,,1895,13,4035,str\(\'H\'\),str\(\'tstat\'\),0.050369927886873486211349870700,74,1
997,997_0,RUNNING,SOBOL,,,,3212,1,1735,str\(\'KL\'\),str\(\'stdev\'\),0.574571223551407439522620279604,37,2
998,998_0,RUNNING,SOBOL,,,,4408,16,3679,str\(\'H\'\),str\(\'stdev\'\),0.753288166373968115507864240499,14,3
