trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
110,110_0,RUNNING,SOBOL,1199,119,50,41,0.686257059164345317725519635133
111,111_0,RUNNING,SOBOL,3680,3813,76,939,0.418761219428852193846779528030
112,112_0,RUNNING,SOBOL,4569,2483,23,463,0.120256362954154608080337141018
113,113_0,RUNNING,SOBOL,2048,3637,52,549,0.852709275379776920900098957645
114,114_0,RUNNING,SOBOL,2438,1153,14,905,0.196669094791635884478253615271
115,115_0,RUNNING,SOBOL,4961,4964,63,116,0.963416546765714865152574475360
116,116_0,RUNNING,SOBOL,3291,1290,41,608,0.513175252508372037318906677683
117,117_0,RUNNING,SOBOL,807,2640,86,382,0.279973022861406184436106059366
118,118_0,RUNNING,SOBOL,246,2107,70,364,0.456270466234534988192450555289
119,119_0,RUNNING,SOBOL,2768,3418,6,652,0.687705627111718009736307521962
120,120_0,RUNNING,SOBOL,4224,369,97,129,0.771312328612431929997228508000
121,121_0,RUNNING,SOBOL,1739,4219,30,856,0.006697200853377580781478073391
122,122_0,RUNNING,SOBOL,1873,2005,10,540,0.647040464177727647765436813643
123,123_0,RUNNING,SOBOL,4354,3194,65,439,0.380511627117171902234815661359
124,124_0,RUNNING,SOBOL,2723,619,37,962,0.082501652287319302003787413469
125,125_0,RUNNING,SOBOL,202,4268,89,47,0.812023129887878947208434965432
126,126_0,RUNNING,SOBOL,930,1064,54,193,0.887143939377740053942034137435
127,127_0,RUNNING,SOBOL,3412,4754,21,795,0.155489910773932926701945689274
128,128_0,RUNNING,SOBOL,4905,1553,81,303,0.321137021362781549527198876604
129,129_0,RUNNING,SOBOL,2386,2703,45,717,0.589432707840576775026875111507
130,130_0,RUNNING,SOBOL,2150,224,85,862,0.495014984805136892820343064159
131,131_0,RUNNING,SOBOL,4672,4030,42,151,0.727432361757382794920090418600
132,132_0,RUNNING,SOBOL,3648,2235,58,628,0.811518790988251526030694549263
133,133_0,RUNNING,SOBOL,1163,3580,19,354,0.043987441804260014877048234894
134,134_0,RUNNING,SOBOL,592,1791,28,406,0.220314782185480007026256998870
135,135_0,FAILED,SOBOL,3115,3098,99,618,0.986080003213137379347585920186
136,136_0,FAILED,SOBOL,3965,678,1,110,0.535359055582433907005679429858
137,137_0,FAILED,SOBOL,1481,4524,75,883,0.305073032489046436221968860991
138,138_0,RUNNING,SOBOL,1254,848,39,261,0.862010601175948965035900073417
139,139_0,FAILED,SOBOL,3771,4654,87,722,0.095323930304497483945169733488
140,140_0,RUNNING,SOBOL,2903,1610,15,245,0.428068967793136856414548674366
141,141_0,RUNNING,SOBOL,423,2955,60,769,0.661332004567608211509366356040
142,142_0,RUNNING,SOBOL,946,2417,94,977,0.601925793457776303618800284312
143,143_0,RUNNING,SOBOL,3464,3723,31,15,0.370551409965381051137001122697
144,144_0,RUNNING,SOBOL,4470,54,71,523,0.170415446935221565061269188845
145,145_0,RUNNING,SOBOL,1991,3899,4,500,0.935091385539621122724440738239
146,146_0,RUNNING,SOBOL,2227,1381,69,79,0.031504230769351125596156038000
147,147_0,RUNNING,SOBOL,4703,2570,8,930,0.762130219064652947302818120079
148,148_0,RUNNING,SOBOL,3229,1244,92,407,0.712512417227029848376673726307
149,149_0,RUNNING,SOBOL,713,4894,35,572,0.447087168836966142304589766354
150,150_0,RUNNING,SOBOL,34,439,25,686,0.255043088600039491442572625601
151,151_0,RUNNING,SOBOL,2511,4128,52,334,0.522477886984124784142125008657
152,152_0,RUNNING,SOBOL,4161,2178,49,826,0.938489231722429373405702790478
153,153_0,RUNNING,SOBOL,1646,3327,78,162,0.205975296534597868136629017499
154,154_0,RUNNING,SOBOL,1713,1507,46,925,0.384149560235440723499067416924
155,155_0,RUNNING,SOBOL,4191,2657,79,89,0.650671145649626803120213480724
156,156_0,RUNNING,SOBOL,2560,1019,20,566,0.823940995061770098395470540709
157,157_0,RUNNING,SOBOL,44,4708,56,417,0.094411302894353871240085140926
158,158_0,RUNNING,SOBOL,782,586,90,344,0.144040915379300721310684707532
159,159_0,RUNNING,SOBOL,3257,4236,35,680,0.875701957687735510482696099643
160,160_0,RUNNING,SOBOL,4753,1973,64,172,0.585295686341822163356596320227
161,161_0,RUNNING,SOBOL,2236,3162,12,820,0.317007976489141585219044827682
162,162_0,RUNNING,SOBOL,2000,644,74,727,0.723292964559048456862910825294
163,163_0,FAILED,SOBOL,4519,4489,3,251,0.490882605029270058238921592420
164,164_0,FAILED,SOBOL,3493,1757,100,775,0.032540822109207515056006343457
165,165_0,FAILED,SOBOL,1015,3063,26,235,0.800080144200474019378077628062
166,166_0,FAILED,SOBOL,433,2192,17,6,0.998002147620543844652729603695
167,167_0,FAILED,SOBOL,2951,3537,60,982,0.232229671228677048144817263164
168,168_0,FAILED,SOBOL,3801,180,44,491,0.308706686373800054390414970840
169,169_0,RUNNING,SOBOL,1322,3987,83,529,0.538984498618170659867132599175
170,170_0,RUNNING,SOBOL,1412,18,6,142,0.106804900979623196288770259343
171,171_0,RUNNING,SOBOL,3936,3863,69,868,0.873483364719897514838464758213
172,172_0,RUNNING,SOBOL,3066,2381,29,345,0.665498201813548795335861996136
173,173_0,RUNNING,SOBOL,583,3688,96,634,0.432227905957028257777352564517
174,174_0,RUNNING,SOBOL,1095,1568,62,623,0.366883583556860681795797063387
175,175_0,RUNNING,SOBOL,3618,2913,14,396,0.598265936238691176107806768414
176,176_0,RUNNING,SOBOL,4624,806,85,888,0.923142738511785854171876053442
177,177_0,RUNNING,SOBOL,2140,4612,40,100,0.158473821047693502750419725089
178,178_0,RUNNING,SOBOL,2375,2133,77,449,0.750178244570270158497748980153
179,179_0,RUNNING,SOBOL,4857,3283,50,534,0.019560221746563914019256813503
180,180_0,RUNNING,SOBOL,3382,394,53,58,0.443422669894993293215890162173
181,181_0,RUNNING,SOBOL,862,4084,24,956,0.708854943143203852784495211381
182,182_0,RUNNING,SOBOL,193,1211,33,789,0.526649315230548364930029947573
183,183_0,RUNNING,SOBOL,2674,4860,94,203,0.259206313433125612455398822931
184,184_0,RUNNING,SOBOL,4325,1347,10,711,0.217451036209240555763244628906
185,185_0,RUNNING,SOBOL,1804,2536,67,313,0.949957708597183203558245168097
186,186_0,FAILED,SOBOL,1769,949,98,122,0.342758213046938153834020113209
187,187_0,FAILED,SOBOL,4292,4799,27,896,0.575107553532347104408017912647
188,188_0,FAILED,SOBOL,2778,1437,74,388,0.901453861696645653012183174724
189,189_0,FAILED,SOBOL,294,2748,1,599,0.133853494536131628622754874414
190,190_0,RUNNING,SOBOL,835,1882,42,642,0.068540080396458508138479714944
191,191_0,RUNNING,SOBOL,3360,3232,84,369,0.834251541461795587117933337140
192,192_0,RUNNING,SOBOL,4970,495,18,846,0.624796828050166341839144479309
193,193_0,RUNNING,SOBOL,2487,4306,57,134,0.394457967018708610673627390497
194,194_0,RUNNING,SOBOL,2098,1822,22,288,0.549297543406486510342290330300
195,195_0,RUNNING,SOBOL,4578,2977,55,703,0.282836772555485393976226760060
196,196_0,RUNNING,SOBOL,3749,709,45,210,0.242535817565396438766356368433
197,197_0,RUNNING,SOBOL,1227,4403,82,811,0.972126283399760704462266858172
198,198_0,RUNNING,SOBOL,530,267,66,949,0.789889750944450463876478352176
199,199_0,RUNNING,SOBOL,3012,3921,11,35,0.058289512045681474150526923950
200,200_0,RUNNING,SOBOL,4056,2278,89,559,0.480697682574391382814837925253
201,201_0,RUNNING,SOBOL,1536,3472,37,457,0.749046177247539191057512653060
202,202_0,RUNNING,SOBOL,1358,2448,51,843,0.183280375080183161040636719008
203,203_0,RUNNING,SOBOL,3834,3602,25,178,0.913959201313555236190211417124
204,204_0,RUNNING,SOBOL,2848,84,77,671,0.623073202237486856169823568052
205,205_0,RUNNING,SOBOL,331,3778,48,320,0.357701713809743526706341754107
206,206_0,RUNNING,SOBOL,1040,891,7,426,0.407300351113080993936677032252
207,207_0,RUNNING,SOBOL,3517,4545,68,590,0.674804167473688765177541881712
208,208_0,FAILED,SOBOL,4405,1652,34,66,0.848553670259192593938735171832
209,209_0,FAILED,SOBOL,1890,2846,91,918,0.116107771538197998562047530413
210,210_0,FAILED,SOBOL,2279,323,31,505,0.959265220878645741287016335264
211,211_0,FAILED,SOBOL,4797,4173,95,481,0.192525741811841732964438733688
212,212_0,FAILED,SOBOL,3128,2061,5,989,0.268507875312119725919046686613
213,213_0,FAILED,SOBOL,648,3372,72,28,0.501717122381553082277605426498
214,214_0,FAILED,SOBOL,96,1258,87,229,0.699670097265392532115413359861
215,215_0,FAILED,SOBOL,2615,2608,39,752,0.468226725539192534242260990140
216,216_0,FAILED,SOBOL,4069,1121,61,275,0.010379898620769382328044017072
217,217_0,RUNNING,SOBOL,1591,4932,16,737,0.774987771015614224090484185581
218,218_0,RUNNING,SOBOL,1574,2266,86,323,0.089744411161169407309401435668
219,219_0,RUNNING,SOBOL,4096,3572,40,658,0.820370403174310869331975482055
220,220_0,RUNNING,SOBOL,2583,215,62,181,0.654287465106695886873922063387
221,221_0,RUNNING,SOBOL,98,4060,13,831,0.388862212998792533547032235219
222,222_0,RUNNING,SOBOL,641,687,29,911,0.313772480931133024295576205986
223,223_0,RUNNING,SOBOL,3164,4493,96,75,0.581207275597378614229171489569
224,224_0,RUNNING,SOBOL,4775,1761,5,583,0.879775067662820209335450272192
225,225_0,RUNNING,SOBOL,2291,3106,70,435,0.147261136192828406832333598686
226,226_0,RUNNING,SOBOL,1902,590,9,20,0.803301437610760338259296986507
227,227_0,RUNNING,SOBOL,4383,4280,67,996,0.036614763021469119708140027569
228,228_0,RUNNING,SOBOL,3553,2016,33,472,0.486793359629809851973902823374
229,229_0,RUNNING,SOBOL,1032,3166,94,512,0.720056400122121020856980067038
230,230_0,RUNNING,SOBOL,334,1542,54,750,0.543698220260441344997559554031
231,231_0,RUNNING,SOBOL,2817,2731,24,272,0.312323840485885739770566260631
232,232_0,RUNNING,SOBOL,3860,1093,77,765,0.228658248404040920220836596854
233,233_0,RUNNING,SOBOL,1341,4742,50,226,0.993334183290600747362475431146
234,234_0,RUNNING,SOBOL,1553,1216,63,605,0.436286811925470807693727692822
235,235_0,FAILED,SOBOL,4029,4905,12,379,0.668704192595556357048280915478
236,236_0,FAILED,SOBOL,3043,1392,90,903,0.870231735596433297885710089759
237,237_0,FAILED,SOBOL,527,2541,35,113,0.102700382694602007638273732937
238,238_0,FAILED,SOBOL,1235,2166,20,131,0.162075821245089179978293714157
239,239_0,FAILED,SOBOL,3713,3356,55,859,0.927841038554906849533665536001
240,240_0,RUNNING,SOBOL,4600,467,47,366,0.593582788251340365270891652472
241,241_0,RUNNING,SOBOL,2085,4117,79,655,0.363296768875792597253138183078
242,242_0,RUNNING,SOBOL,2475,1640,44,799,0.705269197341054643324298467633
243,243_0,RUNNING,SOBOL,4992,2946,83,213,0.438740356562659139516568984618
244,244_0,RUNNING,SOBOL,3323,840,18,690,0.024257690852507948070515553241
245,245_0,RUNNING,SOBOL,843,4684,59,291,0.753779172170907285632779348816
246,246_0,RUNNING,SOBOL,291,62,100,466,0.945854262908920606633955685538
247,247_0,RUNNING,SOBOL,2810,3869,27,552,0.214200238022953265426551183737
248,248_0,RUNNING,SOBOL,4265,2387,73,44,0.262411469560116517030223803886
249,249_0,RUNNING,SOBOL,1786,3732,3,942,0.530707152320072039763942939317
250,250_0,RUNNING,SOBOL,1830,280,33,633,0.137958027692511669970443222155
251,251_0,RUNNING,SOBOL,4308,3974,92,359,0.904705475948750947878806982771
252,252_0,RUNNING,SOBOL,2676,2331,7,867,0.571901547878980620609468132898
253,253_0,FAILED,SOBOL,162,3486,68,157,0.338699321949854470492624614053
254,254_0,FAILED,SOBOL,898,1847,78,105,0.398044796571135506280114668698
255,255_0,FAILED,SOBOL,3375,3041,48,878,0.629479961166158341612231197360
256,256_0,FAILED,SOBOL,4869,773,51,401,0.829553226547315669670012994175
257,257_0,FAILED,SOBOL,2353,4428,24,612,0.064938095070421697485585355025
258,258_0,FAILED,SOBOL,2118,1946,61,967,0.968525370670482499413367349916
259,259_0,FAILED,SOBOL,4636,3257,16,53,0.237838333588093531201224095639
260,260_0,FAILED,SOBOL,3610,520,88,545,0.287519071016460681100568308466
261,261_0,FAILED,SOBOL,1132,4370,39,444,0.552883304079994530866315471940
262,262_0,RUNNING,SOBOL,551,1002,4,298,0.744988355029374327287428059208
263,263_0,RUNNING,SOBOL,3068,4813,72,712,0.477492511576041556153882083890
264,264_0,RUNNING,SOBOL,3919,1451,31,188,0.061540295360609890973346836063
265,265_0,RUNNING,SOBOL,1439,2801,96,790,0.793993211504071982886898695142
266,266_0,RUNNING,SOBOL,1295,1320,18,412,0.352989075917750583233356564961
267,267_0,RUNNING,SOBOL,3819,2632,57,576,0.619456867909058961352286587498
268,268_0,RUNNING,SOBOL,2949,1145,42,84,0.917529778329655543167575615371
269,269_0,RUNNING,SOBOL,465,4995,84,935,0.187947281684726463790724437786
270,270_0,RUNNING,SOBOL,978,377,74,821,0.112887565596029165737590460594
271,271_0,RUNNING,SOBOL,3501,4189,1,158,0.844480545412749084022152601392
272,272_0,RUNNING,SOBOL,4507,2077,97,681,0.678892563346773392218835851963
273,273_0,RUNNING,SOBOL,2022,3426,27,329,0.410535861542448421435125283097
274,274_0,FAILED,SOBOL,2258,906,89,250,0.504953701689839329347364582645
275,275_0,FAILED,SOBOL,4740,4600,38,774,0.272597105840221065609085826509
276,276_0,FAILED,SOBOL,3265,1707,65,266,0.188451786028221240920643708705
277,277_0,FAILED,SOBOL,745,2861,11,726,0.956043942339718344491927837225
278,278_0,FAILED,SOBOL,76,2471,46,518,0.779655750216916243466869218537
279,279_0,FAILED,SOBOL,2557,3665,81,495,0.013951306574046612452022486650
280,280_0,FAILED,SOBOL,4208,148,22,972,0.464609556555747982287130071199
281,281_0,FAILED,SOBOL,1687,3802,55,11,0.694956390494480769071117265412
282,282_0,FAILED,SOBOL,1678,740,23,780,0.893224626103416130540324502363
283,283_0,FAILED,SOBOL,4158,4394,53,240,0.126485143318772308429487338799
284,284_0,FAILED,SOBOL,2528,1813,49,732,0.334533241815865023394138688673
285,285_0,FAILED,SOBOL,7,3008,76,256,0.567742492603138138029805759288
286,286_0,FAILED,SOBOL,735,2287,67,485,0.633147904686629736659142508870
287,287_0,FAILED,SOBOL,3217,3441,8,524,0.401704536678269497063098469880
288,288_0,FAILED,SOBOL,4710,236,93,1,0.076886862928047777776541238381
289,289_0,FAILED,SOBOL,2190,3930,32,978,0.841494731605052947998046875000
290,290_0,RUNNING,SOBOL,1954,1409,97,571,0.249790428912267076233533202867
291,291_0,RUNNING,SOBOL,4477,2759,29,421,0.980469258863478909660216231714
292,292_0,RUNNING,SOBOL,3452,960,71,929,0.556547920133918516683024790836
293,293_0,RUNNING,SOBOL,968,4771,6,94,0.291176427988335484453585877418
294,294_0,FAILED,SOBOL,396,484,41,167,0.473321200441569112093986859691
295,295_0,FAILED,SOBOL,2920,4334,86,815,0.740825013084337125057743378420
296,296_0,FAILED,SOBOL,3769,1910,14,339,0.782517592659220051487523051037
297,297_0,FAILED,SOBOL,1286,3221,63,675,0.050071697656065228265731548163
298,298_0,FAILED,SOBOL,1449,2033,26,62,0.615819051902741221304893315391
299,299_0,FAILED,SOBOL,3967,3383,99,961,0.349358277333900346661721414421
300,300_0,FAILED,SOBOL,3098,334,3,453,0.176029537340626124342080061069
301,301_0,FAILED,SOBOL,619,4145,72,539,0.905620006892830176070674497169
302,302_0,FAILED,SOBOL,1141,1110,82,706,0.855929661637172101151804781693
303,303_0,FAILED,SOBOL,3660,4960,43,308,0.124329426456242800314022645125
304,304_0,FAILED,SOBOL,4665,1285,59,784,0.414673000153154114322262557835
305,305_0,FAILED,SOBOL,2187,2597,17,198,0.683021491108462219798980186170
306,306_0,FAILED,SOBOL,2422,115,56,349,0.276736620150506484883123903273
307,307_0,FAILED,SOBOL,4898,3770,21,639,0.509085964353755082711927570926
308,308_0,FAILED,SOBOL,3424,2439,80,147,0.967490682864561635234679215500
309,309_0,FAILED,SOBOL,907,3633,47,873,0.199890311986207963590445046975
310,310_0,FAILED,SOBOL,229,1661,13,884,0.002029282996430993146058652243
311,311_0,FAILED,SOBOL,2706,2815,64,95,0.767740740343928362854342140054
312,312_0,FAILED,SOBOL,4356,860,36,619,0.691322853721678232119529639021
313,313_0,RUNNING,SOBOL,1841,4554,90,391,0.460983996408060203719969649683
314,314_0,RUNNING,SOBOL,1737,1729,71,207,0.816690201936289716933004001476
315,315_0,RUNNING,SOBOL,4256,3074,4,808,0.086072182830423116239870751087
316,316_0,RUNNING,SOBOL,2741,654,95,285,0.376895484257489421509035310009
317,317_0,RUNNING,SOBOL,263,4461,30,699,0.642327753787860222800532028486
318,318_0,RUNNING,SOBOL,795,170,15,562,0.592668261025100950867283700063
319,319_0,RUNNING,SOBOL,3313,4014,61,460,0.325225255509838440115544244691
320,320_0,RUNNING,SOBOL,4924,2220,38,952,0.151416862143203628798815429946
321,321_0,RUNNING,SOBOL,2445,3526,87,38,0.883923538248985951604197452980
322,322_0,RUNNING,SOBOL,2055,1049,48,385,0.040766209738329055312089366225
323,323_0,RUNNING,SOBOL,4532,4699,79,595,0.807444669760763678034720669530
324,324_0,RUNNING,SOBOL,3702,1498,25,119,0.731521664783358560590897923248
325,325_0,RUNNING,SOBOL,1187,2688,52,893,0.498251372644677781309496822360
326,326_0,RUNNING,SOBOL,498,1982,92,849,0.300359487444162354119470137448
327,327_0,RUNNING,SOBOL,2974,3131,34,138,0.531741843843832606708588173205
328,328_0,RUNNING,SOBOL,4020,556,69,645,0.989651606352999757554300686024
329,329_0,FAILED,SOBOL,1503,4245,8,372,0.224982685171067703366887258198
330,330_0,FAILED,SOBOL,1389,425,80,986,0.657273275196552320132070690306
331,331_0,FAILED,SOBOL,3871,4075,45,26,0.424862919384613624274038556905
332,332_0,FAILED,SOBOL,2884,2124,54,502,0.098575739743188020569597540543
333,333_0,FAILED,SOBOL,364,3313,22,478,0.866115058116614822125711725676
334,334_0,FAILED,SOBOL,1082,1356,37,278,0.931489446686580735423888199875
335,335_0,FAILED,SOBOL,3563,2506,88,739,0.165716966576874263905594375501
336,336_0,FAILED,SOBOL,4452,1180,10,232,0.375234615579247476890856205500
337,337_0,FAILED,SOBOL,1931,4869,65,755,0.605512431541457729622379702050
338,338_0,FAILED,SOBOL,2320,2353,2,668,0.450672972265630966681726476963
339,339_0,FAILED,SOBOL,4844,3698,75,317,0.717194553961977399048066672549
340,340_0,FAILED,SOBOL,3173,29,28,840,0.757432811303064279506713774026
341,341_0,RUNNING,SOBOL,690,3835,98,176,0.027903122853487730831156810041
342,342_0,RUNNING,SOBOL,128,795,58,69,0.210078922538086770854803830844
343,343_0,RUNNING,SOBOL,2651,4640,19,921,0.941739968564361373815074784943
344,344_0,RUNNING,SOBOL,4106,1595,84,429,0.519272907454520482595228259015
