trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
366,366_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.952490709258559609118321986898,0.001000000000000000020816681712,706,EDFSMode.RANDOM
367,367_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,95,0.001000000000000000020816681712,0.001000000000000000020816681712,684,EDFSMode.RANDOM
368,368_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.527955678739603362359389393532,0.998999999999999999111821580300,840,EDFSMode.RANDOM
369,369_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,20,0.001000000000000000020816681712,0.001000000000000000020816681712,288,EDFSMode.RANDOM
370,370_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,143,EDFSMode.RANDOM
371,371_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,31,0.001000000000000000020816681712,0.001000000000000000020816681712,356,EDFSMode.RANDOM
372,372_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,128,EDFSMode.RANDOM
373,373_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.001000000000000000020816681712,142,EDFSMode.RANDOM
374,374_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,869,1,0.625489276484675449374606159836,0.998999999999999999111821580300,696,EDFSMode.RANDOM
375,375_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,905,EDFSMode.RANDOM
376,376_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,688,1,0.998999999999999999111821580300,0.001000000000000000020816681712,430,EDFSMode.RANDOM
377,377_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,31,0.001000000000000000020816681712,0.001000000000000000020816681712,463,EDFSMode.RANDOM
378,378_0,COMPLETED,BoTorch,GenerationStep_1,0.920000000000000039968028886506,1.000000000000000000000000000000,427,1,0.001000000000000000020816681712,0.998999999999999999111821580300,127,EDFSMode.RANDOM
379,379_0,COMPLETED,BoTorch,GenerationStep_1,0.890000000000000013322676295502,2.000000000000000000000000000000,939,1,0.001000000000000000020816681712,0.998999999999999999111821580300,127,EDFSMode.RANDOM
380,380_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.786591614161472385546858276939,0.001000000000000000020816681712,883,EDFSMode.RANDOM
381,381_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.739449774157313832745330728358,0.998999999999999999111821580300,978,EDFSMode.RANDOM
