trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
31,31_0,RUNNING,SOBOL,,,4005,2905,3981,0.140895311608910556167018057749,0.4
32,32_0,RUNNING,SOBOL,,,3930,2279,3186,0.289301709169521914510880833404,0.2
33,33_0,RUNNING,SOBOL,,,2429,4407,1162,0.878111992446705680315233166766,0.000000000001
34,34_0,RUNNING,SOBOL,,,334,218,4120,0.099413157114759093113676158282,0.9
35,35_0,RUNNING,SOBOL,,,3213,3090,1456,0.687964336706325396697536689317,0.001
36,36_0,RUNNING,SOBOL,,,3029,1120,154,0.575882884839549635813682471053,0.5
37,37_0,RUNNING,SOBOL,,,906,3368,3120,0.229037458760663864554274482543,0.9
38,38_0,RUNNING,SOBOL,,,1312,1385,2309,0.764081098759546883947280093707,0.00000000001
39,39_0,RUNNING,SOBOL,,,4810,4138,4654,0.416977015135809758739071639866,0.0000001
40,40_0,RUNNING,SOBOL,,,4533,519,1999,0.143964197756722561694076034655,0.3
41,41_0,RUNNING,SOBOL,,,1826,2808,4966,0.553200532471761152741862588300,0.9
42,42_0,RUNNING,SOBOL,,,942,1977,462,0.454780914681032322199882855784,0.2
43,43_0,RUNNING,SOBOL,,,2605,4689,2809,0.864245926281437260030315883341,0.1
44,44_0,RUNNING,SOBOL,,,3637,1709,3801,0.991920046256855147959186069784,0.0000001
45,45_0,RUNNING,SOBOL,,,298,3795,1778,0.340751206984743482131250402745,0.0001
46,46_0,RUNNING,SOBOL,,,1915,797,3504,0.682824124010279809304790887836,0.6
47,47_0,RUNNING,SOBOL,,,4207,3710,841,0.031883455997332929565679648931,0.000000000001
48,48_0,RUNNING,SOBOL,,,4306,706,4717,0.806070976316928811122863862693,0.7
49,49_0,RUNNING,SOBOL,,,2054,3461,2069,0.404660069610923545102565412890,0.01
50,50_0,RUNNING,SOBOL,,,85,1791,2509,0.618054981157183602746840733744,0.0000001
51,51_0,RUNNING,SOBOL,,,3462,4036,471,0.216415397565811878921593347513,0.9
52,52_0,RUNNING,SOBOL,,,2780,2069,1666,0.078996968403458600604949424451,0.5
53,53_0,RUNNING,SOBOL,,,1156,4939,4008,0.737930322598665977551490868791,0.000000000001
54,54_0,RUNNING,SOBOL,,,1689,436,717,0.269190606385469433092794133699,0.4
55,55_0,RUNNING,SOBOL,,,4435,2567,3689,0.927895789321511954561572110833,0.8
56,56_0,RUNNING,SOBOL,,,4948,1450,1032,0.639777407757937899290823224874,0.2
57,57_0,RUNNING,SOBOL,,,1412,4357,3372,0.043202609557658436245652922025,0.3
58,58_0,RUNNING,SOBOL,,,732,1046,1352,0.948568363048136187209991021518,0.0001
59,59_0,FAILED,SOBOL,,,2815,3140,4323,0.352252668533474200263100328812,0.00000001
60,60_0,FAILED,SOBOL,,,3427,152,2814,0.474078191645443458579478601678,0.000000000001
61,61_0,FAILED,SOBOL,,,509,2871,165,0.813098189715296015833700948860,0.7
62,62_0,FAILED,SOBOL,,,2331,2353,4414,0.163079136990010725716260253648,0.5
63,63_0,FAILED,SOBOL,,,3792,4634,2375,0.502357792604714581408131834905,0.9
64,64_0,FAILED,SOBOL,,,3774,1334,4602,0.032242080675438045123115671231,0.0001
65,65_0,FAILED,SOBOL,,,2272,4092,2266,0.628801665475592019838302348944,0.3
66,66_0,FAILED,SOBOL,,,491,1172,3016,0.347124523015692854066571726435,0.4
67,67_0,FAILED,SOBOL,,,3369,3415,40,0.943455430930480343221233852091,0.9
68,68_0,FAILED,SOBOL,,,2872,190,1550,0.821629803718999074391149406438,0.001
69,69_0,FAILED,SOBOL,,,751,3057,4204,0.482594562506303170756893905491,0.7
70,70_0,FAILED,SOBOL,,,1468,2306,1224,0.508925004201009834048363700276,0.000001
71,71_0,FAILED,SOBOL,,,4967,4438,3258,0.169661591729149213714222810268,0.000000000001
72,72_0,FAILED,SOBOL,,,4378,829,916,0.396136012116447111530703750759,0.5
73,73_0,FAILED,SOBOL,,,1669,3738,3569,0.797531705422326875343230767612,0.6
74,74_0,FAILED,SOBOL,,,1099,1677,1860,0.209825404906645418545707570956,0.001
75,75_0,FAILED,SOBOL,,,2761,3768,3892,0.611480201898142672334302005765,0.000000001
76,76_0,FAILED,SOBOL,,,3480,2023,2698,0.748898526960983912381664140412,0.00000000001
77,77_0,FAILED,SOBOL,,,143,4740,361,0.089949929622933272321816389194,0.0001
78,78_0,FAILED,SOBOL,,,2071,472,4921,0.933001034805551188178185384459,0.4
79,79_0,FAILED,SOBOL,,,4364,2756,1944,0.274311095012351846555986867315,0.9
80,80_0,FAILED,SOBOL,,,4151,410,3615,0.560262623853981511778954427427,0.6
81,81_0,FAILED,SOBOL,,,1897,2536,653,0.151041502539068450694514922361,0.00000000001
82,82_0,FAILED,SOBOL,,,242,2096,3926,0.873272509299218624434502089571,0.9
83,83_0,FAILED,SOBOL,,,3618,4971,1574,0.463792284298688184396297629064,0.8
84,84_0,FAILED,SOBOL,,,2623,1739,582,0.336118030481040497292610780278,0.000000000001
85,85_0,FAILED,SOBOL,,,1000,3989,2610,0.987302112895995342967125907307,0.000000001
86,86_0,FAILED,SOBOL,,,1844,756,2114,0.021417806901037693412259699244,0.1
87,87_0,FAILED,SOBOL,,,4591,3507,4772,0.672343231771141303099170727364,0.0001
88,88_0,FAILED,SOBOL,,,4793,2400,2428,0.882737612441182095679437225044,0.00000001
89,89_0,FAILED,SOBOL,,,1255,4686,4457,0.293942542564123887594007555890,0.0000001
90,90_0,RUNNING,SOBOL,,,889,107,268,0.698452766865491847525504454097,0.2
91,91_0,RUNNING,SOBOL,,,2971,2820,2928,0.109886373873800041733872490113,0.3
92,92_0,RUNNING,SOBOL,,,3270,1077,4229,0.221967691898345947931758814775,0.01
93,93_0,RUNNING,SOBOL,,,353,3166,1268,0.568828361120074954548897494533,0.00001
94,94_0,RUNNING,SOBOL,,,2486,1418,3310,0.407973332151770617937103224904,0.001
95,95_0,RUNNING,SOBOL,,,3949,4329,959,0.755062172632664396765278524981,0.000000001
96,96_0,RUNNING,SOBOL,,,4026,1206,1755,0.669518059311434599045753657265,0.000000000001
97,97_0,RUNNING,SOBOL,,,2412,3292,3784,0.010538072252646087101357608162,0.3
98,98_0,RUNNING,SOBOL,,,434,1290,784,0.982207630557939359583485838812,0.001
99,99_0,RUNNING,SOBOL,,,3191,4204,3444,0.323486271301284433743461477206,0.0000000001
100,100_0,RUNNING,SOBOL,,,3051,2194,4944,0.445312151325866600881653312172,0.00001
101,101_0,RUNNING,SOBOL,,,806,4482,1983,0.846737338254228255607358732959,0.00000001
102,102_0,RUNNING,SOBOL,,,1330,313,2752,0.130414480714127423155446194869,0.1
103,103_0,RUNNING,SOBOL,,,4715,3024,402,0.532098801070824301007178291911,0.6
104,104_0,RUNNING,SOBOL,,,4673,1633,3059,0.773436836069449795694197291596,0.8
105,105_0,RUNNING,SOBOL,,,1766,3880,97,0.434370205136015985480923973228,0.00000001
106,106_0,RUNNING,SOBOL,,,1076,863,4637,0.589319099953398151114924985450,0.01
107,107_0,RUNNING,SOBOL,,,2549,3615,2286,0.250024268018081752273928941577,0.6
108,108_0,RUNNING,SOBOL,,,3693,595,1101,0.112605719884857541357447985320,0.0000001
109,109_0,RUNNING,SOBOL,,,165,2722,3130,0.709194798307493323719086220080,0.7
110,110_0,RUNNING,SOBOL,,,1977,1912,1440,0.298901098823174837804117487394,0.00000000001
111,111_0,RUNNING,SOBOL,,,4068,4784,4098,0.895261530103161895510766044026,0.2
112,112_0,RUNNING,SOBOL,,,4284,2130,221,0.172730178590863953091982807564,0.00001
113,113_0,RUNNING,SOBOL,,,2153,4848,2874,0.519561324447393446668286287604,0.9
114,114_0,RUNNING,SOBOL,,,68,366,2397,0.487445630442351118816191046790,0.000000001
115,115_0,RUNNING,SOBOL,,,3557,2648,4431,0.834504977300763117753490405448,0.000000000001
116,116_0,RUNNING,SOBOL,,,2684,645,3429,0.962179454188793914504174153990,0.01
117,117_0,FAILED,SOBOL,,,1173,3551,1092,0.373415803775191290636570329298,0.4
118,118_0,FAILED,SOBOL,,,1588,1862,4346,0.649184797015041059609075091430,0.001
119,119_0,FAILED,SOBOL,,,4456,3955,1370,0.060649793744087222846506080032,0.00000000001
120,120_0,RUNNING,SOBOL,,,4892,62,4024,0.255693017173558467813876404762,0.00001
121,121_0,RUNNING,SOBOL,,,1545,2932,1688,0.906847576223313800447556332074,0.0000001
122,122_0,RUNNING,SOBOL,,,671,2434,3749,0.069702605191618208224646480176,0.1
123,123_0,RUNNING,SOBOL,,,2954,4564,774,0.720598536439239989448424239527,0.7
124,124_0,RUNNING,SOBOL,,,3287,1541,2086,0.608516965601593295964732988068,0.000001
125,125_0,RUNNING,SOBOL,,,569,4296,4740,0.199327263750135902364846174351,0.2
126,126_0,RUNNING,SOBOL,,,2196,965,532,0.792817039448767912901416821114,0.0001
127,127_0,RUNNING,SOBOL,,,3848,3211,2566,0.383368204168975379442230178029,0.00001
128,128_0,RUNNING,SOBOL,,,3841,1956,2136,0.839035942025482706085881545732,0.00001
129,129_0,RUNNING,SOBOL,,,2226,4711,4790,0.499970277730375500802040278359,0.3
130,130_0,RUNNING,SOBOL,,,562,541,560,0.524320534788072056819885347068,0.0000000001
131,131_0,RUNNING,SOBOL,,,3318,2786,2594,0.185026699233800162591734306261,0.6
132,132_0,RUNNING,SOBOL,,,2943,819,3938,0.049556403212249279521817157956,0.1
133,133_0,RUNNING,SOBOL,,,700,3689,1601,0.646146418530493926724034281506,0.000001
134,134_0,RUNNING,SOBOL,,,1534,1686,3603,0.362551015771925444486356582274,0.2
135,135_0,RUNNING,SOBOL,,,4921,3817,626,0.958912354204803696333669904561,0.01
136,136_0,RUNNING,SOBOL,,,4488,200,3283,0.732680664137005832614590872254,0.00001
137,137_0,RUNNING,SOBOL,,,1579,3107,947,0.073701584231108424605238838012,0.8
138,138_0,RUNNING,SOBOL,,,1204,2296,4256,0.918671001762151662184407996392,0.0001
139,139_0,RUNNING,SOBOL,,,2676,4390,1281,0.259950579401105663635007658741,0.000000001
140,140_0,RUNNING,SOBOL,,,3585,1402,251,0.379826274037361133473211793898,0.2
141,141_0,RUNNING,SOBOL,,,58,4121,2906,0.781252457346767181789459755237,0.001
142,142_0,RUNNING,SOBOL,,,2181,1103,2445,0.195526274546980849411426106599,0.7
143,143_0,RUNNING,SOBOL,,,4274,3384,4479,0.597211561542004387703741485893,0.6
144,144_0,RUNNING,SOBOL,,,4099,1029,1246,0.318742318974807870013421506883,0.0001
145,145_0,RUNNING,SOBOL,,,1967,3157,3275,0.969895970871672008506436668540,0.7
146,146_0,RUNNING,SOBOL,,,195,1468,1528,0.006052703114226460311131372549,0.6
147,147_0,RUNNING,SOBOL,,,3684,4340,4187,0.656947697466239377561691981100,0.4
148,148_0,RUNNING,SOBOL,,,2576,2370,3028,0.542917874516919307659179594339,0.5
149,149_0,FAILED,SOBOL,,,1066,4618,68,0.133727176284417520468750240070,0.000000001
150,150_0,RUNNING,SOBOL,,,1793,135,4590,0.857815589742734974088023136574,0.6
151,151_0,RUNNING,SOBOL,,,4662,2888,2239,0.448365787824615835699404442494,0.000000000001
152,152_0,RUNNING,SOBOL,,,4707,1769,4894,0.238216041008010498414293465430,0.9
153,153_0,RUNNING,SOBOL,,,1359,4058,1932,0.585046220226213331550013663218,0.0000000001
154,154_0,RUNNING,SOBOL,,,798,728,2725,0.422333851480856559135190764209,0.000001
155,155_0,RUNNING,SOBOL,,,3080,3439,373,0.769392201958224219993098813575,0.3
156,156_0,RUNNING,SOBOL,,,3179,459,1842,0.899016864234581603021467799408,0.00001
157,157_0,RUNNING,SOBOL,,,463,2545,3871,0.310252276925370107374391182020,0.0001
158,158_0,RUNNING,SOBOL,,,2401,2047,933,0.712721410939469945944324535958,0.01
159,159_0,RUNNING,SOBOL,,,4054,4960,3591,0.124185500515624880346621239369,0.00000001
160,160_0,RUNNING,SOBOL,,,3979,585,4358,0.459307153102010479184258429086,0.000001
161,161_0,RUNNING,SOBOL,,,2478,2673,1396,0.860701909512281426728463884501,0.6
162,162_0,RUNNING,SOBOL,,,383,1921,3417,0.146297312270849938498074038762,0.00000001
163,163_0,RUNNING,SOBOL,,,3262,4832,1065,0.547951202109456025901579323545,0.0001
164,164_0,RUNNING,SOBOL,,,2999,1565,2420,0.683421245317906156380161064590,0.4
165,165_0,RUNNING,SOBOL,,,877,3852,4448,0.024471681341528894043646502610,0.001
166,166_0,RUNNING,SOBOL,,,1283,932,199,0.998121424283832325841103738640,0.7
167,167_0,RUNNING,SOBOL,,,4781,3645,2857,0.339430488109588646139513912203,0.0000000001
168,168_0,RUNNING,SOBOL,,,4582,2261,515,0.097849782276898625288374944375,0.1
169,169_0,FAILED,SOBOL,,,1875,4512,2544,0.694408370696008248046382504981,0.6
170,170_0,FAILED,SOBOL,,,991,244,2103,0.282134553495794526689621761761,0.9
171,171_0,FAILED,SOBOL,,,2654,2994,4762,0.878464494772255410914851836424,0.0000000001
172,172_0,FAILED,SOBOL,,,3607,1216,3723,0.758589023206382995212493369763,0.000000001
173,173_0,FAILED,SOBOL,,,269,3341,762,0.419552874840796008459875565677,0.8
174,174_0,FAILED,SOBOL,,,1886,1281,4051,0.572583457309752685837622721010,0.00000001
175,175_0,FAILED,SOBOL,,,4178,4155,1700,0.233319107942283165968433422677,0.5
176,176_0,FAILED,SOBOL,,,4355,1511,2765,0.948214879212901040617111902975,0.000000000001
177,177_0,FAILED,SOBOL,,,2102,4227,429,0.359420805716887115099922311856,0.01
178,178_0,FAILED,SOBOL,,,134,995,4932,0.633332392258569631948716960324,0.8
179,179_0,FAILED,SOBOL,,,3511,3278,1956,0.044766965905204417208729239519,0.2
180,180_0,RUNNING,SOBOL,,,2750,13,806,0.158796565784141419097608149968,0.0001
181,181_0,RUNNING,SOBOL,,,1126,2923,3461,0.505658142158761592099835979752,0.5
182,182_0,RUNNING,SOBOL,,,1659,2483,1733,0.471501409916207203654181512320,0.4
183,183_0,RUNNING,SOBOL,,,4405,4574,3767,0.818591187292709965284132067609,0.00000001
184,184_0,RUNNING,SOBOL,,,4997,693,1423,0.623303389495238668871479603695,0.6
185,185_0,RUNNING,SOBOL,,,1460,3561,4076,0.214083205075934535077664122582,0.00001
186,186_0,RUNNING,SOBOL,,,781,1812,1119,0.809614071061834694731373929244,0.0000000001
187,187_0,RUNNING,SOBOL,,,2864,3945,3151,0.400134753214195393322683003134,0.0000001
188,188_0,RUNNING,SOBOL,,,3398,2160,4611,0.270510343750938797580118944097,0.8
189,189_0,RUNNING,SOBOL,,,480,4917,2273,0.921695392804220303695217353379,0.7
190,190_0,RUNNING,SOBOL,,,2301,337,3086,0.086407761549577119519760515232,0.00000000001
191,191_0,RUNNING,SOBOL,,,3763,2579,109,0.737334182800725157491683603439,0.000001
192,192_0,RUNNING,SOBOL,,,3823,880,2961,0.205551591072231532031366896263,0.9
193,193_0,RUNNING,SOBOL,,,2321,3598,313,0.614787018634378901182913068624,0.000000001
194,194_0,RUNNING,SOBOL,,,540,1616,4500,0.393567541617900140682451137764,0.000000000001
195,195_0,RUNNING,SOBOL,,,3418,3897,2462,0.803031616322696262244562603883,0.2
196,196_0,RUNNING,SOBOL,,,2842,1895,1003,0.932655921686440736451118027617,0.3
197,197_0,RUNNING,SOBOL,,,721,4801,3345,0.281486086033284677032639820027,0.7
198,198_0,RUNNING,SOBOL,,,1439,612,1302,0.742462328318506448177060974558,0.6
199,199_0,RUNNING,SOBOL,,,4938,2705,4274,0.091520693667232991264093300288,0.00001
200,200_0,RUNNING,SOBOL,,,4426,1312,1619,0.348452601354569180269749040235,0.3
201,201_0,RUNNING,SOBOL,,,1718,4182,3959,0.937261917993426285633518091345,0.00000000001
202,202_0,RUNNING,SOBOL,,,1147,1184,687,0.039661720421165232164373293244,0.6
203,203_0,RUNNING,SOBOL,,,2809,3313,3658,0.628211903631687218485524226708,0.9
204,204_0,FAILED,SOBOL,,,3450,291,4807,0.514182199653238081182848873141,0.001
205,205_0,FAILED,SOBOL,,,114,3046,2158,0.167335836678743354877241245049,0.00000001
206,206_0,FAILED,SOBOL,,,2042,2216,2655,0.825181179951876453415593459795,0.4
207,207_0,FAILED,SOBOL,,,4335,4461,616,0.478076189175248134066720240298,0.0000000001
208,208_0,FAILED,SOBOL,,,4200,2456,3849,0.699041547199711232885022127448,0.0000001
209,209_0,FAILED,SOBOL,,,1946,4542,1824,0.102467715637758374769283875594,0.000000000001
210,210_0,RUNNING,SOBOL,,,291,40,3535,0.888930143868550626251590074389,0.3
211,211_0,RUNNING,SOBOL,,,3667,2954,871,0.292615445734933032895241922233,0.00001
212,212_0,RUNNING,SOBOL,,,2594,944,1911,0.412490783458575593911632495292,0.00000000001
213,213_0,RUNNING,SOBOL,,,971,3233,4877,0.751511718424037078456478866428,0.1
214,214_0,RUNNING,SOBOL,,,1815,1563,318,0.224292524924501773808671600818,0.8
215,215_0,RUNNING,SOBOL,,,4562,4274,2663,0.563572087692096879152359178988,0.000001
216,216_0,RUNNING,SOBOL,,,4842,383,5,0.867771676374599287839828321012,0.001
217,217_0,RUNNING,SOBOL,,,1303,2630,2973,0.466361676821485160449043405606,0.5
218,218_0,RUNNING,SOBOL,,,938,2113,2221,0.556954885093495222214698969765,0.9
219,219_0,RUNNING,SOBOL,,,3020,4865,4568,0.155316238397732370168924376230,0.0000001
220,220_0,RUNNING,SOBOL,,,3241,1845,3214,0.019846061347052454393313780656,0.01
221,221_0,RUNNING,SOBOL,,,324,3972,1191,0.678780411923304183297034342104,0.9
222,222_0,RUNNING,SOBOL,,,2457,662,4170,0.328942057950422195311546147423,0.0000000001
223,223_0,RUNNING,SOBOL,,,3920,3534,1507,0.987648207524791321709756175551,0.6
224,224_0,RUNNING,SOBOL,,,3996,1660,740,0.589664211213588695947862561297,0.0000000001
225,225_0,RUNNING,SOBOL,,,2383,3786,3706,0.242849275138229125925448670387,0.001
226,226_0,RUNNING,SOBOL,,,405,846,1644,0.779873032853007353004670676455,0.5
227,227_0,RUNNING,SOBOL,,,3162,3721,3991,0.432799439232796456789031935841,0.3
228,228_0,RUNNING,SOBOL,,,3100,489,2522,0.303174910798668872935479612352,0.001
229,229_0,RUNNING,SOBOL,,,855,2739,498,0.891954711508005870790327662689,0.0000001
230,230_0,RUNNING,SOBOL,,,1379,2007,4705,0.115174188524484633067146432950,0.000000001
231,231_0,RUNNING,SOBOL,,,4764,4757,2042,0.703694885548204140945927065331,0.0001
232,232_0,RUNNING,SOBOL,,,4643,1150,4388,0.976950433246791316577173347468,0.9
233,233_0,RUNNING,SOBOL,,,1736,3436,2363,0.325812024492770413441888877060,0.1
234,234_0,RUNNING,SOBOL,,,1047,1356,2841,0.665966681219637424149482285429,0.00001
235,235_0,RUNNING,SOBOL,,,2520,4070,177,0.015056443724781275877999675572,0.000001
236,236_0,RUNNING,SOBOL,,,3742,2327,1336,0.129086400516331190058139100074,0.0000000001
237,237_0,FAILED,SOBOL,,,213,4416,4301,0.538292312148958451700764271664,0.7
238,238_0,FAILED,SOBOL,,,2025,168,1049,0.437892509721219513885159813071,0.0000001
239,239_0,FAILED,SOBOL,,,4117,3080,3394,0.847327098239213261088309536717,0.00000000001
240,240_0,RUNNING,SOBOL,,,4255,84,2331,0.065185155743733055877520143895,0.0001
241,241_0,RUNNING,SOBOL,,,2124,2842,4671,0.724148992506787214651353679074,0.6
242,242_0,RUNNING,SOBOL,,,38,2422,132,0.253368186006322493319942168455,0.3
243,243_0,RUNNING,SOBOL,,,3528,4665,3103,0.912103851510211782738224428613,0.01
244,244_0,RUNNING,SOBOL,,,2733,1440,4132,0.792228260973468434436028928758,0.000001
245,245_0,RUNNING,SOBOL,,,1221,4307,1482,0.390786864263936883912009534470,0.9
246,246_0,FAILED,SOBOL,,,1637,1056,3174,0.602324436033144561264407457202,0.2
247,247_0,FAILED,SOBOL,,,4505,3188,1135,0.200654362438246608446590357744,0.0000000001
248,248_0,FAILED,SOBOL,,,4863,2079,3478,0.489017377855256174523645995578,0.5
249,249_0,FAILED,SOBOL,,,1516,4988,829,0.828067799007520033427454109187,0.4
250,250_0,FAILED,SOBOL,,,642,428,3828,0.179906152980402106456025990155,0.00000001
251,251_0,FAILED,SOBOL,,,2925,2518,1790,0.519215231677517263797483337839,0.7
252,252_0,FAILED,SOBOL,,,3336,773,445,0.654685631798580303097878640983,0.00000001
253,253_0,FAILED,SOBOL,,,618,3490,2787,0.058080403080210091237844949319,0.0000000001
254,254_0,FAILED,SOBOL,,,2245,1722,2016,0.965487194808199999940256930131,0.00001
255,255_0,FAILED,SOBOL,,,3897,4006,4988,0.369141069775447250300715040794,0.000000000001
256,256_0,FAILED,SOBOL,,,3897,1729,3699,0.706603495625779065569815884373,0.1
257,257_0,FAILED,SOBOL,,,2228,4018,727,0.117808678561821575381252102943,0.0000001
258,258_0,FAILED,SOBOL,,,613,766,3998,0.890660333527252046081912340014,0.4
259,259_0,FAILED,SOBOL,,,3325,3477,1656,0.302093687722459425248899833605,0.5
260,260_0,FAILED,SOBOL,,,2916,420,501,0.431718227310106172911474686771,0.8
261,261_0,FAILED,SOBOL,,,629,2506,2539,0.778578643718734419998384055361,0.9
262,262_0,FAILED,SOBOL,,,1512,2086,2040,0.245483746586367485020829803943,0.01
263,263_0,FAILED,SOBOL,,,4845,5000,4688,0.592572839880362134401536877704,0.001
264,264_0,FAILED,SOBOL,,,4499,1068,2346,0.849504714107140901369064067694,0.2
265,265_0,FAILED,SOBOL,,,1625,3195,4385,0.440283369721844786148778894130,0.00000001
266,266_0,FAILED,SOBOL,,,1221,1428,194,0.536754244646057476764156035642,0.8
267,267_0,FAILED,SOBOL,,,2717,4300,2843,0.127274242715910090861797243633,0.00000000001
268,268_0,FAILED,SOBOL,,,3524,2410,4314,0.013244297077879309265657781225,0.01
269,269_0,FAILED,SOBOL,,,21,4657,1343,0.664428602563217229892700288474,0.5
270,270_0,RUNNING,SOBOL,,,2115,97,3382,0.328202865904197116364571229497,0.000000001
271,271_0,FAILED,SOBOL,,,4242,2849,1041,0.979128067703917581710015838325,0.3
272,272_0,FAILED,SOBOL,,,4107,161,4683,0.201918328490108239803291212411,0.1
273,273_0,FAILED,SOBOL,,,2019,3067,2338,0.603314244866371196529541975906,0.0000001
274,274_0,FAILED,SOBOL,,,198,2335,3090,0.387969638686627149581909179688,0.6
275,275_0,FAILED,SOBOL,,,3740,4428,124,0.789624212607741404745809177257,0.001
276,276_0,FAILED,SOBOL,,,2501,1364,1466,0.909499791990965644750133378693,0.0000001
277,277_0,FAILED,SOBOL,,,1044,4082,4130,0.250550971582531922798864343349,0.8
278,278_0,FAILED,SOBOL,,,1722,1143,1152,0.725138819929212363746273695142,0.00000000001
279,279_0,FAILED,SOBOL,,,4635,3425,3177,0.066449103206396104015496462125,0.00001
280,280_0,FAILED,SOBOL,,,4749,1994,831,0.370648665864020565585690292210,0.000001
281,281_0,FAILED,SOBOL,,,1377,4749,3494,0.967207997851073697503920811869,0.5
282,282_0,FAILED,SOBOL,,,845,501,1787,0.055994112227112056989763999582,0.2
283,283_0,FAILED,SOBOL,,,3093,2746,3810,0.652325272955000423635851802828,0.8
284,284_0,FAILED,SOBOL,,,3148,858,2780,0.516854861680418276037585201266,0.1
285,285_0,FAILED,SOBOL,,,397,3728,433,0.177819873280823242955861474002,0.7
286,286_0,FAILED,SOBOL,,,2364,1648,4996,0.829788620639592355843205950805,0.3
287,287_0,FAILED,SOBOL,,,3993,3778,2029,0.490524955354630920467684518371,0.00001
288,288_0,FAILED,SOBOL,,,3913,655,296,0.092723733620718118420001019331,0.8
289,289_0,FAILED,SOBOL,,,2447,3522,2959,0.743878545483574238339485873439,0.0000001
290,290_0,FAILED,SOBOL,,,322,1852,2480,0.278973442615941147337821348628,0.5
291,291_0,FAILED,SOBOL,,,3225,3985,4503,0.929869121050462155153581988998,0.01
292,292_0,FAILED,SOBOL,,,3017,2120,3357,0.800244834275916194776812062628,0.000000000001
293,293_0,FAILED,SOBOL,,,919,4878,1010,0.391054879611358041646695937743,0.6
294,294_0,FAILED,SOBOL,,,1295,375,4261,0.616203224645927583047466669086,0.0001
295,295_0,FAILED,SOBOL,,,4827,2618,1295,0.206754642179235809118509337168,0.4
296,296_0,FAILED,SOBOL,,,4560,1550,3952,0.480010163852944982121329076108,0.5
297,297_0,FAILED,SOBOL,,,1800,4267,1607,0.826841086639091393806211272022,0.000000001
298,298_0,FAILED,SOBOL,,,964,956,3665,0.165066823298111564621848401657,0.0000000001
299,299_0,FAILED,SOBOL,,,2584,3240,700,0.512126393226906673206144660071,0.0001
300,300_0,RUNNING,SOBOL,,,3659,52,2160,0.626156115794554324338605511002,0.1
301,301_0,RUNNING,SOBOL,,,277,2961,4824,0.037392688451334837873574201694,0.00000000001
