trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
182,182_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,150,2,129,1
183,183_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,2,136,4
184,184_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3190,1,2,155,10
185,185_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4155,2,89,10
186,186_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,410,1000,212,10
187,187_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,123,10
188,188_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,3.000000000000000000000000000000,5000,199,585,163,9
189,189_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,390,2,155,10
190,190_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,490,2,2,10
191,191_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,405,813,183,1
192,192_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3356,2,102,10
193,193_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1592,1,2,132,10
194,194_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,5.000000000000000000000000000000,5000,373,1000,250,1
195,195_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,2,69,10
196,196_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,149,475,184,1
197,197_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3307,1000,99,10
198,198_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1000,100,1
199,199_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1000,143,10
200,200_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,2,192,10
201,201_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,4.000000000000000000000000000000,1420,60,2,150,1
202,202_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3994,2,122,1
203,203_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2956,2,111,1
204,204_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4566,1000,250,10
205,205_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1,1000,250,10
206,206_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,9.000000000000000000000000000000,5000,1,90,124,8
207,207_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,1.000000000000000000000000000000,2129,429,1000,250,1
208,208_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3718,1000,114,1
209,209_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2622,678,121,10
210,210_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,61,2,173,10
211,211_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,2911,82,2,183,1
212,212_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3138,287,2,176,10
213,213_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,2.000000000000000000000000000000,5000,581,1000,189,10
214,214_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,119,10
215,215_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,4.000000000000000000000000000000,4412,601,1000,250,1
216,216_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,6.000000000000000000000000000000,5000,89,2,174,1
217,217_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1590,1,2,174,10
218,218_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,656,2,154,10
219,219_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,7.000000000000000000000000000000,677,1,2,180,1
220,220_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,5.000000000000000000000000000000,5000,395,1000,201,5
221,221_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3676,1000,2,10
222,222_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,2.000000000000000000000000000000,2269,260,1000,207,1
223,223_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2990,1000,184,10
224,224_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,3.000000000000000000000000000000,5000,458,2,166,1
225,225_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,4.000000000000000000000000000000,1559,683,1000,197,1
226,226_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,345,2,170,10
227,227_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,942,1000,195,10
228,228_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,1.000000000000000000000000000000,2037,1,2,208,1
229,229_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,5.000000000000000000000000000000,3793,252,1000,216,1
230,230_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3674,2,2,1
231,231_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4011,1000,144,10
232,232_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3486,1000,149,1
233,233_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1,2,174,7
234,234_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3221,2,202,10
235,235_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2483,2,67,10
236,236_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,1034,1000,250,1
237,237_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2882,3210,2,125,10
238,238_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3488,1,2,169,10
239,239_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1031,2,157,10
240,240_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,5.000000000000000000000000000000,3411,676,1000,207,1
241,241_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,5000,590,1000,195,1
242,242_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3474,251,2,181,9
243,243_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,2.000000000000000000000000000000,2660,837,1000,215,1
244,244_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2678,1000,2,10
245,245_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,2.000000000000000000000000000000,2547,1160,1000,204,1
246,246_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4742,2,2,1
247,247_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,4.000000000000000000000000000000,5000,856,1000,186,1
248,248_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,224,2,171,10
249,249_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2071,1,2,178,10
250,250_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,799,1000,152,1
251,251_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,1,2,152,10
252,252_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,3430,601,1000,250,1
253,253_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,4315,2711,2,142,10
254,254_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,4.000000000000000000000000000000,1871,737,1000,250,1
255,255_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,6.000000000000000000000000000000,5000,1185,1000,186,1
256,256_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,5.000000000000000000000000000000,5000,590,1000,250,1
257,257_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1546,1,2,250,10
258,258_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,2762,383,1000,178,8
259,259_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.579999999999999960031971113494,3.000000000000000000000000000000,2955,762,1000,250,1
260,260_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,3279,4476,1000,2,1
261,261_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,4.000000000000000000000000000000,4094,591,1000,200,1
262,262_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,3.000000000000000000000000000000,765,707,1000,193,1
263,263_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2953,2,137,1
264,264_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4162,2,2,10
265,265_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2097,2,149,10
266,266_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1000,184,10
