trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1567,1567_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1532.000000000000000000000000000000,25,551,0.421179052356630556630534556461,0.227094295442104326943066894273,str\(\'kl\'\),0.060214816816151151002145525126,True
1568,1568_0,FAILED,SOBOL,,,1863,4113,0.743021231163293105481670863810,0.650782880675047636920282911888,str\(\'kl\'\),0.086041003931313753128051757812,False
1569,1569_0,COMPLETED,SOBOL,0.239999999999999991118215802999,836.000000000000000000000000000000,4080,1298,0.138912248434498897253774885030,0.274494279481470593307079752776,str\(\'intersection\'\),0.051452925847843299089756641251,True
1570,1570_0,COMPLETED,SOBOL,0.029999999999999998889776975375,9138.000000000000000000000000000000,3849,3592,0.678798996474593852035184227134,0.185657291322946560452322728452,str\(\'kl\'\),0.035197066692635420315227179344,False
1571,1571_0,COMPLETED,SOBOL,0.029999999999999998889776975375,667.000000000000000000000000000000,1456,767,0.191712863111868497822953827381,0.811263175565749450335317760619,str\(\'intersection\'\),0.092278962619602680761410340438,True
1572,1572_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1886.000000000000000000000000000000,403,4563,0.895525641718879383823548323562,0.314905278809368638359700298679,str\(\'intersection\'\),0.076302106846123943229009967126,False
1573,1573_0,COMPLETED,SOBOL,0.029999999999999998889776975375,14214.000000000000000000000000000000,3030,2370,0.469844648521393515316901812184,0.687360311370342924597309774981,str\(\'kl\'\),0.016050717281177642736800237344,True
1574,1574_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2381.000000000000000000000000000000,3629,3754,0.125295338874682776753033408568,0.514288211064413136597295306274,str\(\'kl\'\),0.044127487055957322070742776532,False
1575,1575_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1026.000000000000000000000000000000,1060,1582,0.511040426187217233788828707475,0.387438667042180884259039430617,str\(\'intersection\'\),0.081961346669122581154454110219,True
1576,1576_0,COMPLETED,SOBOL,0.029999999999999998889776975375,621.000000000000000000000000000000,2039,3094,0.341298178352415548797438304973,0.985155938798561670033393511403,str\(\'intersection\'\),0.064204706074669964932510879407,False
1577,1577_0,COMPLETED,SOBOL,0.239999999999999991118215802999,3570.000000000000000000000000000000,4529,286,0.790382400026544917892579178442,0.113944566017016774006620494220,str\(\'kl\'\),0.029529477152973417075632056594,True
1578,1578_0,COMPLETED,SOBOL,0.029999999999999998889776975375,7485.000000000000000000000000000000,4520,3105,0.654142974054440884401628863998,0.608177203383296727245976853737,str\(\'kl\'\),0.092445374410599467918103755437,False
1579,1579_0,COMPLETED,SOBOL,0.140000000000000013322676295502,668.000000000000000000000000000000,2049,279,0.229986718975007525811449227149,0.481323718450963500270489703325,str\(\'intersection\'\),0.035005764001980424482418641219,True
1580,1580_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1071.000000000000000000000000000000,1075,3762,0.933251294679939724652228960622,0.891413457248359963891459756269,str\(\'intersection\'\),0.016238403012976049266669065219,False
1581,1581_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2390.000000000000000000000000000000,3623,1569,0.445736858746036912481969238797,0.020206025376915931479615551325,str\(\'kl\'\),0.076133475527167329688360553064,True
1582,1582_0,COMPLETED,SOBOL,0.029999999999999998889776975375,3003.000000000000000000000000000000,3040,4555,0.085628064569085837742790090488,0.216510640254244213220857773194,str\(\'kl\'\),0.081801075795665381673593685719,False
1583,1583_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1305.000000000000000000000000000000,394,2384,0.533191370064392655692131484102,0.842120435664430289079973590560,str\(\'intersection\'\),0.044312648829072716349930516344,True
1584,1584_0,COMPLETED,SOBOL,0.029999999999999998889776975375,780.000000000000000000000000000000,1450,3582,0.363997325131669657860555844309,0.283890071867033855212980597571,str\(\'intersection\'\),0.029346556365489960549464143469,False
1585,1585_0,COMPLETED,SOBOL,0.029999999999999998889776975375,5189.000000000000000000000000000000,3862,773,0.750166893076151586328137454984,0.656341193260625010985620519932,str\(\'kl\'\),0.064368572449311614591671570906,True
1586,1586_0,COMPLETED,SOBOL,0.029999999999999998889776975375,692.000000000000000000000000000000,4071,4107,0.307375663505867147140548922835,0.754872864881530380998242435453,str\(\'intersection\'\),0.069379840949550269924017698031,False
1587,1587_0,FAILED,SOBOL,,,1873,1308,0.826007168684154802207331158570,0.133226316353306173390080857644,str\(\'kl\'\),0.011853016670793295114783028055,True
1588,1588_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1556.000000000000000000000000000000,39,2740,0.025342523951083422567576164397,0.744511978002265095710754394531,str\(\'kl\'\),0.039480939805507660189665131156,False
1589,1589_0,COMPLETED,SOBOL,0.220000000000000001110223024625,1284.000000000000000000000000000000,2784,560,0.605384883614257018891180450737,0.368219435898587132971471191922,str\(\'intersection\'\),0.099463185286149391473031755595,True
1590,1590_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1353.000000000000000000000000000000,3372,3243,0.985990988835692361291762608744,0.428235183112323281040545452925,str\(\'intersection\'\),0.060050995033234362552310159344,False
1591,1591_0,COMPLETED,SOBOL,0.029999999999999998889776975375,3384.000000000000000000000000000000,687,1040,0.381575544578954595209552280721,0.551125361677259228976311078441,str\(\'kl\'\),0.022651112312451007063662800078,True
1592,1592_0,FAILED,SOBOL,,,2446,4913,0.702747664568945773488906070270,0.072386575028300287337756913075,str\(\'kl\'\),0.051267805984243755568208200657,False
1593,1593_0,COMPLETED,SOBOL,0.029999999999999998889776975375,903.000000000000000000000000000000,4741,2097,0.161677061557769785604676826551,0.947435487095266593016162914864,str\(\'intersection\'\),0.086201232895255094912378979188,True
1594,1594_0,FAILED,SOBOL,,,4958,4843,0.848514788161963240398222296790,0.276303916586563003132681615170,str\(\'kl\'\),0.025723614338785415200927531032,True
1595,1595_0,COMPLETED,SOBOL,0.029999999999999998889776975375,696.000000000000000000000000000000,2233,2017,0.267324599394574757837972356356,0.648450427936390072503058945586,str\(\'intersection\'\),0.055389766963198791560607503470,False
1596,1596_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1597.000000000000000000000000000000,866,3313,0.569415472144261025633227291110,0.224289766287431108215955077867,str\(\'intersection\'\),0.085769781721755866676915047719,True
1597,1597_0,COMPLETED,SOBOL,0.029999999999999998889776975375,823.000000000000000000000000000000,3200,1120,0.051566317554563284586421900713,0.850082345569506236948598143499,str\(\'kl\'\),0.052945003770291813871562425220,False
1598,1598_0,COMPLETED,SOBOL,0.029999999999999998889776975375,11979.000000000000000000000000000000,2522,2504,0.419494650682434466748560453198,0.914845625389367311797172988008,str\(\'kl\'\),0.013516350286081434475815576945,True
1599,1599_0,COMPLETED,SOBOL,0.250000000000000000000000000000,920.000000000000000000000000000000,285,333,0.961716889865696478167933491932,0.043455409646034240389589342612,str\(\'intersection\'\),0.068934444803744554519653320312,False
1600,1600_0,COMPLETED,SOBOL,0.029999999999999998889776975375,677.000000000000000000000000000000,1574,4343,0.141118184946477404073661432449,0.584569196294993154161545589886,str\(\'intersection\'\),0.094810065366327772595766987251,True
1601,1601_0,COMPLETED,SOBOL,0.029999999999999998889776975375,4322.000000000000000000000000000000,4357,1535,0.744747471546754247206933996495,0.458020321406424069099472262678,str\(\'kl\'\),0.042561469851061704827710485688,False
1602,1602_0,COMPLETED,SOBOL,0.029999999999999998889776975375,852.000000000000000000000000000000,3962,3658,0.189997988164424896906368189775,0.111147887080907822876518764588,str\(\'intersection\'\),0.048974520461633808121604261032,True
1603,1603_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1324.000000000000000000000000000000,1354,859,0.676589211998507411571779357473,0.986501349706202734779481033911,str\(\'kl\'\),0.078727930206805477042486529626,False
1604,1604_0,FAILED,SOBOL,,,534,4478,0.472020145220682030284820029920,0.389286610908806340880516927427,str\(\'kl\'\),0.062690644599497316602487728687,True
1605,1605_0,COMPLETED,SOBOL,0.029999999999999998889776975375,884.000000000000000000000000000000,2907,2298,0.897221438571810692153007948946,0.511994065087288618975946974388,str\(\'intersection\'\),0.029778737602755428470757692594,False
1606,1606_0,COMPLETED,SOBOL,0.029999999999999998889776975375,967.000000000000000000000000000000,3557,4004,0.508856826456263622304732052726,0.689906616108492021233189461782,str\(\'intersection\'\),0.035451804045587773095427053249,True
1607,1607_0,COMPLETED,SOBOL,0.029999999999999998889776975375,872.000000000000000000000000000000,1125,1802,0.123606663543730968535250269724,0.313796798391267672823090606471,str\(\'kl\'\),0.090781396897509691878980220281,False
1608,1608_0,FAILED,SOBOL,,,2023,2863,0.792105318520218149025424736465,0.809652162188664092923318094108,str\(\'kl\'\),0.073052216423675417344973936906,True
1609,1609_0,ABANDONED,SOBOL,,,4533,47,0.343500781821087008971460363682,0.187701063102111209701661209692,str\(\'intersection\'\),0.020892251990735532379828143235,False
1610,1610_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1953.000000000000000000000000000000,4617,3856,0.011281605806201695785251359894,0.447850785231217740633979929044,str\(\'kl\'\),0.032057686382904654331937877032,True
1611,1611_0,COMPLETED,SOBOL,0.029999999999999998889776975375,590.000000000000000000000000000000,1951,1675,0.623134880268946256265394367801,0.570501274669542923767551201308,str\(\'intersection\'\),0.061723188739269976843537790501,False
1612,1612_0,COMPLETED,SOBOL,0.280000000000000026645352591004,903.000000000000000000000000000000,1207,3030,0.289659015873447056588219084006,0.052762884749099611680911436906,str\(\'intersection\'\),0.079435846135020263258930128814,True
1613,1613_0,COMPLETED,SOBOL,0.050000000000000002775557561563,2258.000000000000000000000000000000,3482,232,0.840103324513882365742745150783,0.928051485942676612772572752874,str\(\'kl\'\),0.046611788859590892741824319501,False
1614,1614_0,FAILED,SOBOL,,,2825,3490,0.689505266016349205315805193095,0.868040138792246618315573414293,str\(\'kl\'\),0.018444344159215690648334629032,True
1615,1615_0,COMPLETED,SOBOL,0.280000000000000026645352591004,509.000000000000000000000000000000,608,674,0.179027316085994231409372900998,0.246146049059927457536289807649,str\(\'intersection\'\),0.073861788073554632272355036093,False
1616,1616_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1769.000000000000000000000000000000,1270,4627,0.968605556108057541564448911231,0.631337563980370775063022392715,str\(\'intersection\'\),0.089882551943883309819582905220,True
1617,1617_0,COMPLETED,SOBOL,0.029999999999999998889776975375,3374.000000000000000000000000000000,4034,2424,0.394784653594717371838385133742,0.255292563080787682228134372053,str\(\'kl\'\),0.037634676098823552359284860813,False
1618,1618_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2032.000000000000000000000000000000,4285,2691,0.920054580941796262827381269744,0.157925861664116373717092756124,str\(\'intersection\'\),0.053890540953725585282541032939,True
1619,1619_0,COMPLETED,SOBOL,0.029999999999999998889776975375,768.000000000000000000000000000000,1658,497,0.463102341545745754824991990972,0.783775405686348625167170212080,str\(\'kl\'\),0.083644587555900221098603708469,False
1620,1620_0,RUNNING,SOBOL,,,211,4215,0.636803226141259060000265890267,0.342482938617467869146793191248,str\(\'kl\'\),0.057774503743276008072005112126,True
1621,1621_0,COMPLETED,SOBOL,0.209999999999999992228438827624,581.000000000000000000000000000000,2604,1390,0.243211056262254726734184373527,0.714694311399012849328471475019,str\(\'intersection\'\),0.024861857295036315917968750000,False
1622,1622_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1078.000000000000000000000000000000,3274,4970,0.349921178715303538009351314031,0.518385296458378386219578715099,str\(\'intersection\'\),0.041773902708664545357919450908,True
1623,1623_0,COMPLETED,SOBOL,0.029999999999999998889776975375,5429.000000000000000000000000000000,784,2162,0.767871204916387828376400648267,0.391779412215575550959556494490,str\(\'kl\'\),0.097104132752865557343113778188,False
1624,1624_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1409.000000000000000000000000000000,2305,3127,0.067896188665181392285496997374,0.981212504284456388248258917884,str\(\'kl\'\),0.066729653403162961233796579563,True
1625,1625_0,COMPLETED,SOBOL,0.320000000000000006661338147751,540.000000000000000000000000000000,4874,956,0.547241841079667223901594752533,0.109757471723482019632101014395,str\(\'intersection\'\),0.014568950524553658104620623703,False
1626,1626_0,COMPLETED,SOBOL,0.029999999999999998889776975375,4576.000000000000000000000000000000,4823,3368,0.485609961023554193015883129192,0.686124460551887804804493953270,str\(\'kl\'\),0.097372375698760157969324779970,False
1627,1627_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1691.000000000000000000000000000000,2372,1187,0.880003516830503929035955934523,0.309774938836693769506069884301,str\(\'intersection\'\),0.039933413211256270358706643719,True
1628,1628_0,COMPLETED,SOBOL,0.029999999999999998889776975375,616.000000000000000000000000000000,771,4729,0.207241644792258733476231213899,0.813442405905574594804363641742,str\(\'intersection\'\),0.011311269961297512609554871688,False
1629,1629_0,COMPLETED,SOBOL,0.029999999999999998889776975375,7968.000000000000000000000000000000,3300,1931,0.663027019744738987938603713701,0.191731010816991342959880739727,str\(\'kl\'\),0.071205614758655430551748111156,True
1630,1630_0,RUNNING,SOBOL,,,2699,4290,0.805790311019867644404257589485,0.013821911809965968520597101588,str\(\'kl\'\),0.088134155590087179255043281501,False
1631,1631_0,COMPLETED,SOBOL,0.029999999999999998889776975375,699.000000000000000000000000000000,111,1475,0.325647079745307543863219734703,0.888927818359807164760866271536,str\(\'intersection\'\),0.050646376209333543449986336782,True
