trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
2173,2173_0,FAILED,BOTORCH_MODULAR,,,4159,1,2,2,6
2174,732_0,FAILED,BOTORCH_MODULAR,,,1069,1,2,50,3
2175,2175_0,FAILED,BOTORCH_MODULAR,,,4195,1,2,63,3
2176,824_0,FAILED,BOTORCH_MODULAR,,,1033,1,2,49,3
2177,2177_0,FAILED,BOTORCH_MODULAR,,,4203,1,2,61,3
2178,694_0,FAILED,BOTORCH_MODULAR,,,4249,1,2,2,6
2179,2179_0,FAILED,BOTORCH_MODULAR,,,1176,1,2,158,3
2180,798_0,FAILED,BOTORCH_MODULAR,,,1066,1,2,51,3
2181,2181_0,FAILED,BOTORCH_MODULAR,,,4209,1,2,58,3
2182,540_0,FAILED,BOTORCH_MODULAR,,,1054,1,2,51,3
2183,2183_0,FAILED,BOTORCH_MODULAR,,,2539,1,2,250,4
2184,638_0,FAILED,BOTORCH_MODULAR,,,1075,1,2,51,3
2185,910_0,FAILED,BOTORCH_MODULAR,,,4207,1,2,2,6
2186,1038_0,FAILED,BOTORCH_MODULAR,,,1070,1,2,51,3
2187,2187_0,FAILED,BOTORCH_MODULAR,,,1254,1,2,166,3
2188,2188_0,FAILED,BOTORCH_MODULAR,,,1651,1,2,232,4
2189,2189_0,FAILED,BOTORCH_MODULAR,,,4078,1,2,56,3
2190,668_0,FAILED,BOTORCH_MODULAR,,,1047,1,2,50,3
2191,2191_0,FAILED,BOTORCH_MODULAR,,,1701,13,2,243,4
2192,2066_0,FAILED,BOTORCH_MODULAR,,,1046,1,2,52,3
2193,2193_0,FAILED,BOTORCH_MODULAR,,,2073,1,2,250,4
2194,2194_0,FAILED,BOTORCH_MODULAR,,,4177,1,2,51,4
2195,595_0,FAILED,BOTORCH_MODULAR,,,1058,1,2,51,3
2196,2196_0,FAILED,BOTORCH_MODULAR,,,4588,1,1000,2,7
2197,2197_0,FAILED,BOTORCH_MODULAR,,,4225,1,2,46,4
2198,2198_0,FAILED,BOTORCH_MODULAR,,,1024,1,2,50,3
2199,2199_0,FAILED,BOTORCH_MODULAR,,,1172,1,2,164,3
2200,670_0,FAILED,BOTORCH_MODULAR,,,1031,1,2,50,3
2201,2201_0,FAILED,BOTORCH_MODULAR,,,2392,1,2,229,4
2202,1248_0,FAILED,BOTORCH_MODULAR,,,1059,1,2,49,3
2203,2203_0,FAILED,BOTORCH_MODULAR,,,1892,1,2,228,4
2204,632_0,FAILED,BOTORCH_MODULAR,,,1056,1,2,50,3
2205,2205_0,FAILED,BOTORCH_MODULAR,,,4258,1,2,61,3
2206,1602_0,FAILED,BOTORCH_MODULAR,,,1037,1,2,49,3
2207,1010_0,FAILED,BOTORCH_MODULAR,,,4136,1,2,2,6
2208,2208_0,FAILED,BOTORCH_MODULAR,,,1526,331,2,182,4
2209,557_0,FAILED,BOTORCH_MODULAR,,,1062,1,2,50,3
2210,2210_0,FAILED,BOTORCH_MODULAR,,,2641,1,2,236,4
2211,2211_0,FAILED,BOTORCH_MODULAR,,,4212,1,2,56,3
2212,2212_0,FAILED,BOTORCH_MODULAR,,,2718,1,2,233,4
2213,2213_0,FAILED,BOTORCH_MODULAR,,,4239,1,2,51,4
2214,2214_0,FAILED,BOTORCH_MODULAR,,,4176,1,2,59,3
2215,961_0,FAILED,BOTORCH_MODULAR,,,1055,1,2,51,3
2216,2216_0,FAILED,BOTORCH_MODULAR,,,1222,1,2,164,3
2217,2217_0,FAILED,BOTORCH_MODULAR,,,4291,1,2,53,4
