trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,1,0.621781744436937344744364963844
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,28.000000000000000000000000000000,4984,0.775664145093226231608696252806
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,4927,0.507923581044933736272639634990
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,29.000000000000000000000000000000,1862,0.998999999999999999111821580300
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,15.000000000000000000000000000000,43,0.044103947912635534100989076478
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,55.000000000000000000000000000000,2578,0.001000000000000000020816681712
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,40.000000000000000000000000000000,3395,0.218449817757594866307613301615
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,98.000000000000000000000000000000,3463,0.107318453608752639727441646755
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,13.000000000000000000000000000000,1,0.111636127736408116706279258779
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.619999999999999995559107901499,72.000000000000000000000000000000,3541,0.173632599392498254697869697338
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,32.000000000000000000000000000000,3186,0.331516366930539818635992332929
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,16.000000000000000000000000000000,1,0.340950060324323345195551837605
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,28.000000000000000000000000000000,1,0.918506431446872828594507609523
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,37.000000000000000000000000000000,2230,0.001000000000000000020816681712
