trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
1820,1820_0,RUNNING,BOTORCH_MODULAR,,,2569,4374,3874,0.001000000000000000020816681712,0.531862543087043837530814016645,5.702070673454582738770568539621,str\(\'t-test\'\),str\(\'bounded\'\),4944
1821,1821_0,RUNNING,BOTORCH_MODULAR,,,648,2515,580,0.357790689589121135849580923605,0.204801826853851592913358103942,3.276262588852695500918343896046,str\(\'ks-test\'\),str\(\'bounded\'\),3702
1822,1822_0,RUNNING,BOTORCH_MODULAR,,,3959,2930,1961,0.716769215611219201456094651803,0.761792146177303286513904367894,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1920
1823,1823_0,RUNNING,BOTORCH_MODULAR,,,4815,3126,2778,0.998999999999999999111821580300,0.379675915452148626805239928217,10.000000000000000000000000000000,str\(\'ks-test\'\),str\(\'full\'\),495
1824,1824_0,RUNNING,BOTORCH_MODULAR,,,955,4311,3998,0.654008765301833161487365941866,0.267528613880307519767853818848,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'bounded\'\),4237
1825,1825_0,FAILED,BOTORCH_MODULAR,,,4722,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1396
1826,1826_0,FAILED,BOTORCH_MODULAR,,,4721,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1774
1827,1827_0,FAILED,BOTORCH_MODULAR,,,4724,1,1,0.998999999999999999111821580300,0.847325014504116791336230107845,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1828,1828_0,FAILED,BOTORCH_MODULAR,,,4832,3,1,0.998999999999999999111821580300,0.377696020229724038763663429563,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),96
1829,1829_0,RUNNING,BOTORCH_MODULAR,,,4832,3729,4536,0.998999999999999999111821580300,0.744492511941863943647490486910,6.569627714257654460539015417453,str\(\'ks-test\'\),str\(\'full\'\),3018
1830,1830_0,RUNNING,BOTORCH_MODULAR,,,4760,2099,567,0.001000000000000000020816681712,0.936335985117452973547358396900,3.653539403566894883113036485156,str\(\'ks-test\'\),str\(\'bounded\'\),2968
1831,1831_0,FAILED,BOTORCH_MODULAR,,,4734,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1355
1832,1832_0,FAILED,BOTORCH_MODULAR,,,4804,1,6,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),799
1833,1833_0,FAILED,BOTORCH_MODULAR,,,4783,1,1,0.998999999999999999111821580300,0.851549264653734483410119082691,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),1
1834,1834_0,FAILED,BOTORCH_MODULAR,,,1,4035,4992,0.001000000000000000020816681712,0.570667974759632490311389574345,10.000000000000000000000000000000,str\(\'t-test\'\),str\(\'full\'\),616
1835,1835_0,FAILED,BOTORCH_MODULAR,,,4750,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1555
1836,1836_0,FAILED,BOTORCH_MODULAR,,,4687,1,1,0.998999999999999999111821580300,0.001000000000000000020816681712,0.001000000000000000020816681712,str\(\'ks-test\'\),str\(\'full\'\),1015
1837,1837_0,FAILED,BOTORCH_MODULAR,,,4809,1,18,0.998999999999999999111821580300,0.998999999999999999111821580300,0.001000000000000000020816681712,str\(\'t-test\'\),str\(\'full\'\),779
