trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
47,47_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3983,370,1875,0.653941005272392406055814717547
48,48_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,26.000000000000000000000000000000,2197,2556,5000,0.100717459892567626211778986089
49,49_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,4296,1820,3281,0.614666286493829816528489118355
50,50_0,FAILED,GenerationStep_1,,,1,1,2154,0.998999999999999999111821580300
51,51_0,COMPLETED,GenerationStep_1,0.579999999999999960031971113494,106.000000000000000000000000000000,2751,667,1,0.093192405126790583969054182489
52,52_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,90.000000000000000000000000000000,3601,2600,110,0.636834177207518226104809855315
53,53_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,27.000000000000000000000000000000,2554,87,826,0.090182374186694808093633923818
54,54_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3753,909,4974,0.608496996740728435248968253291
55,55_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,113,7,3817,0.293839045040965141097899504530
56,56_0,COMPLETED,GenerationStep_1,0.859999999999999986677323704498,365.000000000000000000000000000000,1271,244,61,0.286499875811351167875784540229
57,57_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,21.000000000000000000000000000000,2717,73,1236,0.103051658575288224151123017691
58,58_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3223,181,5000,0.000100000000000000004792173602
59,59_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1,3150,4482,0.888997768142243960376447375893
60,60_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,458.000000000000000000000000000000,3531,169,2,0.329903565225570016838929632286
61,61_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3462,63,300,0.375836141951608360134429176469
62,62_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,130.000000000000000000000000000000,3297,428,1,0.354398652960953741697380792175
63,63_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,21.000000000000000000000000000000,3141,420,1075,0.998999999999999999111821580300
64,64_0,FAILED,GenerationStep_1,,,5000,1,1,0.269299702151359787727358252596
65,65_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,3331,244,466,0.416142443282653706759788292402
66,66_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,938,1531,1697,0.008434369053162558277358940018
67,67_0,FAILED,GenerationStep_1,,,3544,1,106,0.332599442542290346658262478741
68,68_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,93.000000000000000000000000000000,1,4575,1534,0.509728451178346531058593882335
69,69_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,2171,1136,1869,0.000100000000000000004792173602
70,70_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,114.000000000000000000000000000000,1,1709,713,0.542155568832494161313206859631
71,71_0,COMPLETED,GenerationStep_1,0.250000000000000000000000000000,771.000000000000000000000000000000,1,1731,1606,0.021305983552897398564107689367
72,72_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,93.000000000000000000000000000000,1,1494,308,0.468143026817107232862014143393
73,73_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1844,654,4028,0.000100000000000000004792173602
74,74_0,FAILED,GenerationStep_1,,,3585,1,384,0.457778376178841595045554413446
75,75_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,21.000000000000000000000000000000,1281,1070,1869,0.998999999999999999111821580300
76,76_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1699,1325,2914,0.000100000000000000004792173602
77,77_0,COMPLETED,GenerationStep_1,0.429999999999999993338661852249,95.000000000000000000000000000000,2171,1502,288,0.490227810114794326779019684182
78,78_0,COMPLETED,GenerationStep_1,0.680000000000000048849813083507,109.000000000000000000000000000000,3513,614,1,0.368149919542678283335135347443
79,79_0,COMPLETED,GenerationStep_1,0.880000000000000004440892098501,471.000000000000000000000000000000,3372,313,208,0.347024544529090372968482824945
80,80_0,COMPLETED,GenerationStep_1,0.600000000000000088817841970013,153.000000000000000000000000000000,598,1710,971,0.811045935316207056153814392019
81,81_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,93.000000000000000000000000000000,126,4857,1612,0.877067833443371136503685647767
82,82_0,FAILED,GenerationStep_1,,,2048,1,3798,0.998999999999999999111821580300
83,83_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,83.000000000000000000000000000000,1,1751,89,0.405137076737631052214538840417
84,84_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,88.000000000000000000000000000000,1195,4560,1282,0.779622412516048357566944559949
85,85_0,COMPLETED,GenerationStep_1,0.200000000000000011102230246252,88.000000000000000000000000000000,298,4286,1188,0.876249579113277721198471681419
86,86_0,FAILED,GenerationStep_1,,,3815,1,1,0.328132141562808121726391163975
87,87_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,86.000000000000000000000000000000,2256,4234,1018,0.883501129601199641783182414656
88,88_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,104.000000000000000000000000000000,1,4128,1719,0.526829947476466053934984756779
89,89_0,COMPLETED,GenerationStep_1,0.320000000000000006661338147751,80.000000000000000000000000000000,2954,1654,39,0.429651831393105421152966982845
90,90_0,COMPLETED,GenerationStep_1,0.800000000000000044408920985006,207.000000000000000000000000000000,4181,398,126,0.998999999999999999111821580300
91,91_0,COMPLETED,GenerationStep_1,0.670000000000000039968028886506,109.000000000000000000000000000000,5000,1015,158,0.998999999999999999111821580300
92,92_0,COMPLETED,GenerationStep_1,0.419999999999999984456877655248,140.000000000000000000000000000000,5000,1830,875,0.998999999999999999111821580300
93,93_0,FAILED,GenerationStep_1,,,5000,1,2532,0.143346658562024303895654497865
94,94_0,FAILED,GenerationStep_1,,,3712,1,108,0.998999999999999999111821580300
95,95_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,5000,1175,4324,0.000100000000000000004792173602
96,96_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,5000,112,2647,0.998999999999999999111821580300
97,97_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,5000,962,3092,0.998999999999999999111821580300
98,98_0,COMPLETED,GenerationStep_1,0.660000000000000031086244689504,128.000000000000000000000000000000,4775,650,138,0.000100000000000000004792173602
99,99_0,FAILED,GenerationStep_1,,,1,1,2405,0.998999999999999999111821580300
100,100_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1,2568,4702,0.998999999999999999111821580300
101,101_0,FAILED,GenerationStep_1,,,1,1,2058,0.998999999999999999111821580300
102,102_0,FAILED,GenerationStep_1,,,1636,1,3143,0.213034869205099286482152365352
103,103_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,5000,881,3699,0.000100000000000000004792173602
104,104_0,FAILED,GenerationStep_1,,,1,1,4375,0.998999999999999999111821580300
105,105_0,COMPLETED,GenerationStep_1,0.650000000000000022204460492503,147.000000000000000000000000000000,1817,597,148,0.998999999999999999111821580300
106,106_0,COMPLETED,GenerationStep_1,0.260000000000000008881784197001,99.000000000000000000000000000000,5000,5000,1630,0.998999999999999999111821580300
107,107_0,COMPLETED,GenerationStep_1,0.570000000000000062172489379009,123.000000000000000000000000000000,4747,714,140,0.998999999999999999111821580300
108,108_0,FAILED,GenerationStep_1,,,3966,1,110,0.000100000000000000004792173602
109,109_0,FAILED,GenerationStep_1,,,1230,1,2597,0.000100000000000000004792173602
110,110_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,5000,2418,4698,0.998999999999999999111821580300
111,111_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,21.000000000000000000000000000000,1,1744,4363,0.998999999999999999111821580300
112,112_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,24.000000000000000000000000000000,5000,1222,1423,0.998999999999999999111821580300
113,113_0,FAILED,GenerationStep_1,,,5000,1,3053,0.998999999999999999111821580300
114,114_0,FAILED,GenerationStep_1,,,5000,1,2294,0.000100000000000000004792173602
115,115_0,FAILED,GenerationStep_1,,,5000,1,3579,0.998999999999999999111821580300
116,116_0,COMPLETED,GenerationStep_1,0.300000000000000044408920985006,119.000000000000000000000000000000,2952,2085,891,0.998999999999999999111821580300
117,117_0,FAILED,GenerationStep_1,,,5000,1,3232,0.000100000000000000004792173602
118,118_0,FAILED,GenerationStep_1,,,1,1,2272,0.000100000000000000004792173602
119,119_0,COMPLETED,GenerationStep_1,0.609999999999999986677323704498,95.000000000000000000000000000000,5000,1428,166,0.998999999999999999111821580300
120,120_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,5000,845,2564,0.998999999999999999111821580300
121,121_0,COMPLETED,GenerationStep_1,0.859999999999999986677323704498,334.000000000000000000000000000000,3570,290,133,0.199561351504053186012299647700
122,122_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,5000,2344,4370,0.998999999999999999111821580300
123,123_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,23.000000000000000000000000000000,5000,380,2284,0.998999999999999999111821580300
124,124_0,COMPLETED,GenerationStep_1,0.530000000000000026645352591004,96.000000000000000000000000000000,5000,1254,187,0.000100000000000000004792173602
125,125_0,COMPLETED,GenerationStep_1,0.190000000000000002220446049250,22.000000000000000000000000000000,1,191,3228,0.000100000000000000004792173602
