trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,15.000000000000000000000000000000,3793,4938,378,False
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,17.000000000000000000000000000000,3579,3572,1357,False
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,10.000000000000000000000000000000,3709,4157,1,False
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,18.000000000000000000000000000000,4547,5000,744,False
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,18.000000000000000000000000000000,3823,3633,637,False
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1555,1,3089,False
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,11.000000000000000000000000000000,4061,5000,1,False
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,17.000000000000000000000000000000,3397,2613,1906,False
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,1,2710,5000,True
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,5000,4014,1471,True
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,8.000000000000000000000000000000,3032,5000,1,False
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1,2104,1,True
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,19.000000000000000000000000000000,4069,5000,883,False
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,18.000000000000000000000000000000,3761,2366,222,False
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,48.000000000000000000000000000000,1,5000,5000,False
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,12.000000000000000000000000000000,4891,5000,1,False
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,7.000000000000000000000000000000,3424,5000,1,True
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,5000,1,2325,True
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,50.000000000000000000000000000000,552,5000,5000,False
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,5000,1,1,True
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,3142,1,5000,True
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,4134,5000,5000,True
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,1,5000,1,True
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,1827,2788,2660,True
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,25.000000000000000000000000000000,4718,5000,1284,False
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,18.000000000000000000000000000000,3762,2874,1824,False
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,11.000000000000000000000000000000,3621,5000,1,False
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,16.000000000000000000000000000000,3723,3995,1021,False
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,4.000000000000000000000000000000,3092,5000,5000,True
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,5.000000000000000000000000000000,1216,1,3388,False
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,27.000000000000000000000000000000,4356,1287,1486,False
