trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
1024,1024_0,COMPLETED,BOTORCH_MODULAR,0.440000000000000002220446049250,5668.000000000000000000000000000000,3299,3033,0.001000000000000000020816681712,19,0.001000000000000000020816681712
1025,1025_0,RUNNING,BOTORCH_MODULAR,,,3288,3016,8.215694492087420641723838343751,14,0.001000000000000000020816681712
1026,1026_0,RUNNING,BOTORCH_MODULAR,,,3074,3680,4.091838106587106338452031195629,15,0.998999999999999999111821580300
1027,1027_0,COMPLETED,BOTORCH_MODULAR,0.589999999999999968913755310496,80.000000000000000000000000000000,3170,676,3.128667477018128639798533185967,1,0.001000000000000000020816681712
1028,1028_0,COMPLETED,BOTORCH_MODULAR,0.570000000000000062172489379009,114.000000000000000000000000000000,3221,828,6.684791842547647355843309924239,3,0.001000000000000000020816681712
1029,1029_0,RUNNING,BOTORCH_MODULAR,,,4683,2694,0.001000000000000000020816681712,20,0.001000000000000000020816681712
1030,1030_0,COMPLETED,BOTORCH_MODULAR,0.429999999999999993338661852249,121.000000000000000000000000000000,3499,3767,0.363105343906512112450712947975,6,0.695222965729360153908089614561
1031,1031_0,RUNNING,BOTORCH_MODULAR,,,2658,4848,7.613190869903476709623646456748,16,0.223122754340597223565723083993
1032,1032_0,RUNNING,BOTORCH_MODULAR,,,4542,2672,7.273899033118909507322769059101,15,0.656527956036864979161293831567
1033,1033_0,FAILED,BOTORCH_MODULAR,,,3396,4784,1.476160542444518330995606447686,13,0.963825177666231769357807479537
1034,1034_0,FAILED,BOTORCH_MODULAR,,,1374,2926,9.618128106593388793044141493738,14,0.292541408935247382316902076127
1035,1035_0,COMPLETED,BOTORCH_MODULAR,0.579999999999999960031971113494,79.000000000000000000000000000000,2404,289,0.001000000000000000020816681712,2,0.936594134287075053002524782642
1036,1036_0,RUNNING,BOTORCH_MODULAR,,,2446,4697,2.085476693549561222340571475797,19,0.001000000000000000020816681712
1037,1037_0,COMPLETED,BOTORCH_MODULAR,0.530000000000000026645352591004,1355.000000000000000000000000000000,3795,1732,10.000000000000000000000000000000,8,0.998999999999999999111821580300
1038,1038_0,FAILED,BOTORCH_MODULAR,,,3156,2989,10.000000000000000000000000000000,15,0.704734122079039515540443971986
1039,1039_0,FAILED,BOTORCH_MODULAR,,,4764,4889,9.430308105904213533676738734357,12,0.812562894369264432370414397155
1040,1040_0,COMPLETED,BOTORCH_MODULAR,0.530000000000000026645352591004,2252.000000000000000000000000000000,4244,1812,1.513100845452297837923083534406,20,0.527857366480756318161127182975
1041,1041_0,COMPLETED,BOTORCH_MODULAR,0.589999999999999968913755310496,2488.000000000000000000000000000000,4735,1140,3.615880680000445490662741576671,20,0.806313695148479725460788358760
1042,1042_0,COMPLETED,BOTORCH_MODULAR,0.600000000000000088817841970013,148.000000000000000000000000000000,3520,384,8.646934579180399538245183066465,1,0.998999999999999999111821580300
1043,1043_0,FAILED,BOTORCH_MODULAR,,,19,3591,1.445392961800514131098793768615,12,0.001000000000000000020816681712
1044,1044_0,FAILED,BOTORCH_MODULAR,,,2621,4445,8.825301653267304757832789618988,20,0.077365329711311131566375820512
1045,1045_0,FAILED,BOTORCH_MODULAR,,,3769,3140,10.000000000000000000000000000000,14,0.998999999999999999111821580300
1046,1046_0,RUNNING,BOTORCH_MODULAR,,,2400,5000,10.000000000000000000000000000000,19,0.001000000000000000020816681712
1047,1047_0,RUNNING,BOTORCH_MODULAR,,,4371,2374,5.799076098787610433760164596606,20,0.001000000000000000020816681712
1048,1048_0,RUNNING,BOTORCH_MODULAR,,,3757,2452,8.813382783035228484891376865562,20,0.998999999999999999111821580300
1049,1049_0,FAILED,BOTORCH_MODULAR,,,1796,5000,7.711384452929458177550259279087,11,0.320024580615062448352148294362
1050,1050_0,COMPLETED,BOTORCH_MODULAR,0.489999999999999991118215802999,46.000000000000000000000000000000,4440,2247,0.001000000000000000020816681712,6,0.683160469000593351118766349828
