trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,8.000000000000000000000000000000,2494,4263,10.000000000000000000000000000000,14,0.134041231165303337258265514720
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,12.000000000000000000000000000000,2796,4367,0.001000000000000000020816681712,16,0.998999999999999999111821580300
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,2641,4263,0.001000000000000000020816681712,9,0.534092958141472728961218763288
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2791,4521,0.001000000000000000020816681712,6,0.998999999999999999111821580300
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,3.000000000000000000000000000000,2891,4244,10.000000000000000000000000000000,10,0.998999999999999999111821580300
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,8.000000000000000000000000000000,1588,4247,10.000000000000000000000000000000,14,0.001000000000000000020816681712
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,14.000000000000000000000000000000,3141,4496,0.001000000000000000020816681712,17,0.998999999999999999111821580300
113,113_0,FAILED,BoTorch,GenerationStep_1,,,2097,1297,10.000000000000000000000000000000,17,0.001000000000000000020816681712
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,3457,3659,10.000000000000000000000000000000,1,0.809133085905287430250609759241
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,9.000000000000000000000000000000,2259,3634,10.000000000000000000000000000000,12,0.370578917516691974665121733779
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,8.000000000000000000000000000000,3122,4210,10.000000000000000000000000000000,14,0.998999999999999999111821580300
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,1.000000000000000000000000000000,2165,4261,10.000000000000000000000000000000,1,0.173990135602116013924245407907
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,2.000000000000000000000000000000,3832,3680,10.000000000000000000000000000000,8,0.998999999999999999111821580300
119,119_0,FAILED,BoTorch,GenerationStep_1,,,1,204,0.001000000000000000020816681712,20,0.998999999999999999111821580300
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,38.000000000000000000000000000000,2849,163,6.999124660647745521657725475961,8,0.209264120357786298498581345484
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,1.000000000000000000000000000000,1838,3769,6.485074304519098831178780528717,5,0.874912674730019657154400647414
