trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,101.000000000000000000000000000000,2385,93,0.324085192972794200461095215360,0.869514909144490921732995047932,336,EDFSMode.RANDOM
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,51.000000000000000000000000000000,3675,35,0.836493321666494038524319876160,0.438031544843688613877219495407,911,EDFSMode.RANDOM
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,13.000000000000000000000000000000,3473,89,0.051959956847131255619487433250,0.692332536267116660511078407580,261,EDFSMode.RANDOM
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,6.000000000000000000000000000000,2341,34,0.537566104657947962941477726417,0.123896580684930091020845566163,579,EDFSMode.RANDOM
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,50.000000000000000000000000000000,474,70,0.450945238962769501256389048649,0.994641569063067443323689076351,805,EDFSMode.RANDOM
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,6.000000000000000000000000000000,4341,3,0.967234673351049401013312944997,0.313643452374264608550902266870,486,EDFSMode.RANDOM
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,284.000000000000000000000000000000,4651,59,0.651424352092668468294789363426,0.407903528781607738196157697530,386,EDFSMode.RANDOM
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,3.000000000000000000000000000000,784,14,0.135116819260641923827748200893,0.775631258431822012688883205556,960,EDFSMode.RANDOM
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,6565.000000000000000000000000000000,1405,78,0.845734214907512105163789328799,0.156274653792381285066781515525,733,EDFSMode.RANDOM
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,11.000000000000000000000000000000,2538,45,0.360140454938635223847143151943,0.535204221500083843210404666024,163,EDFSMode.RANDOM
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,47.000000000000000000000000000000,2916,66,0.763698682695627240057945073204,0.841078081673011235253056838701,632,EDFSMode.RANDOM
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,10.000000000000000000000000000000,1627,12,0.278106588318943970250529673649,0.475361441202461709742976836424,278,EDFSMode.RANDOM
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,19.000000000000000000000000000000,1186,98,0.741165387816727139203010210622,0.596631734695285520508889476332,504,EDFSMode.RANDOM
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,5.000000000000000000000000000000,4897,30,0.224856189392507066493465117674,0.211914481351152067523102573432,857,EDFSMode.RANDOM
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,29.000000000000000000000000000000,3957,88,0.407924540152773240642147811741,0.056674702754244209168543733313,927,EDFSMode.RANDOM
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,625.000000000000000000000000000000,246,43,0.924215640133246751908302485390,0.627121747516095617847042831272,377,EDFSMode.RANDOM
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,1.000000000000000000000000000000,8,1,0.525615110331652646280531371303,0.230895268584753454721436582986,150,EDFSMode.RANDOM
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,8.000000000000000000000000000000,4078,11,0.264358191265964215244110846470,0.676837003188534458431036000547,468,EDFSMode.RANDOM
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,6.000000000000000000000000000000,3876,10,0.221050813429465142778695962988,0.977706665046743528257877642318,455,EDFSMode.RANDOM
