trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
195,195_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,29.000000000000000000000000000000,1456,5000,1,True
196,196_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,66.000000000000000000000000000000,5000,2015,1,True
197,197_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,5000,2317,3649,True
198,198_0,COMPLETED,BoTorch,GenerationStep_1,0.429999999999999993338661852249,27.000000000000000000000000000000,3043,5000,1,True
199,199_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,53.000000000000000000000000000000,3275,2267,1,False
200,200_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,3708,5000,True
201,201_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,47.000000000000000000000000000000,3813,2842,1,True
202,202_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,3188,4355,5000,True
203,203_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,30.000000000000000000000000000000,877,2200,1,True
204,204_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,54.000000000000000000000000000000,5000,3878,3239,False
205,205_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,79.000000000000000000000000000000,5000,1821,1,True
206,206_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,41.000000000000000000000000000000,972,2188,1,False
207,207_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,5000,3240,3727,True
208,208_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,2726,3304,5000,True
209,209_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,37.000000000000000000000000000000,2692,2179,1,False
210,210_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,52.000000000000000000000000000000,1636,2127,1,True
211,211_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,37.000000000000000000000000000000,1850,4327,1,True
212,212_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,22.000000000000000000000000000000,464,2075,1,True
213,213_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1417,2063,2846,True
214,214_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,4492,381,True
215,215_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,2505,1,5000,False
216,216_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,30.000000000000000000000000000000,2875,2138,1,True
217,217_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,2279,2023,1242,True
218,218_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,64.000000000000000000000000000000,4062,2008,1,True
219,219_0,COMPLETED,BoTorch,GenerationStep_1,0.400000000000000022204460492503,13.000000000000000000000000000000,2147,2072,1,True
220,220_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,48.000000000000000000000000000000,3608,2094,1,True
221,221_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1587,2039,1195,True
222,222_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,38.000000000000000000000000000000,1207,2058,1,True
223,223_0,COMPLETED,BoTorch,GenerationStep_1,0.369999999999999995559107901499,18.000000000000000000000000000000,2250,5000,1520,False
224,224_0,COMPLETED,BoTorch,GenerationStep_1,0.409999999999999975575093458247,14.000000000000000000000000000000,2467,4346,1,False
225,225_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,9.000000000000000000000000000000,1,3821,1,True
226,226_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,62.000000000000000000000000000000,5000,2251,703,False
227,227_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,52.000000000000000000000000000000,3643,2326,2086,False
228,228_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,25.000000000000000000000000000000,1270,4070,1,True
229,229_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,33.000000000000000000000000000000,3750,5000,1278,False
230,230_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,52.000000000000000000000000000000,5000,2607,1,False
231,231_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,57.000000000000000000000000000000,5000,2795,2552,False
232,232_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,453,5000,True
233,233_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,65.000000000000000000000000000000,4411,2130,2983,False
234,234_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,34.000000000000000000000000000000,1707,4244,1,False
235,235_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,15.000000000000000000000000000000,2674,1,3902,False
236,236_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,2795,4121,3309,True
237,237_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,2099,131,True
238,238_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,2440,561,5000,True
239,239_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,1584,4569,True
240,240_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,45.000000000000000000000000000000,1199,1876,1,False
241,241_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,992,1,1,True
242,242_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,817,2144,1025,True
243,243_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,46.000000000000000000000000000000,1213,2160,2714,False
244,244_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,13.000000000000000000000000000000,3824,1,5000,False
245,245_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,730,2046,1438,True
246,246_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,894,2161,652,True
247,247_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,44.000000000000000000000000000000,1398,3080,3460,False
248,248_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,31.000000000000000000000000000000,1094,3164,1,False
249,249_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,40.000000000000000000000000000000,1208,2196,1,False
250,250_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,60.000000000000000000000000000000,4152,3052,4781,False
251,251_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,3696,486,5000,True
