trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,966,0.001000000000000000020816681712,1,0.001000000000000000020816681712
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1069,10.000000000000000000000000000000,6,0.998999999999999999111821580300
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,155.000000000000000000000000000000,4751,1,10.000000000000000000000000000000,1,0.998999999999999999111821580300
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,112.000000000000000000000000000000,1147,1,10.000000000000000000000000000000,5,0.001000000000000000020816681712
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,7.000000000000000000000000000000,5000,132,0.001000000000000000020816681712,3,0.001000000000000000020816681712
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,232,10.000000000000000000000000000000,1,0.998999999999999999111821580300
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,588,1023,10.000000000000000000000000000000,1,0.998999999999999999111821580300
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,914,2850,10.000000000000000000000000000000,1,0.998999999999999999111821580300
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,159,0.001000000000000000020816681712,1,0.998999999999999999111821580300
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,2.000000000000000000000000000000,3383,121,5.822998055870766798136628494831,1,0.741133569117069179732482098188
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,156.000000000000000000000000000000,5000,1,7.321992315384056482230334950145,1,0.701093506497230345431148634816
