trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
418,418_0,FAILED,SOBOL,,,850,0.897155845655128403315359264525,0.770964449420571296123227966746,628,4474,2324
419,419_0,FAILED,SOBOL,,,4361,0.173735576326027513216487818681,0.494571146311238385440134379678,3665,497,3432
420,420_0,FAILED,SOBOL,,,2672,0.600207936802878982973652455257,0.580678924100473503600028379878,1547,2269,3848
421,421_0,FAILED,SOBOL,,,2442,0.313291670380160203190911261117,0.186845542639493933378957990499,4155,2663,581
422,422_0,FAILED,SOBOL,,,1288,0.691096040403470390778295495693,0.255060453699901712454334301583,4387,3245,1667
423,423_0,FAILED,SOBOL,,,3552,0.471431482927873735100376961782,0.976362817525863624368298587797,2404,1767,2737
424,424_0,RUNNING,SOBOL,,,4421,0.801406376631930483789290065033,0.063786289736628531965578758900,2804,1079,4518
425,425_0,FAILED,SOBOL,,,438,0.020487570872530343202289060400,0.667648110480979051217786945926,391,3972,1213
426,426_0,FAILED,SOBOL,,,576,0.772191126469522703956727127661,0.464152655432000738056075306304,3840,1962,2562
427,427_0,FAILED,SOBOL,,,4557,0.049687583468854427948269147919,0.803408263228833630087422079669,1858,2970,1767
428,428_0,FAILED,SOBOL,,,3727,0.724256875850260217752918379119,0.156914371319115175662517458477,3350,4791,960
429,429_0,FAILED,SOBOL,,,1465,0.438255439657717960066918294615,0.612635448092594736557714441005,939,180,4540
430,430_0,RUNNING,SOBOL,,,2342,0.567110882755368916896543396433,0.945959599532187001003080695227,81,771,3136
431,431_0,RUNNING,SOBOL,,,2576,0.346403958275914192199707031250,0.287519540393725014926218364053,3119,4279,2379
432,432_0,FAILED,SOBOL,,,4148,0.926432943940162623164269461995,0.637732182303443528859077105153,2094,3561,363
433,433_0,FAILED,SOBOL,,,633,0.144473682146519427638153842963,0.095758056871593000280995511275,4702,1450,3981
434,434_0,FAILED,SOBOL,,,1123,0.631288877010345417239989274094,0.699900623776018582233859888220,2530,2599,4801
435,435_0,RUNNING,SOBOL,,,4009,0.406473416190594460939422560841,0.033603014493361116343805861106,509,2371,870
436,436_0,FAILED,SOBOL,,,3023,0.866349213238805537784514854138,0.883852130630984889059220677154,4660,394,1402
437,437_0,RUNNING,SOBOL,,,2168,0.080279504135251048002608342813,0.349613729171454890032322282423,2287,4537,3096
438,438_0,RUNNING,SOBOL,,,1640,0.957237116076052219071357285429,0.219008565673604604917557026056,1274,3870,4188
439,439_0,RUNNING,SOBOL,,,3278,0.238419532317668186882642089586,0.550527973614633125976070004981,4272,1142,296
440,440_0,RUNNING,SOBOL,,,4695,0.535539207223802771196119465458,0.401997607477009299969950006926,902,1704,1962
441,441_0,RUNNING,SOBOL,,,87,0.253225626371800904834685752576,0.865576710278168293122291743202,3548,3348,3695
442,442_0,RUNNING,SOBOL,,,41,0.970687635578215135545576686127,0.568182200577109997041702627030,4773,910,2972
443,443_0,RUNNING,SOBOL,,,4809,0.192327212888747461905225577539,0.166307936718687404686889408367,2185,4121,1277
444,444_0,RUNNING,SOBOL,,,3158,0.519134581509977599544924942165,0.750675239806994798463790630194,3034,3745,822
445,445_0,RUNNING,SOBOL,,,1672,0.302272052012383940500228618475,0.481835514407604914577376575835,16,1325,4753
446,446_0,RUNNING,SOBOL,,,2042,0.672873449623584751755345223501,0.086151587521657344015402202331,1034,2140,3667
447,447_0,FAILED,SOBOL,,,3062,0.398505252879112981112541547191,0.682460302721708989004412160284,3427,2851,1933
448,448_0,FAILED,SOBOL,,,3970,0.812064083751291021506801826035,0.269624249633401646963903885990,1797,4936,191
449,449_0,FAILED,SOBOL,,,1231,0.100948224321007723469634242974,0.998967023691162414600341890036,3760,16,4082
450,450_0,RUNNING,SOBOL,,,745,0.612136806782335063381594864040,0.332209611510857927285655932792,3463,4062,4668
451,451_0,RUNNING,SOBOL,,,4105,0.334019834175705909729003906250,0.936375876855105149232372241386,837,1009,1089
452,452_0,RUNNING,SOBOL,,,2611,0.876563775241374965041529776499,0.023505253072828056343235303416,4343,1853,1816
453,453_0,RUNNING,SOBOL,,,2219,0.161701050918549305013272032738,0.745112303158268374225770003250,1365,3178,2612
454,454_0,RUNNING,SOBOL,,,1496,0.781286598268896348429279896664,0.813327242102473979556975791638,2227,2752,4011
455,455_0,RUNNING,SOBOL,,,3608,0.006975702367722987767839626372,0.419189178099855785930571983045,4580,2198,393
456,456_0,RUNNING,SOBOL,,,4673,0.704471811808645709263032586023,0.505591051882132935801905659901,604,582,2488
