trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
353,353_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,631.000000000000000000000000000000,1,3,4710,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,61
354,354_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,553.000000000000000000000000000000,1,3,817,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,34
355,355_0,COMPLETED,BoTorch,GenerationStep_1,0.040000000000000000832667268469,1376.000000000000000000000000000000,1,4,897,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,100
356,356_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1585.000000000000000000000000000000,3213,0,5000,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,100
357,357_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,523.000000000000000000000000000000,1,3,2295,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
358,358_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,491.000000000000000000000000000000,1,3,1899,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
359,359_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,663.000000000000000000000000000000,5000,3,4455,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,63
360,360_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,511.000000000000000000000000000000,364,3,819,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
361,361_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,513.000000000000000000000000000000,1,3,643,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,24
362,362_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,548.000000000000000000000000000000,3543,3,2961,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
363,363_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,498.000000000000000000000000000000,5000,3,4764,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,35
364,364_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,519.000000000000000000000000000000,1,3,3550,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
365,365_0,COMPLETED,BoTorch,GenerationStep_1,0.050000000000000002775557561563,1409.000000000000000000000000000000,5000,4,5000,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,48
366,366_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,529.000000000000000000000000000000,5000,3,5000,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,51
367,367_0,COMPLETED,BoTorch,GenerationStep_1,0.070000000000000006661338147751,503.000000000000000000000000000000,5000,3,1024,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
368,368_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,497.000000000000000000000000000000,3886,3,900,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,34
369,369_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,514.000000000000000000000000000000,5000,3,3527,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
370,370_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,557.000000000000000000000000000000,1,3,3498,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,46
371,371_0,COMPLETED,BoTorch,GenerationStep_1,0.029999999999999998889776975375,1916.000000000000000000000000000000,305,0,1132,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
372,372_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,1043.000000000000000000000000000000,5000,3,5000,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.118020708524470913092230262009,96
373,373_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,502.000000000000000000000000000000,1,3,4029,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
374,374_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,503.000000000000000000000000000000,1,3,711,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,5
375,375_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,513.000000000000000000000000000000,1,3,3179,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
376,376_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,559.000000000000000000000000000000,5000,3,4543,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
377,377_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,503.000000000000000000000000000000,5000,3,2620,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.001000000000000000020816681712,1
378,378_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,550.000000000000000000000000000000,2788,3,2112,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
379,379_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,510.000000000000000000000000000000,5000,3,1145,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
380,380_0,COMPLETED,BoTorch,GenerationStep_1,0.089999999999999996669330926125,547.000000000000000000000000000000,5000,3,4418,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.998999999999999999111821580300,1
381,381_0,COMPLETED,BoTorch,GenerationStep_1,0.080000000000000001665334536938,499.000000000000000000000000000000,1,3,4305,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.001000000000000000020816681712,1
382,382_0,COMPLETED,BoTorch,GenerationStep_1,0.100000000000000005551115123126,544.000000000000000000000000000000,5000,3,3206,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.998999999999999999111821580300,1
