trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
258,258_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,470.000000000000000000000000000000,4436,236,1,473,0.001000000000000000020816681712
259,259_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1834,3349,1,1000,0.001000000000000000020816681712
260,260_0,FAILED,BoTorch,GenerationStep_1,,,1,1285,100,913,0.998999999999999999111821580300
261,261_0,FAILED,BoTorch,GenerationStep_1,,,1,1535,100,1000,0.001000000000000000020816681712
262,262_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3295,100,1,0.001000000000000000020816681712
263,263_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,792,0.998999999999999999111821580300
264,264_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4774,100,1,0.001000000000000000020816681712
265,265_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,143.000000000000000000000000000000,4512,90,1,499,0.998999999999999999111821580300
266,266_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3021,3049,1,1000,0.998999999999999999111821580300
267,267_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3854,100,766,0.998999999999999999111821580300
268,268_0,FAILED,BoTorch,GenerationStep_1,,,5000,1142,1,750,0.998999999999999999111821580300
269,269_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4172,1,1,0.001000000000000000020816681712
270,270_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3894,2119,100,511,0.001000000000000000020816681712
271,271_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,747,0.998999999999999999111821580300
