trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
2547,2547_0,RUNNING,SOBOL,,,2775,24,0.977656901797279709320775964443,0.944908339455723722544178144744,543,EDFSMode.RANDOM
2548,2548_0,RUNNING,SOBOL,,,3001,79,0.022173493143171071201313893084,0.663166551198810294565078038431,622,EDFSMode.RANDOM
2549,2549_0,RUNNING,SOBOL,,,2421,44,0.885429848894476845266865439044,0.408009011330082993485035558479,408,EDFSMode.RANDOM
2550,2550_0,RUNNING,SOBOL,,,754,73,0.256440996333956727770697625601,0.877309486519545322913415930088,109,EDFSMode.RANDOM
2551,2551_0,RUNNING,SOBOL,,,3845,13,0.648969593580812187383344280533,0.131436602221801868140005353780,780,EDFSMode.RANDOM
2552,2552_0,RUNNING,SOBOL,,,4385,52,0.757465091446414606757286946959,0.020398445889353751525607805206,944,EDFSMode.RANDOM
2553,2553_0,RUNNING,SOBOL,,,43,15,0.148093998281285166296328270619,0.770033190986141535816500436340,282,EDFSMode.RANDOM
2554,2554_0,RUNNING,SOBOL,,,1862,96,0.526851417927071463687127561570,0.304766346961259815273592721496,462,EDFSMode.RANDOM
2555,2555_0,FAILED,SOBOL,,,3692,34,0.380413119236007346568584353008,0.548091045862063808158382016700,681,EDFSMode.RANDOM
2556,2556_0,RUNNING,SOBOL,,,3541,98,0.922392406888306148893263980426,0.226837535854429006576538085938,172,EDFSMode.RANDOM
2557,2557_0,RUNNING,SOBOL,,,1701,37,0.047433659870177509454425290869,0.969086093397811043637091188430,857,EDFSMode.RANDOM
2558,2558_0,RUNNING,SOBOL,,,205,54,0.658635474938899290187066526414,0.441469709139317267876378991787,559,EDFSMode.RANDOM
2559,2559_0,RUNNING,SOBOL,,,4536,19,0.308997839696705356438144463027,0.692028312878683160569437404774,331,EDFSMode.RANDOM
2560,2560_0,RUNNING,SOBOL,,,3997,70,0.169546613818034541676382787045,0.581094850912690197297649774555,497,EDFSMode.RANDOM
2561,2561_0,RUNNING,SOBOL,,,915,9,0.798417925016954521666434629878,0.334084912171587367080149988396,730,EDFSMode.RANDOM
2562,2562_0,RUNNING,SOBOL,,,3273,95,0.238538133263587942556327448074,0.626240348100662203023603069596,173,EDFSMode.RANDOM
2563,2563_0,RUNNING,SOBOL,,,2349,5,0.754257125562056929268806015898,0.444630898093804738380185881397,782,EDFSMode.RANDOM
2564,2564_0,RUNNING,SOBOL,,,1170,53,0.277167403450235716455551937543,0.855721878081560083373346969893,656,EDFSMode.RANDOM
2565,2565_0,FAILED,SOBOL,,,4456,49,0.730025945333763970346296900971,0.042217006530612707915217640675,356,EDFSMode.RANDOM
2566,2566_0,RUNNING,SOBOL,,,4014,73,0.899889535091817349687914884271,0.204726776247844105549589244220,516,EDFSMode.RANDOM
2567,2567_0,FAILED,SOBOL,,,366,29,0.107319248303771014318996890324,0.897395272674038957383402248524,665,EDFSMode.RANDOM
2568,2568_0,RUNNING,SOBOL,,,1585,81,0.611760135710239461026560547907,0.309412629779428238752103652587,988,EDFSMode.RANDOM
2569,2569_0,RUNNING,SOBOL,,,2791,19,0.381050079055130497263093047877,0.619655191421508821925101528905,249,EDFSMode.RANDOM
2570,2570_0,FAILED,SOBOL,,,2884,63,0.551295741906389635822449690750,0.950958024045452487982288403146,877,EDFSMode.RANDOM
2571,2571_0,FAILED,SOBOL,,,1492,39,0.441499276189133538217390650971,0.133560470210388304579396390182,141,EDFSMode.RANDOM
2572,2572_0,RUNNING,SOBOL,,,309,91,0.964175319744274061939393050125,0.534897801797836969228683301480,409,EDFSMode.RANDOM
2573,2573_0,RUNNING,SOBOL,,,4063,9,0.043018266981467608023326221200,0.349399525836110114163091111550,554,EDFSMode.RANDOM
2574,2574_0,RUNNING,SOBOL,,,4871,84,0.341468250930309302759724232601,0.404714462535455843372744766384,774,EDFSMode.RANDOM
2575,2575_0,RUNNING,SOBOL,,,755,17,0.665740294523537112780786628718,0.711049143364652969090400347341,470,EDFSMode.RANDOM
2576,2576_0,RUNNING,SOBOL,,,1978,64,0.178089037440717218307995040050,0.113328080341219897264615212862,287,EDFSMode.RANDOM
2577,2577_0,RUNNING,SOBOL,,,3652,37,0.814721415266394632936908237753,0.802092473279684803344480314991,900,EDFSMode.RANDOM
2578,2578_0,RUNNING,SOBOL,,,3545,69,0.472833793513476874359469093179,0.273868036335334186226475594594,343,EDFSMode.RANDOM
2579,2579_0,RUNNING,SOBOL,,,2085,33,0.518975192144513153280627193453,0.579237867118790772380521048035,620,EDFSMode.RANDOM
2580,2580_0,COMPLETED,SOBOL,0.729999999999999982236431605997,843.000000000000000000000000000000,804,85,0.013445468455553055697748732200,0.245141025897115477638621428014,831,EDFSMode.RANDOM
2581,2581_0,RUNNING,SOBOL,,,4823,15,0.994726532854139811057336828526,0.932936278402805352349957956903,188,EDFSMode.RANDOM
2582,2582_0,RUNNING,SOBOL,,,4366,90,0.638238542778417516920796970226,0.819145082207396679763178326539,239,EDFSMode.RANDOM
2583,2583_0,RUNNING,SOBOL,,,6,10,0.369948420977219916139233646390,0.002716661369428038930173840981,949,EDFSMode.RANDOM
2584,2584_0,RUNNING,SOBOL,,,1326,58,0.848126979371532807583378144045,0.665744224280118923608995373797,709,EDFSMode.RANDOM
2585,2585_0,RUNNING,SOBOL,,,3050,44,0.143697444615885627783313793771,0.481210805799812069150078741586,534,EDFSMode.RANDOM
2586,2586_0,RUNNING,SOBOL,,,2528,76,0.783826174646615969621166186698,0.087533688860014086108307651557,595,EDFSMode.RANDOM
2587,2587_0,RUNNING,SOBOL,,,1849,25,0.207983048953115950974179781952,0.779221623649820727131043440750,416,EDFSMode.RANDOM
2588,2588_0,RUNNING,SOBOL,,,571,72,0.698687559597194196570058011275,0.427589368328452124057292849102,121,EDFSMode.RANDOM
2589,2589_0,FAILED,SOBOL,,,3809,30,0.309484203770756749474202251804,0.736848044585436623421514923393,835,EDFSMode.RANDOM
2590,2590_0,FAILED,SOBOL,,,4602,55,0.073909819504246118682111443832,0.508063586315140147675606385747,938,EDFSMode.RANDOM
2591,2591_0,FAILED,SOBOL,,,1023,47,0.934277382193133276722107893875,0.327438048647716639649729586381,299,EDFSMode.RANDOM
2592,2592_0,RUNNING,SOBOL,,,2340,99,0.408548085076734401877018854066,0.972914969187229861091736893286,454,EDFSMode.RANDOM
2593,2593_0,RUNNING,SOBOL,,,3282,1,0.583276100968942001756545323587,0.160390651836991304790558388049,727,EDFSMode.RANDOM
2594,2594_0,RUNNING,SOBOL,,,3432,52,0.942102712608873793520558592718,0.487828523319214557574241553084,258,EDFSMode.RANDOM
2595,2595_0,RUNNING,SOBOL,,,2196,50,0.050486721962690356280134551525,0.676608562424778958721560684353,980,EDFSMode.RANDOM
2596,2596_0,RUNNING,SOBOL,,,1015,96,0.544328033462166738232212992443,0.031184821864590050316534686203,684,EDFSMode.RANDOM
2597,2597_0,RUNNING,SOBOL,,,4614,4,0.463101589612662789541275287775,0.835569866048172071870681065775,497,EDFSMode.RANDOM
2598,2598_0,RUNNING,SOBOL,,,3855,79,0.169034700749441990641486199820,0.908412195608019779058395215543,376,EDFSMode.RANDOM
2599,2599_0,RUNNING,SOBOL,,,519,21,0.838379428228363421382596243348,0.224893990527838455451004051611,637,EDFSMode.RANDOM
2600,2600_0,RUNNING,SOBOL,,,1740,75,0.317309729373082494152669141840,0.576472827928140807429713277088,792,EDFSMode.RANDOM
2601,2601_0,RUNNING,SOBOL,,,2633,27,0.675264686984941353564693145017,0.259029193690046677378546746695,164,EDFSMode.RANDOM
2602,2602_0,RUNNING,SOBOL,,,3042,93,0.252963076248765017517428077554,0.184901409894227986008274911001,906,EDFSMode.RANDOM
2603,2603_0,RUNNING,SOBOL,,,1337,7,0.739626596264541191771968442481,0.993175329294055719842049256840,282,EDFSMode.RANDOM
2604,2604_0,RUNNING,SOBOL,,,155,61,0.229438226081430912683956080400,0.330216412575915441163232344479,494,EDFSMode.RANDOM
2605,2605_0,RUNNING,SOBOL,,,4222,40,0.777991159051656722134282517800,0.522889104222878819960840246495,751,EDFSMode.RANDOM
2606,2606_0,RUNNING,SOBOL,,,4713,66,0.604716168796643582794558824389,0.730247458871454036000159248943,577,EDFSMode.RANDOM
2607,2607_0,RUNNING,SOBOL,,,909,36,0.402698198122903694429197685167,0.416707898378372187941920401499,386,EDFSMode.RANDOM
2608,2608_0,RUNNING,SOBOL,,,2131,82,0.877740907428786187871594393073,0.750736331349238783516852890898,147,EDFSMode.RANDOM
2609,2609_0,FAILED,SOBOL,,,3493,18,0.114833270987495780768306019581,0.071126036824658511736885202481,873,EDFSMode.RANDOM
2610,2610_0,FAILED,SOBOL,,,3698,87,0.704696243850514325579581509373,0.599408408865332642534440310556,540,EDFSMode.RANDOM
2611,2611_0,FAILED,SOBOL,,,1926,13,0.286922628214582808858779117145,0.284888294171541933685887215688,705,EDFSMode.RANDOM
2612,2612_0,RUNNING,SOBOL,,,646,67,0.806888262515887633163913505996,0.882556177215650716760819705087,972,EDFSMode.RANDOM
