trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
362,362_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,21.000000000000000000000000000000,3275,465,1,0.700176608811481138161525450414
363,363_0,FAILED,BoTorch,GenerationStep_1,,,311,1,10,0.756289016233745781114805595280
364,364_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,114.000000000000000000000000000000,4864,125,10,0.449324879112338482212152257489
365,365_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,66.000000000000000000000000000000,1601,1873,1,0.081841709793193259669941141965
366,366_0,COMPLETED,BoTorch,GenerationStep_1,0.680000000000000048849813083507,4.000000000000000000000000000000,3553,5000,1,0.828549142401053262396715126670
367,367_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,50.000000000000000000000000000000,5000,1189,1,0.302439806084614293268941764836
368,368_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,14.000000000000000000000000000000,4421,1550,1,0.299625977265740472965660501359
369,369_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,30.000000000000000000000000000000,4347,3082,10,0.314126598338066886917374631594
370,370_0,COMPLETED,BoTorch,GenerationStep_1,0.680000000000000048849813083507,15.000000000000000000000000000000,3037,5000,1,0.656436669104504044724990308168
371,371_0,FAILED,BoTorch,GenerationStep_1,,,4924,1,1,0.420177109053711972386224715592
372,372_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,24.000000000000000000000000000000,3101,338,8,0.656353787120573572977377807547
373,373_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,33.000000000000000000000000000000,5000,1357,1,0.298522468070991697786098484357
374,374_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,40.000000000000000000000000000000,4814,289,1,0.479846833828209029526590256864
375,375_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,17.000000000000000000000000000000,3023,394,1,0.694573048616429100654556805239
376,376_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,27.000000000000000000000000000000,5000,1735,1,0.318349935232326242129374804790
377,377_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,30.000000000000000000000000000000,4134,1462,10,0.359711165712215008571916996516
378,378_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,35.000000000000000000000000000000,1381,2046,1,0.164760419760229565033782250794
379,379_0,COMPLETED,BoTorch,GenerationStep_1,0.680000000000000048849813083507,171.000000000000000000000000000000,3194,5000,10,0.820582001099495528251281939447
380,380_0,FAILED,BoTorch,GenerationStep_1,,,1,1,10,0.729000875765246081350312579161
381,381_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,57.000000000000000000000000000000,4018,209,10,0.505017020347410916514263590216
382,382_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,249.000000000000000000000000000000,1690,1691,1,0.001000000000000000020816681712
383,383_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,25.000000000000000000000000000000,1497,637,1,0.552686236511240269742017972021
384,384_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,69.000000000000000000000000000000,3876,4850,10,0.784409453554768321126289265521
385,385_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,23.000000000000000000000000000000,913,818,10,0.998999999999999999111821580300
386,386_0,FAILED,BoTorch,GenerationStep_1,,,1,1,1,0.835983634819689847006429772591
387,387_0,FAILED,BoTorch,GenerationStep_1,,,202,1,1,0.251083611628205749521924872170
388,388_0,COMPLETED,BoTorch,GenerationStep_1,0.670000000000000039968028886506,264.000000000000000000000000000000,1452,1903,1,0.001000000000000000020816681712
389,389_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,11.000000000000000000000000000000,1,41,10,0.342787491943045807829548721202
390,390_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,25.000000000000000000000000000000,1637,428,1,0.903286826587866520377190227009
391,391_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,86.000000000000000000000000000000,4923,3202,10,0.414719726013113798579468038952
392,392_0,FAILED,BoTorch,GenerationStep_1,,,558,1,10,0.738427791758991536319456372439
393,393_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,27.000000000000000000000000000000,1780,2876,1,0.998999999999999999111821580300
394,394_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,16.000000000000000000000000000000,4853,4584,1,0.822763376307247717988957447233
395,395_0,COMPLETED,BoTorch,GenerationStep_1,0.690000000000000057731597280508,33.000000000000000000000000000000,693,1080,10,0.770872302021837096930312327459
396,396_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,24.000000000000000000000000000000,1309,391,4,0.898015082057584956842788415088
397,397_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,73.000000000000000000000000000000,790,64,4,0.259836970162678482232365695381
398,398_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,31.000000000000000000000000000000,1012,336,10,0.392619421026311699041144720468
399,399_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,8.000000000000000000000000000000,612,1175,1,0.828665406057921605231797457236
