trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
34,34_0,RUNNING,SOBOL,,,1369,2512,8.318918601416982028240454383194,0.034322114722337572489951895705,False,True
35,35_0,RUNNING,SOBOL,,,2693,1065,1.374632077712565569882485760900,0.013158041933551431132420894698,True,False
36,36_0,RUNNING,SOBOL,,,3446,3295,4.748191484289244534977569855982,0.021969347410369665513085735142,True,False
37,37_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3142.000000000000000000000000000000,2495,592,5.560241204823367588971905206563,0.025362674244679511009747940875,False,True
38,38_0,RUNNING,SOBOL,,,1122,4631,0.617618724956177200802187599038,0.006495657837484031943420248467,False,True
39,39_0,RUNNING,SOBOL,,,4819,1798,9.691133338605984803848514275160,0.047026826049201192470050614247,True,False
40,40_0,COMPLETED,SOBOL,0.350000000000000033306690738755,18.000000000000000000000000000000,4648,2976,0.751438975328579616963509124616,0.028360113038215787467644091180,False,False
41,41_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3809.000000000000000000000000000000,668,914,8.941823246168903338570999039803,0.025159387963823977296673461979,True,True
42,42_0,RUNNING,SOBOL,,,1973,4335,3.963867686307989135485740916920,0.043836031660903246320870607633,True,True
43,43_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7.000000000000000000000000000000,3343,2092,5.729685302270577373917603836162,0.003498978779651224901153794278,False,False
44,44_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,2863,4802,7.814268762782217159212905244203,0.007071736746933310682750040144,False,False
45,45_0,COMPLETED,SOBOL,0.600000000000000088817841970013,5798.000000000000000000000000000000,1823,1314,2.494156699989922287841181969270,0.040405366213992238710872584306,True,True
46,46_0,FAILED,SOBOL,,,540,3446,7.433287888930180109525736042997,0.016348082579206675568617157523,True,True
47,47_0,COMPLETED,SOBOL,0.320000000000000006661338147751,12.000000000000000000000000000000,4147,129,2.875466633077710998378506701556,0.037319553423672914560516034044,False,False
48,48_0,FAILED,SOBOL,,,4224,3682,9.162533135444856924323175917380,0.003906716023571789667134801505,True,True
49,49_0,COMPLETED,SOBOL,0.410000000000000031086244689504,28.000000000000000000000000000000,467,208,1.146195163141936035344770061783,0.049616290089208633928841152283,False,False
50,50_0,RUNNING,BOTORCH_MODULAR,,,1298,461,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
51,51_0,RUNNING,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
52,52_0,RUNNING,BOTORCH_MODULAR,,,1780,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
53,53_0,COMPLETED,BOTORCH_MODULAR,0.619999999999999995559107901499,460.000000000000000000000000000000,2203,178,4.486529967680733754775701527251,0.006188279071022120131351229588,True,True
54,54_0,RUNNING,BOTORCH_MODULAR,,,1496,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
55,55_0,RUNNING,BOTORCH_MODULAR,,,1,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
56,56_0,RUNNING,BOTORCH_MODULAR,,,1853,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
57,57_0,RUNNING,BOTORCH_MODULAR,,,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
58,58_0,RUNNING,BOTORCH_MODULAR,,,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
