trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
119,119_0,COMPLETED,BOTORCH_MODULAR,0.790000000000000035527136788005,140.000000000000000000000000000000,170,1,1000,104,10
120,120_0,FAILED,BOTORCH_MODULAR,,,1,3932,2,2,10
121,121_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1097.000000000000000000000000000000,2362,1020,1000,250,4
122,122_0,FAILED,BOTORCH_MODULAR,,,1,5000,2,250,10
123,123_0,COMPLETED,BOTORCH_MODULAR,0.880000000000000004440892098501,265.000000000000000000000000000000,428,1,824,241,10
124,124_0,FAILED,BOTORCH_MODULAR,,,2410,1,2,250,9
125,125_0,FAILED,BOTORCH_MODULAR,,,1,1,2,250,10
126,126_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,683.000000000000000000000000000000,1623,1,1000,250,10
127,127_0,COMPLETED,BOTORCH_MODULAR,0.930000000000000048849813083507,1129.000000000000000000000000000000,2326,832,1000,250,1
128,128_0,FAILED,BOTORCH_MODULAR,,,867,1,2,156,10
129,129_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,539.000000000000000000000000000000,903,1,554,176,10
130,130_0,FAILED,BOTORCH_MODULAR,,,1050,1,2,250,10
131,131_0,FAILED,BOTORCH_MODULAR,,,2009,1504,2,250,7
132,132_0,FAILED,BOTORCH_MODULAR,,,1,1,2,170,6
133,133_0,FAILED,BOTORCH_MODULAR,,,1,1,2,141,10
134,134_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,770.000000000000000000000000000000,2429,158,1000,250,1
135,135_0,FAILED,BOTORCH_MODULAR,,,3543,1,2,250,10
136,136_0,COMPLETED,BOTORCH_MODULAR,0.920000000000000039968028886506,1745.000000000000000000000000000000,2220,2184,1000,250,9
137,137_0,COMPLETED,BOTORCH_MODULAR,0.900000000000000022204460492503,320.000000000000000000000000000000,485,1,1000,155,10
138,138_0,COMPLETED,BOTORCH_MODULAR,0.890000000000000013322676295502,349.000000000000000000000000000000,2166,1,2,250,1
139,139_0,COMPLETED,BOTORCH_MODULAR,0.670000000000000039968028886506,3000.000000000000000000000000000000,1,5000,2,250,1
