trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
201,201_0,FAILED,SOBOL,,,2928,4300,134,0.926460260767489662825369123311,0.209558292994275696674577602607,6.357986095710658425161909690360,str\(\'ks-test\'\),49,str\(\'bounded\'\)
202,202_0,FAILED,SOBOL,,,4611,806,4862,0.224582448571920390012479629149,0.402521505931392298283100217304,8.631915619255043026214480050839,str\(\'t-test\'\),37,str\(\'bounded\'\)
203,203_0,FAILED,SOBOL,,,957,3476,1981,0.543646077558398221896140967146,0.664099219623953129776339210366,0.702514964803122032854787448741,str\(\'ks-test\'\),20,str\(\'bounded\'\)
204,204_0,COMPLETED,SOBOL,0.190000000000000002220446049250,13688.000000000000000000000000000000,169,546,1140,0.718098292946815486281764151499,0.539470293862745142732251224515,3.690720276445150549449181198725,str\(\'t-test\'\),31,str\(\'bounded\'\)
205,205_0,FAILED,SOBOL,,,4148,2562,3279,0.022835460081696512535387455500,0.277648509569466128699133378177,5.761465369449928708434072177624,str\(\'ks-test\'\),14,str\(\'bounded\'\)
206,206_0,FAILED,SOBOL,,,3393,2309,1757,0.818323345754295550236179224157,0.084685683287680155184595776063,9.268257783800363469595140486490,str\(\'t-test\'\),2,str\(\'bounded\'\)
207,207_0,FAILED,SOBOL,,,2214,4668,3837,0.390105028260499253622839432865,0.849371284557506434076401546918,1.262952505754306953278387481987,str\(\'ks-test\'\),43,str\(\'bounded\'\)
208,208_0,FAILED,SOBOL,,,2427,2481,280,0.594167217783629908467446512077,0.447731363572180296461766602079,6.078050963754765945168401231058,str\(\'ks-test\'\),3,str\(\'bounded\'\)
209,209_0,FAILED,SOBOL,,,3140,4497,2887,0.165948513634502886615607053500,0.743629855467006550817643528717,3.383589138050563605020215618424,str\(\'t-test\'\),42,str\(\'bounded\'\)
210,210_0,FAILED,SOBOL,,,4242,374,2149,0.992926345568150292564268966089,0.928815436942502903328033880825,1.588086935336701532861525265616,str\(\'ks-test\'\),30,str\(\'bounded\'\)
211,211_0,FAILED,SOBOL,,,114,2733,4698,0.297664315756410335911397169184,0.129983887024223809802947471326,8.972116642792709484410806908272,str\(\'t-test\'\),15,str\(\'bounded\'\)
212,212_0,FAILED,SOBOL,,,1202,663,3424,0.440957584153860826514659265740,0.005356883386150002382408708002,6.647719074433670272128438227810,str\(\'ks-test\'\),36,str\(\'bounded\'\)
213,213_0,FAILED,SOBOL,,,4404,3618,993,0.760020410086959641304815704643,0.803944362703710835305059845268,4.029009448688477768030224979157,str\(\'t-test\'\),21,str\(\'bounded\'\)
214,214_0,FAILED,SOBOL,,,2981,1488,4004,0.088902018390595916041974078325,0.618759108398109658466523796960,0.981267481928691287507149354497,str\(\'ks-test\'\),9,str\(\'bounded\'\)
215,215_0,FAILED,SOBOL,,,1337,4159,1592,0.643819956161081785595001747424,0.323103973278775824518049830658,8.284509869080036281729917391203,str\(\'t-test\'\),48,str\(\'bounded\'\)
216,216_0,FAILED,SOBOL,,,1828,68,4300,0.872833356212824540421024721581,0.655640438100323130754532030551,9.524437587924301951147754152771,str\(\'ks-test\'\),32,str\(\'bounded\'\)
217,217_0,FAILED,SOBOL,,,2528,3042,1283,0.429020455922931420733590357486,0.418213928326964357040651520947,2.456787533381953991806767589878,str\(\'t-test\'\),25,str\(\'bounded\'\)
218,218_0,COMPLETED,SOBOL,0.190000000000000002220446049250,6743.000000000000000000000000000000,4854,2162,3742,0.725932588003575851587356737582,0.221337674215435986635469589601,2.536097905166447397107276628958,str\(\'ks-test\'\),13,str\(\'bounded\'\)
219,219_0,FAILED,SOBOL,,,713,4814,666,0.046264813818037507642255690143,0.953891087284311600669184372236,5.544190692463890179908503341721,str\(\'t-test\'\),44,str\(\'bounded\'\)
220,220_0,FAILED,SOBOL,,,551,1807,2445,0.216869987122714519278687816950,0.829018972050398539330728908681,7.594508215361275738075619301526,str\(\'ks-test\'\),7,str\(\'bounded\'\)
221,221_0,FAILED,SOBOL,,,3767,3843,4388,0.520338557429611658911028371222,0.096707845019176605361188592269,0.602305364510975826952687839366,str\(\'t-test\'\),38,str\(\'bounded\'\)
222,222_0,FAILED,SOBOL,,,3618,970,598,0.316910865586251033754194850189,0.293585437553003425481534804931,4.428875823252835353116552141728,str\(\'ks-test\'\),26,str\(\'bounded\'\)
223,223_0,FAILED,SOBOL,,,1988,3309,2561,0.887422999497503028898393040436,0.530767043929547099878618610092,7.356486584505998571614782122197,str\(\'t-test\'\),19,str\(\'bounded\'\)
224,224_0,COMPLETED,SOBOL,0.190000000000000002220446049250,6406.000000000000000000000000000000,1911,1603,4995,0.638458749495446675759069421474,0.039559184260666374610693196701,5.459777937631123734263383084908,str\(\'ks-test\'\),25,str\(\'bounded\'\)
225,225_0,FAILED,SOBOL,,,3696,3962,1919,0.070870696522295481556419360913,0.769193587524816368983238135115,2.766670194034464902443914979813,str\(\'t-test\'\),33,str\(\'bounded\'\)
226,226_0,FAILED,SOBOL,,,3845,1246,3048,0.772200268637388997916559674195,0.587906562520191022791493651312,2.225908627907745351848234349745,str\(\'ks-test\'\),46,str\(\'bounded\'\)
227,227_0,FAILED,SOBOL,,,472,3263,31,0.467756390001624833274718184839,0.353408580221235779639243901329,9.608546110098250991882196103688,str\(\'t-test\'\),11,str\(\'bounded\'\)
228,228_0,FAILED,SOBOL,,,634,257,1851,0.295230536084622130488241964485,0.478279167423024786920393580658,7.284355945160613465816368261585,str\(\'ks-test\'\),39,str\(\'bounded\'\)
229,229_0,FAILED,SOBOL,,,4933,2927,3813,0.971975210841745096423949235032,0.712534030888229641398368130467,4.666695256259292712286423920887,str\(\'t-test\'\),5,str\(\'bounded\'\)
230,230_0,FAILED,SOBOL,,,2606,1891,1193,0.177157361678779129432470540451,0.893820490781217835696281781566,0.364179277649149313322851639896,str\(\'ks-test\'\),18,str\(\'bounded\'\)
231,231_0,FAILED,SOBOL,,,1751,4845,3136,0.621944648273289213413761444826,0.164430396059528000085592225332,7.666334584798664586458016856341,str\(\'t-test\'\),26,str\(\'bounded\'\)
232,232_0,FAILED,SOBOL,,,1258,931,895,0.889866311710327817507959480281,0.861089108576998163435689548351,8.888007822625338505417857959401,str\(\'ks-test\'\),42,str\(\'bounded\'\)
233,233_0,FAILED,SOBOL,,,3059,3582,3444,0.337871503110975024419815326837,0.065186205103993422049768469151,1.818965542817488234561551507795,str\(\'t-test\'\),3,str\(\'bounded\'\)
234,234_0,FAILED,SOBOL,,,4482,1295,1531,0.509135434858500990351615200780,0.265960539802908901840794442251,3.153016551189124605514280119678,str\(\'ks-test\'\),16,str\(\'bounded\'\)
235,235_0,FAILED,SOBOL,,,1124,4268,4139,0.189098252363502972173137095524,0.558939902922138576180088875844,6.162463420594111340733434190042,str\(\'t-test\'\),29,str\(\'bounded\'\)
236,236_0,FAILED,SOBOL,,,37,2199,2751,0.051620265267789365581929672544,0.683568293314427144480305287289,8.212683201649225495089012838434,str\(\'ks-test\'\),22,str\(\'bounded\'\)
237,237_0,FAILED,SOBOL,,,4319,4538,339,0.743958243884146219748743078526,0.390834071533754490168632855784,1.219393270797096251456537174818,str\(\'t-test\'\),35,str\(\'bounded\'\)
238,238_0,FAILED,SOBOL,,,3219,573,4676,0.416831035088747747785475894489,0.190058160470798598318253880279,3.791189717688598026512636351981,str\(\'ks-test\'\),48,str\(\'bounded\'\)
239,239_0,COMPLETED,SOBOL,0.190000000000000002220446049250,4720.000000000000000000000000000000,2348,2609,2244,0.846025077309459416774473083933,0.985719015847891566473037983087,6.719849415785633439668345090467,str\(\'t-test\'\),9,str\(\'bounded\'\)
240,240_0,RUNNING,SOBOL,,,2291,421,3610,0.138088930040597912540789593550,0.342572987483814372922097390983,0.933017206592485326410724155721,str\(\'t-test\'\),50,str\(\'bounded\'\)
241,241_0,RUNNING,SOBOL,,,3316,2759,728,0.567283061489462836490815789148,0.607071733485907261140823720780,8.547583006028085961247597879265,str\(\'ks-test\'\),7,str\(\'bounded\'\)
242,242_0,RUNNING,SOBOL,,,4069,2351,4287,0.271893749121576544514056195112,0.784444289665669147737503408280,6.442012651069090267696992668789,str\(\'t-test\'\),20,str\(\'bounded\'\)
243,243_0,RUNNING,SOBOL,,,248,4387,1387,0.964231103140860801303801963513,0.017075302259996535253483429528,4.137069983664900973963085561991,str\(\'ks-test\'\),37,str\(\'bounded\'\)
244,244_0,RUNNING,SOBOL,,,1035,1456,504,0.795658889207988995195819370565,0.141701770529150949951002758098,1.500854501563124276941607604385,str\(\'t-test\'\),14,str\(\'bounded\'\)
245,245_0,RUNNING,SOBOL,,,4532,4108,2584,0.475622331310063595211090614612,0.909315899273380634504349018243,9.196054750678129607877053786069,str\(\'ks-test\'\),31,str\(\'bounded\'\)
