trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
1055,1055_0,RUNNING,Sobol,SOBOL,,,448,3091,0.958611650681123084183354876586,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1056,1056_0,RUNNING,Sobol,SOBOL,,,1244,1541,0.678068891758099145938842866599,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1057,1057_0,RUNNING,Sobol,SOBOL,,,4878,3346,0.112813718145713212659408952732,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1058,1058_0,FAILED,Sobol,SOBOL,,,2830,66,0.793874826192855875817144806206,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1059,1059_0,FAILED,Sobol,SOBOL,,,1699,4508,0.478105045188218336082996984260,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1060,1060_0,RUNNING,Sobol,SOBOL,,,1268,1900,0.836537263743579395658400699176,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1061,1061_0,RUNNING,Sobol,SOBOL,,,2637,2595,0.403761854406446241139150288291,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1062,1062_0,RUNNING,Sobol,SOBOL,,,4681,875,0.689549413504078945180708615226,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1063,1063_0,RUNNING,Sobol,SOBOL,,,815,3933,0.007288864372298121084570166062,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1064,1064_0,RUNNING,Sobol,SOBOL,,,19,502,0.350191413613036295338076797634,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1065,1065_0,RUNNING,Sobol,SOBOL,,,3885,4925,0.907656385747715788170353334863,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1066,1066_0,FAILED,Sobol,SOBOL,,,3433,1645,0.248045218251645577245412255252,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
