trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4759,370,4902,0.361247524436563272054456774640,0.000000000000999999999999999980
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2149,4561,2331,0.762782325362786672862114301097,0.100000000000000005551115123126
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,8.000000000000000000000000000000,662,1923,1,0.998999999999999999111821580300,0.599999999999999977795539507497
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,932,0.998999999999999999111821580300,0.800000000000000044408920985006
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1,0.998999999999999999111821580300,0.599999999999999977795539507497
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2036,1,0.998999999999999999111821580300,0.599999999999999977795539507497
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1312,2546,0.998999999999999999111821580300,0.900000000000000022204460492503
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4867,2681,1143,0.998999999999999999111821580300,0.900000000000000022204460492503
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1992,3680,1,0.998999999999999999111821580300,0.299999999999999988897769753748
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3260,1,3050,0.998999999999999999111821580300,0.900000000000000022204460492503
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3313,2188,1,0.998999999999999999111821580300,0.000000010000000000000000209226
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4870,3743,708,0.998999999999999999111821580300,0.699999999999999955591079014994
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,608,5000,1226,0.998999999999999999111821580300,0.900000000000000022204460492503
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1659,5000,543,0.998999999999999999111821580300,0.699999999999999955591079014994
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1326,1394,5000,0.998999999999999999111821580300,0.900000000000000022204460492503
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2563,1275,0.998999999999999999111821580300,0.900000000000000022204460492503
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2062,1,0.998999999999999999111821580300,0.900000000000000022204460492503
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1,0.998999999999999999111821580300,0.000000010000000000000000209226
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4112,1,0.998999999999999999111821580300,0.800000000000000044408920985006
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1180,0.998999999999999999111821580300,0.001000000000000000020816681712
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,5000,0.998999999999999999111821580300,0.000000000000999999999999999980
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1,3938,0.001000000000000000020816681712,0.000000000000999999999999999980
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1941,2122,0.998999999999999999111821580300,0.900000000000000022204460492503
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3725,3007,1,0.998999999999999999111821580300,0.400000000000000022204460492503
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,6.000000000000000000000000000000,1,1713,1,0.998999999999999999111821580300,0.900000000000000022204460492503
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3404,551,0.998999999999999999111821580300,0.000010000000000000000818030539
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1,0.998999999999999999111821580300,0.500000000000000000000000000000
