trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,36.000000000000000000000000000000,5000,5,0.998999999999999999111821580300,4300
39,39_0,RUNNING,BoTorch,GenerationStep_1,,,5000,3,0.001000000000000000020816681712,1
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.680000000000000048849813083507,32.000000000000000000000000000000,1,3,0.162947129255622519261592628936,5000
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.600000000000000088817841970013,2684.000000000000000000000000000000,240,6,0.001000000000000000020816681712,359
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,8.000000000000000000000000000000,1,3,0.547940117398760251354872252705,1
43,43_0,RUNNING,BoTorch,GenerationStep_1,,,4801,5,0.549990813286651891722556229070,5000
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,35.000000000000000000000000000000,1,5,0.998999999999999999111821580300,3814
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,52.000000000000000000000000000000,1,5,0.560211223196747210018031637446,5000
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,32.000000000000000000000000000000,1,3,0.001000000000000000020816681712,3462
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,6188.000000000000000000000000000000,2767,3,0.673882281965967999681765832065,1
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,25.000000000000000000000000000000,1,5,0.001000000000000000020816681712,1
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,24.000000000000000000000000000000,1462,3,0.998999999999999999111821580300,1464
50,50_0,RUNNING,BoTorch,GenerationStep_1,,,1806,6,0.001000000000000000020816681712,5000
51,51_0,RUNNING,BoTorch,GenerationStep_1,,,4316,6,0.001000000000000000020816681712,1837
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.700000000000000066613381477509,5512.000000000000000000000000000000,5000,3,0.177402357628823004187523793007,5000
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,5276.000000000000000000000000000000,5000,5,0.842948610239664386512004057295,3683
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,38.000000000000000000000000000000,1,5,0.998999999999999999111821580300,5000
55,55_0,FAILED,BoTorch,GenerationStep_1,,,1427,3,0.210064422884880142028407590260,1
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,28.000000000000000000000000000000,1,3,0.998999999999999999111821580300,4735
57,57_0,FAILED,BoTorch,GenerationStep_1,,,3452,6,0.001000000000000000020816681712,3133
58,58_0,FAILED,BoTorch,GenerationStep_1,,,4224,3,0.347388652628042415848597102013,1
59,59_0,FAILED,BoTorch,GenerationStep_1,,,5000,5,0.247791107472583316262415564779,5000
60,60_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.653326687471710187971041250421,1
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,3781.000000000000000000000000000000,3122,3,0.001000000000000000020816681712,4342
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,3994.000000000000000000000000000000,3158,3,0.001000000000000000020816681712,3639
63,63_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.374193344215731749091702340593,1
64,64_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.998999999999999999111821580300,1
65,65_0,FAILED,BoTorch,GenerationStep_1,,,5000,3,0.001000000000000000020816681712,577
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,752.000000000000000000000000000000,2231,3,0.001000000000000000020816681712,3919
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,2650.000000000000000000000000000000,2837,3,0.001000000000000000020816681712,4674
