trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
283,283_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,19.000000000000000000000000000000,4066,48,0.380419658411840944101101058550,0.998999999999999999111821580300,687,EDFSMode.RANDOM
284,284_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,14.000000000000000000000000000000,1804,100,0.001000000000000000020816681712,0.998999999999999999111821580300,845,EDFSMode.RANDOM
285,285_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,24.000000000000000000000000000000,4629,100,0.446647329861692532482209117006,0.001000000000000000020816681712,954,EDFSMode.RANDOM
286,286_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,36.000000000000000000000000000000,1600,100,0.269175489950329860366906586933,0.001000000000000000020816681712,634,EDFSMode.RANDOM
287,287_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,69.000000000000000000000000000000,4598,46,0.998999999999999999111821580300,0.001000000000000000020816681712,862,EDFSMode.RANDOM
288,288_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,29.000000000000000000000000000000,4815,53,0.658204385181236695245843293378,0.998999999999999999111821580300,540,EDFSMode.RANDOM
289,289_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,36.000000000000000000000000000000,3257,100,0.438489539157018382020680746791,0.998999999999999999111821580300,371,EDFSMode.RANDOM
290,290_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,22.000000000000000000000000000000,4026,100,0.249494421136867233768086293821,0.868693209026117574289571621193,627,EDFSMode.RANDOM
291,291_0,COMPLETED,BoTorch,GenerationStep_1,0.750000000000000000000000000000,16.000000000000000000000000000000,4087,50,0.001000000000000000020816681712,0.998999999999999999111821580300,493,EDFSMode.RANDOM
292,292_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,246.000000000000000000000000000000,4633,51,0.817238011360234550828351984819,0.001000000000000000020816681712,896,EDFSMode.RANDOM
293,293_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,95.000000000000000000000000000000,3826,100,0.569710632055196120049345154257,0.655471586101000647239800400712,145,EDFSMode.RANDOM
294,294_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,14.000000000000000000000000000000,3519,54,0.001000000000000000020816681712,0.001000000000000000020816681712,492,EDFSMode.RANDOM
295,295_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,21.000000000000000000000000000000,3593,100,0.154830508136324346279977248741,0.001000000000000000020816681712,604,EDFSMode.RANDOM
296,296_0,COMPLETED,BoTorch,GenerationStep_1,0.660000000000000031086244689504,24.000000000000000000000000000000,4735,1,0.001000000000000000020816681712,0.998999999999999999111821580300,461,EDFSMode.RANDOM
297,297_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,36.000000000000000000000000000000,1084,93,0.450696264207731622786212710707,0.998999999999999999111821580300,341,EDFSMode.RANDOM
298,298_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,21.000000000000000000000000000000,2750,60,0.373518269343699471640718456911,0.998999999999999999111821580300,344,EDFSMode.RANDOM
299,299_0,COMPLETED,BoTorch,GenerationStep_1,0.699999999999999955591079014994,34.000000000000000000000000000000,1798,100,0.710898940182440708390743111522,0.998999999999999999111821580300,846,EDFSMode.RANDOM
300,300_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,25.000000000000000000000000000000,4195,90,0.332456696053796352252618362400,0.001000000000000000020816681712,688,EDFSMode.RANDOM
301,301_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,25.000000000000000000000000000000,4378,100,0.345586264368851703299156952198,0.001000000000000000020816681712,808,EDFSMode.RANDOM
302,302_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,36.000000000000000000000000000000,3100,100,0.001000000000000000020816681712,0.998999999999999999111821580300,171,EDFSMode.RANDOM
303,303_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,76.000000000000000000000000000000,1238,56,0.998999999999999999111821580300,0.998999999999999999111821580300,174,EDFSMode.RANDOM
304,304_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,32.000000000000000000000000000000,4290,48,0.627492645495735579252993829869,0.001000000000000000020816681712,467,EDFSMode.RANDOM
305,305_0,COMPLETED,BoTorch,GenerationStep_1,0.739999999999999991118215802999,165.000000000000000000000000000000,3107,100,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
306,306_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,81.000000000000000000000000000000,1306,1,0.962513620428737115553019521030,0.998999999999999999111821580300,649,EDFSMode.RANDOM
307,307_0,COMPLETED,BoTorch,GenerationStep_1,0.719999999999999973354647408996,9.000000000000000000000000000000,1451,1,0.998999999999999999111821580300,0.998999999999999999111821580300,846,EDFSMode.RANDOM
308,308_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,22.000000000000000000000000000000,4179,36,0.385758721521733405346310519235,0.001000000000000000020816681712,513,EDFSMode.RANDOM
309,309_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,10.000000000000000000000000000000,1621,1,0.998999999999999999111821580300,0.998999999999999999111821580300,806,EDFSMode.RANDOM
310,310_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,64.000000000000000000000000000000,1484,1,0.442700851847071474853834160967,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
311,311_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,32.000000000000000000000000000000,4114,1,0.341905493898115475648324945723,0.001000000000000000020816681712,536,EDFSMode.RANDOM
312,312_0,COMPLETED,BoTorch,GenerationStep_1,0.709999999999999964472863211995,114.000000000000000000000000000000,1287,1,0.998999999999999999111821580300,0.001000000000000000020816681712,943,EDFSMode.RANDOM
313,313_0,COMPLETED,BoTorch,GenerationStep_1,0.729999999999999982236431605997,10.000000000000000000000000000000,1255,1,0.998999999999999999111821580300,0.001000000000000000020816681712,755,EDFSMode.RANDOM
