trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
906,906_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3145.000000000000000000000000000000,1925,1372,0.978477522898465346123941799306,0.952403895629569841041472955112,str\(\'kl\'\),0.051514358911663303552952442033,False
907,907_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2663.000000000000000000000000000000,2574,3110,0.401577065896242868525689573289,0.388511782439425579216418782380,str\(\'intersection\'\),0.089746439643204223290950949377,True
908,908_0,COMPLETED,SOBOL,0.059999999999999997779553950750,4309.000000000000000000000000000000,2546,671,0.679856787865981471163934202195,0.914439147466793667007323165308,str\(\'kl\'\),0.027149700615555050209337650813,False
909,909_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2055.000000000000000000000000000000,1942,4908,0.197356467587873340985282766269,0.488881987145170560093987432992,str\(\'intersection\'\),0.067667618878185759045962299751,True
910,910_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1807.000000000000000000000000000000,1133,1883,0.987568034170195452325913265668,0.529151030058041205172969512205,str\(\'intersection\'\),0.077666053716093308434409436813,False
911,911_0,COMPLETED,SOBOL,0.059999999999999997779553950750,11288.000000000000000000000000000000,4234,3621,0.380820269158110014107165852693,0.063629174759611481504428809330,str\(\'kl\'\),0.039784847833216195611694132594,True
912,912_0,COMPLETED,SOBOL,0.059999999999999997779553950750,7395.000000000000000000000000000000,4499,1836,0.115443588767200705502702362537,0.160966933723539123990420307564,str\(\'kl\'\),0.012820377061143518188091050547,False
913,913_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2349.000000000000000000000000000000,146,2598,0.504503250088542687379344897636,0.743202154256403457743829221727,str\(\'intersection\'\),0.065115644773468386863335410908,True
914,914_0,COMPLETED,SOBOL,0.050000000000000002775557561563,1944.000000000000000000000000000000,1836,625,0.306673808794468649718822916839,0.267034224029630395946810494934,str\(\'intersection\'\),0.097436500946059823036193847656,False
915,915_0,FAILED,SOBOL,,,3687,3886,0.819980914849787967391137044615,0.824898499585688060875554583617,str\(\'kl\'\),0.048129519512876875464435499907,True
916,916_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1805.000000000000000000000000000000,3300,2218,0.364478997291997064422730545630,0.636001424744725207816031797847,str\(\'intersection\'\),0.032933158650994304172954230125,False
917,917_0,FAILED,SOBOL,,,1443,3292,0.754375997910276097080384261062,0.209690862793475402137133301039,str\(\'kl\'\),0.085227734353393314048474849187,True
918,918_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2477.000000000000000000000000000000,377,1005,0.055811202878132459836990619806,0.811258366540074327133424958447,str\(\'kl\'\),0.072418178841471683715447227314,False
919,919_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2387.000000000000000000000000000000,4736,4578,0.571935368137434174684585741488,0.346947556633502240952537931662,str\(\'intersection\'\),0.023111878689378501094964235563,True
920,920_0,COMPLETED,SOBOL,0.050000000000000002775557561563,2167.000000000000000000000000000000,4003,291,0.929881831414997583884485266026,0.381666750622913220070131501416,str\(\'intersection\'\),0.052878014175221331460985396689,False
921,921_0,FAILED,SOBOL,,,895,4215,0.446300489753484741495270782252,0.963178059430792932182896493032,str\(\'kl\'\),0.093395251156762240651865170094,True
922,922_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3731.000000000000000000000000000000,2330,1502,0.739613870099186887507869414549,0.049974534703418616032877253019,str\(\'kl\'\),0.058260516999289399531214428407,False
923,923_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2120.000000000000000000000000000000,2940,2927,0.129805363796651362928713524525,0.609079345555975981696406051924,str\(\'intersection\'\),0.020380003126338128160988105719,True
924,924_0,COMPLETED,SOBOL,0.059999999999999997779553950750,5815.000000000000000000000000000000,3057,1276,0.785893835404887775020199569553,0.291516033127903917421264168297,str\(\'kl\'\),0.088788125338032847233549205157,True
925,925_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1736.000000000000000000000000000000,2447,2975,0.332997326942160720708585586181,0.866203537125140421437663462711,str\(\'intersection\'\),0.051082707075402147833820265532,False
926,926_0,COMPLETED,SOBOL,0.070000000000000006661338147751,3742.000000000000000000000000000000,779,67,0.602914475785568337862230237079,0.155722205117344858482653080500,str\(\'intersection\'\),0.015860081287100910585330382219,True
927,927_0,COMPLETED,SOBOL,0.059999999999999997779553950750,10160.000000000000000000000000000000,3886,4265,0.024795928085222841003032456797,0.690456435341388008453122893116,str\(\'kl\'\),0.056553787169978032844941395751,False
928,928_0,COMPLETED,SOBOL,0.059999999999999997779553950750,4386.000000000000000000000000000000,4854,1231,0.477285189032554624244397700750,0.538054436398670121732834559225,str\(\'kl\'\),0.086232031192630537175247695814,True
929,929_0,COMPLETED,SOBOL,0.050000000000000002775557561563,2145.000000000000000000000000000000,494,4531,0.898872386194765615741175679432,0.120513090940192343913928141319,str\(\'intersection\'\),0.036749263480305674467452092813,False
930,930_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2312.000000000000000000000000000000,1325,2441,0.161317371718585483852947959349,0.893616016102954713318240465014,str\(\'intersection\'\),0.024203379508107900064395323625,True
931,931_0,COMPLETED,SOBOL,0.059999999999999997779553950750,6788.000000000000000000000000000000,3182,3241,0.708126608118414879733393263450,0.451715146871283668161822788534,str\(\'kl\'\),0.076322860941290857073049380688,False
932,932_0,COMPLETED,SOBOL,0.200000000000000011102230246252,2263.000000000000000000000000000000,3570,362,0.228265293193981061437014545845,0.009416310781612993729972060919,str\(\'intersection\'\),0.061296101352199920675456468189,True
933,933_0,RUNNING,SOBOL,,,1719,3975,0.648984129404649112693448387290,0.582877541115507491475966617145,str\(\'kl\'\),0.011814025649800897685426370742,False
934,934_0,COMPLETED,SOBOL,0.059999999999999997779553950750,7462.000000000000000000000000000000,262,1571,0.412164974292740238226429028146,0.434182770246639870848071041110,str\(\'kl\'\),0.044222772112116226495004411845,True
935,935_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1739.000000000000000000000000000000,4616,2684,0.956187161890789893980979741173,0.969624717285856640991426047549,str\(\'intersection\'\),0.096341572264209390796807497281,False
936,936_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2618.000000000000000000000000000000,4117,2146,0.535853308912366599336962735833,0.755091283317655292961489976733,str\(\'intersection\'\),0.069464991278946411346062461689,True
937,937_0,COMPLETED,SOBOL,0.059999999999999997779553950750,7553.000000000000000000000000000000,1016,3532,0.084068784002214666517538432799,0.336355087377130990144991073976,str\(\'kl\'\),0.031760254297405483836502781969,False
938,938_0,COMPLETED,SOBOL,0.059999999999999997779553950750,8227.000000000000000000000000000000,2060,936,0.850883672941476154605311421619,0.672908585067838460602729355742,str\(\'kl\'\),0.041495016254484658191348245282,True
939,939_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1955.000000000000000000000000000000,2663,4822,0.275795796643942603409982439189,0.231746855832636350358555432649,str\(\'intersection\'\),0.082188030127435932059576373376,False
940,940_0,COMPLETED,SOBOL,0.059999999999999997779553950750,5385.000000000000000000000000000000,2799,1975,0.034115128325298428590972577013,0.467009335653856383352433567779,str\(\'kl\'\),0.095150398630648849729318783375,True
941,941_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1747.000000000000000000000000000000,2158,3674,0.578000573778524984192017655005,0.877712681589648102686851416365,str\(\'intersection\'\),0.046195661984384066289788250970,False
942,942_0,COMPLETED,SOBOL,0.080000000000000001665334536938,2532.000000000000000000000000000000,1033,765,0.356936656752601277897696263608,0.105234621183946733258274264244,str\(\'intersection\'\),0.010884815324097872613062776281,True
943,943_0,COMPLETED,SOBOL,0.059999999999999997779553950750,12286.000000000000000000000000000000,4177,4963,0.777549207361414973505020498123,0.553942022142931866923731831776,str\(\'kl\'\),0.062827829532325268901971071500,False
944,944_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3469.000000000000000000000000000000,4596,524,0.730115767411887661708647101477,0.705856746140867463701340511761,str\(\'kl\'\),0.081357720727100971136458440469,True
