trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
280,280_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1969,4592,10.000000000000000000000000000000,0.009792501061590175998050611383,True,False
281,281_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1969,4592,10.000000000000000000000000000000,0.036325376683361339236189024859,False,False
282,282_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,4901,980,5.586956772665351067530536965933,0.030285182048446088187709790418,False,False
283,283_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.009198731500262813734480893402,True,False
284,284_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,98.000000000000000000000000000000,1879,484,6.919217418292632260090613272041,0.050000000000000002775557561563,True,True
285,285_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1274,4552,10.000000000000000000000000000000,0.001315267729572581340002912498,False,False
286,286_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,3207,924,0.001000000000000000020816681712,0.029847890877180743157692788259,False,False
287,287_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,2618,2951,10.000000000000000000000000000000,0.005248250356894485629810631622,False,False
288,288_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.028158466855111016768908882568,True,False
289,289_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1717,4361,0.001000000000000000020816681712,0.013057989835395585054289568916,True,False
290,290_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.044711842342552786389031638237,True,False
291,291_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1717,4361,0.001000000000000000020816681712,0.014090321091666989372637175393,False,False
292,292_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,4269,4156,0.001000000000000000020816681712,0.034838305653926156246757983581,False,False
293,293_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,62.000000000000000000000000000000,1,2,9.597338529260746042837126879022,0.050000000000000002775557561563,True,True
294,294_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,4269,4156,0.001000000000000000020816681712,0.004291165034500480160439828126,True,False
295,295_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1566,4264,10.000000000000000000000000000000,0.050000000000000002775557561563,False,False
