trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
111,111_0,FAILED,GenerationStep_1,,,3151,3918,93,91,0.564388301268165748503236045508
112,112_0,FAILED,GenerationStep_1,,,2922,3480,100,547,0.936486241808166308686622869573
113,113_0,FAILED,GenerationStep_1,,,1,4315,76,380,0.998999999999999999111821580300
114,114_0,FAILED,GenerationStep_1,,,1,2418,87,1000,0.898620404468328914937558238307
115,115_0,FAILED,GenerationStep_1,,,2766,1,70,567,0.666624646384847641122917139000
116,116_0,FAILED,GenerationStep_1,,,3215,4571,64,612,0.316628189609561738748766401841
117,117_0,FAILED,GenerationStep_1,,,94,5000,84,1,0.998999999999999999111821580300
118,118_0,FAILED,GenerationStep_1,,,5000,1884,11,701,0.698278684995364717913446384046
119,119_0,FAILED,GenerationStep_1,,,552,1802,86,1,0.164531042375606867400605892726
120,120_0,FAILED,GenerationStep_1,,,3813,1,82,1,0.804631977759229899405113428656
121,121_0,FAILED,GenerationStep_1,,,1,1746,82,1,0.001000000000000000020816681712
122,122_0,FAILED,GenerationStep_1,,,3635,2254,81,1,0.667051988536591755618587740173
123,123_0,FAILED,GenerationStep_1,,,3980,755,82,178,0.653633466354070380432972342533
124,124_0,FAILED,GenerationStep_1,,,4078,1436,82,1,0.977749564939266346819124464673
125,125_0,FAILED,GenerationStep_1,,,2151,725,82,582,0.926103645770400385472953530552
126,126_0,FAILED,GenerationStep_1,,,2646,4325,82,1,0.535783604661641765787294389156
127,127_0,FAILED,GenerationStep_1,,,1,4958,81,513,0.998999999999999999111821580300
128,128_0,FAILED,GenerationStep_1,,,1564,1,82,1,0.062346671310419467249008818044
129,129_0,FAILED,GenerationStep_1,,,179,311,82,487,0.001000000000000000020816681712
130,130_0,FAILED,GenerationStep_1,,,1,1355,82,686,0.737255947453034576888342144230
131,131_0,FAILED,GenerationStep_1,,,3368,2690,82,1,0.889772834137852686176017869002
132,132_0,FAILED,GenerationStep_1,,,4223,3868,79,336,0.923173768147839690634270937153
133,133_0,FAILED,GenerationStep_1,,,126,3892,82,419,0.250997663565385609185653947861
134,134_0,FAILED,GenerationStep_1,,,2730,1,83,144,0.471957076192474622722272670217
135,135_0,FAILED,GenerationStep_1,,,10,1697,81,787,0.998999999999999999111821580300
136,136_0,FAILED,GenerationStep_1,,,396,4623,82,471,0.003481698458319659652410171802
137,137_0,FAILED,GenerationStep_1,,,135,4352,85,479,0.735102024988435687191667966545
138,138_0,FAILED,GenerationStep_1,,,88,4732,83,55,0.001000000000000000020816681712
139,139_0,FAILED,GenerationStep_1,,,1,2445,80,382,0.181790760497320152966338469014
140,140_0,FAILED,GenerationStep_1,,,852,5000,82,1,0.998999999999999999111821580300
141,141_0,FAILED,GenerationStep_1,,,3639,176,79,439,0.722203808825049864417167100328
142,142_0,FAILED,GenerationStep_1,,,4433,1149,79,655,0.001000000000000000020816681712
143,143_0,FAILED,GenerationStep_1,,,988,2931,83,611,0.998999999999999999111821580300
144,144_0,FAILED,GenerationStep_1,,,4514,3463,80,554,0.721051992308166411760339542525
145,145_0,FAILED,GenerationStep_1,,,453,1,81,586,0.316463745668982721070960906218
146,146_0,FAILED,GenerationStep_1,,,3453,2250,81,389,0.517056751360438271447605984577
147,147_0,FAILED,GenerationStep_1,,,2151,4442,82,331,0.018740530631908565439847080825
148,148_0,FAILED,GenerationStep_1,,,4144,356,84,99,0.987703285317714563262825322454
149,149_0,FAILED,GenerationStep_1,,,2613,4401,83,207,0.666551625905504541158563824865
150,150_0,FAILED,GenerationStep_1,,,3813,1,82,1,0.839255386812976955646092847019
151,151_0,FAILED,GenerationStep_1,,,886,1,82,1,0.001000000000000000020816681712
