trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
34,34_0,RUNNING,GenerationStep_0,,,288,4119,3,0.513080736657604563610846071242
35,35_0,RUNNING,GenerationStep_0,,,4069,931,6,0.497575582778081282331328338842
36,36_0,RUNNING,GenerationStep_0,,,4845,4415,10,0.300814645830541849136352539062
37,37_0,RUNNING,GenerationStep_0,,,761,611,4,0.690326206851750612258911132812
38,38_0,RUNNING,GenerationStep_0,,,2414,2600,7,0.122939789056777951103960333512
39,39_0,RUNNING,GenerationStep_0,,,3232,2351,1,0.887853107079863534956132298248
40,40_0,RUNNING,GenerationStep_0,,,3728,4030,8,0.658324210891500061215708683449
41,41_0,RUNNING,GenerationStep_0,,,1878,998,1,0.331004925483837697530731247753
42,42_0,RUNNING,GenerationStep_0,,,1199,3307,10,0.980296575432643257919096413389
43,43_0,RUNNING,GenerationStep_0,,,4447,1642,3,0.028441011538729073920839240941
44,44_0,RUNNING,GenerationStep_0,,,3983,3000,2,0.205686451990157365132816380537
45,45_0,RUNNING,GenerationStep_0,,,413,1970,6,0.783535608742386147085312586569
46,46_0,FAILED,GenerationStep_0,,,1414,4972,5,0.403243838503956786301074544099
47,47_0,COMPLETED,GenerationStep_0,0.830000000000000071054273576010,2636.000000000000000000000000000000,2942,75,9,0.605569412082433755628585458908
48,48_0,FAILED,GenerationStep_0,,,3080,4831,2,0.068605892665684217734956007462
49,49_0,COMPLETED,GenerationStep_0,0.780000000000000026645352591004,4415.000000000000000000000000000000,1315,197,7,0.926594212673604533669902139081
50,50_0,FAILED,GenerationStep_0,,,590,2819,3,0.262074373032897711688349318138
51,51_0,FAILED,GenerationStep_0,,,3766,2131,10,0.744661173980683099848931760789
52,52_0,FAILED,GenerationStep_0,,,4542,3136,6,0.551821068940684167358767808764
53,53_0,FAILED,GenerationStep_0,,,1064,1833,2,0.443240556163713328441389194268
54,54_0,FAILED,GenerationStep_0,,,2091,3898,9,0.869948179678991406760246718477
55,55_0,COMPLETED,GenerationStep_1,0.719999999999999973354647408996,5317.000000000000000000000000000000,490,305,1,0.290981241037526705550675387713
56,56_0,COMPLETED,GenerationStep_1,0.849999999999999977795539507497,5229.000000000000000000000000000000,240,10,3,0.282761392986376314251373287334
57,57_0,FAILED,GenerationStep_1,,,68,3330,2,0.400419857773670728740000868129
58,58_0,FAILED,GenerationStep_1,,,1061,1602,1,0.230471924138411415894367451074
59,59_0,FAILED,GenerationStep_1,,,147,1,4,0.244335251199207958983095068106
60,60_0,FAILED,GenerationStep_1,,,1014,1,7,0.998999999999999999111821580300
61,61_0,FAILED,GenerationStep_1,,,580,1,9,0.606734737780794675110485059122
62,62_0,FAILED,GenerationStep_1,,,3002,1,2,0.249668179970601145090114414415
63,63_0,FAILED,GenerationStep_1,,,3191,1,9,0.252052707566464584409970939305
64,64_0,FAILED,GenerationStep_1,,,298,1,1,0.233855858329023946762248442610
65,65_0,FAILED,GenerationStep_1,,,4872,1,1,0.998999999999999999111821580300
66,66_0,FAILED,GenerationStep_1,,,1139,1,1,0.243634654766007263670957172508
67,67_0,FAILED,GenerationStep_1,,,3553,1,10,0.631006818251847012568589434522
68,68_0,FAILED,GenerationStep_1,,,2717,1,1,0.880654775373489684398009558208
69,69_0,RUNNING,GenerationStep_1,,,531,3116,5,0.777516424823595730941860892926
70,70_0,FAILED,GenerationStep_1,,,1094,1,1,0.683225676850367169556932367414
71,71_0,FAILED,GenerationStep_1,,,1,4234,1,0.998999999999999999111821580300
72,72_0,FAILED,GenerationStep_1,,,1557,2651,5,0.998999999999999999111821580300
73,73_0,FAILED,GenerationStep_1,,,3043,1,5,0.998999999999999999111821580300
74,74_0,FAILED,GenerationStep_1,,,2548,4058,4,0.998999999999999999111821580300
75,75_0,FAILED,GenerationStep_1,,,1586,1,10,0.796302277836346106276721457107
76,76_0,FAILED,GenerationStep_1,,,341,2664,1,0.238581478073152553065483516548
77,77_0,FAILED,GenerationStep_1,,,4892,4954,4,0.026751032484091448460095108430
78,78_0,FAILED,GenerationStep_1,,,4953,3056,6,0.025787602924668553278086946534
79,79_0,FAILED,GenerationStep_1,,,1,1,10,0.980338449148369095453858790279
80,80_0,FAILED,GenerationStep_1,,,3491,1,1,0.617744396265757167441279307241
81,81_0,FAILED,GenerationStep_1,,,426,4744,10,0.995372593802831162612676507706
82,82_0,FAILED,GenerationStep_1,,,27,1,7,0.228030200366455632066120529089
83,83_0,FAILED,GenerationStep_1,,,1464,4780,10,0.959282883111658324359893867950
84,84_0,FAILED,GenerationStep_1,,,1723,3646,8,0.315612843636919437884102990211
85,85_0,FAILED,GenerationStep_1,,,4856,4718,1,0.880137112594223336436982663145
86,86_0,FAILED,GenerationStep_1,,,2063,1,10,0.642502809473941560725052113412
87,87_0,FAILED,GenerationStep_1,,,5000,1,9,0.018245302199660740766207212005
88,88_0,FAILED,GenerationStep_1,,,4026,5000,1,0.204961469365278980969691247083
89,89_0,FAILED,GenerationStep_1,,,3719,2393,1,0.005610803430688515378021996582
90,90_0,FAILED,GenerationStep_1,,,4343,1,7,0.998999999999999999111821580300
91,91_0,FAILED,GenerationStep_1,,,64,1,10,0.998999999999999999111821580300
92,92_0,FAILED,GenerationStep_1,,,615,1,1,0.236221616430726172319864986093
93,93_0,FAILED,GenerationStep_1,,,88,1,6,0.234928063212451188057627859962
94,94_0,FAILED,GenerationStep_1,,,853,1,10,0.001000000000000000020816681712
95,95_0,FAILED,GenerationStep_1,,,1827,1,10,0.624921233940037956777757699456
96,96_0,FAILED,GenerationStep_1,,,4627,1,10,0.609534222034281980562298031145
97,97_0,FAILED,GenerationStep_1,,,2328,1,1,0.865996552308222034000095845840
98,98_0,RUNNING,GenerationStep_1,,,3207,4787,9,0.133452573371736854523916804283
99,99_0,RUNNING,GenerationStep_1,,,185,2070,9,0.996075306443899299857491769217
100,100_0,RUNNING,GenerationStep_1,,,2767,3703,1,0.889065115103615299929629145481
101,101_0,FAILED,GenerationStep_1,,,2361,1,1,0.246783106714308170248628471199
102,102_0,RUNNING,GenerationStep_1,,,4478,2465,5,0.998999999999999999111821580300
103,103_0,FAILED,GenerationStep_1,,,1,1,1,0.998999999999999999111821580300
104,104_0,RUNNING,GenerationStep_1,,,2092,4791,6,0.314362545124824033226929032026
105,105_0,FAILED,GenerationStep_1,,,340,1,10,0.790705110256068377516669443139
106,106_0,FAILED,GenerationStep_1,,,4231,1,1,0.625916715206753293543329164095
107,107_0,RUNNING,GenerationStep_1,,,118,4674,10,0.989815350530959370267680696998
108,108_0,FAILED,GenerationStep_1,,,310,1,10,0.592460745352047069012257907161
109,109_0,RUNNING,GenerationStep_1,,,488,5000,10,0.945367006242654350778309435555
110,110_0,RUNNING,GenerationStep_1,,,2583,4356,1,0.810320256504246216877618280705
111,111_0,FAILED,GenerationStep_1,,,5000,1,1,0.998999999999999999111821580300
112,112_0,FAILED,GenerationStep_1,,,786,2716,1,0.227716630815860354708490831399
113,113_0,FAILED,GenerationStep_1,,,1519,1,10,0.680686014187084298399099679955
114,114_0,FAILED,GenerationStep_1,,,4533,4283,1,0.998081429253082186292544975004
115,115_0,FAILED,GenerationStep_1,,,1,4124,3,0.242983331655120482484022659264
116,116_0,FAILED,GenerationStep_1,,,878,1,1,0.829349776303990426917778222560
117,117_0,FAILED,GenerationStep_1,,,1203,4778,10,0.762235839086121469421186702675
118,118_0,FAILED,GenerationStep_1,,,2371,2634,1,0.908335562312903022075261105783
119,119_0,FAILED,GenerationStep_1,,,3225,1,2,0.998999999999999999111821580300
120,120_0,FAILED,GenerationStep_1,,,1552,1,8,0.998999999999999999111821580300
121,121_0,FAILED,GenerationStep_1,,,2189,1,9,0.333882638279047627705153900024
122,122_0,FAILED,GenerationStep_1,,,620,1,1,0.236898166439468205179963433693
123,123_0,FAILED,GenerationStep_1,,,5000,1,9,0.998999999999999999111821580300
124,124_0,FAILED,GenerationStep_1,,,787,1,7,0.234010468549392974813017076485
125,125_0,FAILED,GenerationStep_1,,,3949,1,1,0.250921558012362155842822630802
126,126_0,FAILED,GenerationStep_1,,,1727,1,1,0.245437432368604629973063424586
127,127_0,FAILED,GenerationStep_1,,,5,1,3,0.225624550217871588930762527525
128,128_0,FAILED,GenerationStep_1,,,1,1,10,0.998999999999999999111821580300
129,129_0,FAILED,GenerationStep_1,,,691,1,10,0.609874213477034299302204090054
130,130_0,FAILED,GenerationStep_1,,,3671,1,1,0.998999999999999999111821580300
131,131_0,FAILED,GenerationStep_1,,,2481,1,1,0.842431893575787293926282472967
132,132_0,RUNNING,GenerationStep_1,,,114,4496,10,0.781500310938096132140628924390
133,133_0,FAILED,GenerationStep_1,,,3609,1,10,0.258484881522234311024277531033
134,103_0,FAILED,GenerationStep_1,,,1,1,1,0.998999999999999999111821580300
135,135_0,RUNNING,GenerationStep_1,,,3918,5000,1,0.205140412453143156090717980078
136,136_0,FAILED,GenerationStep_1,,,2221,2619,8,0.958520512154909631874488695757
137,137_0,FAILED,GenerationStep_1,,,4959,1,10,0.299692771642905253504096663164
138,138_0,FAILED,GenerationStep_1,,,879,2346,3,0.224864490254722215745175617485
139,139_0,FAILED,GenerationStep_1,,,2693,1,6,0.653098723503245826016438968509
140,140_0,FAILED,GenerationStep_1,,,2535,3267,10,0.864902926295155083380450378172
141,141_0,FAILED,GenerationStep_1,,,1053,3873,3,0.768530759839058497107089351630
142,142_0,FAILED,GenerationStep_1,,,4295,1,1,0.634125841592147132530499220593
143,143_0,FAILED,GenerationStep_1,,,239,2600,1,0.998999999999999999111821580300
144,144_0,FAILED,GenerationStep_1,,,2195,3202,10,0.603338825400638212315129749186
145,145_0,FAILED,GenerationStep_1,,,456,1,10,0.586852660145960824955579937523
146,146_0,FAILED,GenerationStep_1,,,3804,4033,8,0.826054356429052893950881752971
147,147_0,FAILED,GenerationStep_1,,,171,1,5,0.786812261566393278400255439919
148,148_0,FAILED,GenerationStep_1,,,4080,3758,3,0.283745828230015262327867731074
149,149_0,FAILED,GenerationStep_1,,,1642,1,4,0.635345387906320779869417947339
150,150_0,FAILED,GenerationStep_1,,,1976,1,8,0.998999999999999999111821580300
151,151_0,FAILED,GenerationStep_1,,,608,1,1,0.236587361908524113074392403178
152,152_0,FAILED,GenerationStep_1,,,517,1,10,0.610087623585802263370680975640
153,153_0,FAILED,GenerationStep_1,,,145,1,5,0.786404892300555546924556438171
154,154_0,FAILED,GenerationStep_1,,,4783,1,10,0.001000000000000000020816681712
155,155_0,FAILED,GenerationStep_1,,,114,1,7,0.234050420158046779128824255167
156,156_0,FAILED,GenerationStep_1,,,1966,1,1,0.247345835785042156285129522075
157,103_0,FAILED,GenerationStep_1,,,1,1,1,0.998999999999999999111821580300
158,158_0,RUNNING,GenerationStep_1,,,3347,2973,10,0.941016738795171336917633198027
159,159_0,FAILED,GenerationStep_1,,,3918,1,2,0.630755398199773553713498586148
160,160_0,RUNNING,GenerationStep_1,,,5000,4719,10,0.001000000000000000020816681712
161,161_0,FAILED,GenerationStep_1,,,605,1,10,0.678811097781667927009152663231
162,162_0,FAILED,GenerationStep_1,,,4042,1,1,0.998999999999999999111821580300
163,163_0,FAILED,GenerationStep_1,,,4070,1,10,0.630948429611703276442824517289
164,164_0,RUNNING,GenerationStep_1,,,1832,2233,4,0.979706780345996786074636020203
165,165_0,FAILED,GenerationStep_1,,,1,1,10,0.001000000000000000020816681712
166,166_0,RUNNING,GenerationStep_1,,,4450,3368,8,0.975749467369048772980022476986
167,167_0,FAILED,GenerationStep_1,,,1425,1,5,0.231768856069134693287381310256
168,168_0,FAILED,GenerationStep_1,,,4406,1,1,0.905964159905177202070092334907
169,169_0,FAILED,GenerationStep_1,,,824,1,10,0.578872873971610135690468723624
170,170_0,RUNNING,GenerationStep_1,,,2561,3884,5,0.316369418675431668397379780799
171,171_0,RUNNING,GenerationStep_1,,,1815,3922,10,0.146451021670008535435769658761
172,172_0,RUNNING,GenerationStep_1,,,173,3472,1,0.238702786177731385297562383130
173,173_0,RUNNING,GenerationStep_1,,,3602,4322,10,0.001000000000000000020816681712
174,174_0,RUNNING,GenerationStep_1,,,2101,2781,9,0.001000000000000000020816681712
175,175_0,FAILED,GenerationStep_1,,,3733,4319,10,0.967799974212555813579683672288
176,176_0,FAILED,GenerationStep_1,,,2178,2205,4,0.189041126719267593703222019030
177,177_0,FAILED,GenerationStep_1,,,508,1,1,0.220540542711640391582150755312
178,178_0,FAILED,GenerationStep_1,,,3190,3552,7,0.039481511005317000695402640531
179,179_0,FAILED,GenerationStep_1,,,3809,1,1,0.817769543641489238261499394866
180,180_0,FAILED,GenerationStep_1,,,2640,1,9,0.615165603194969823341864412214
181,181_0,FAILED,GenerationStep_1,,,1865,1,6,0.592635763507757928891805931926
182,182_0,FAILED,GenerationStep_1,,,802,1,1,0.235453952783596598408166755689
183,183_0,FAILED,GenerationStep_1,,,1,1,3,0.998999999999999999111821580300
184,184_0,FAILED,GenerationStep_1,,,805,1,7,0.239113826134022933178613357086
185,185_0,FAILED,GenerationStep_1,,,3911,1,1,0.963184018851746204248343019572
186,186_0,RUNNING,GenerationStep_1,,,2961,2843,8,0.897247207919000144826782161545
187,187_0,FAILED,GenerationStep_1,,,3566,1,1,0.620821879426430522919133636606
188,188_0,RUNNING,GenerationStep_1,,,3706,2897,2,0.683455873445877881700027955958
189,189_0,FAILED,GenerationStep_1,,,4535,1,10,0.708142412599873871670297376113
190,190_0,FAILED,GenerationStep_1,,,1437,1,1,0.874386186312444801949084194348
191,191_0,FAILED,GenerationStep_1,,,3408,1,1,0.899600803562771944577036720148
192,192_0,FAILED,GenerationStep_1,,,1771,1,4,0.629015334839984063819429138675
193,193_0,RUNNING,GenerationStep_1,,,3010,3149,5,0.311317716681692724378649472783
194,194_0,FAILED,GenerationStep_1,,,2314,1,1,0.248204016305824559651682648109
195,195_0,RUNNING,GenerationStep_1,,,1585,4918,1,0.236677615062221347042026309282
196,128_0,FAILED,GenerationStep_1,,,1,1,10,0.998999999999999999111821580300
197,197_0,FAILED,GenerationStep_1,,,5000,1,8,0.998999999999999999111821580300
198,198_0,FAILED,GenerationStep_1,,,1,1,10,0.603305688843742915494772205420
199,199_0,RUNNING,GenerationStep_1,,,1571,3847,1,0.241210605141564504716455985545
200,200_0,FAILED,GenerationStep_1,,,1,1,10,0.778397845268436250343313531630
201,201_0,FAILED,GenerationStep_1,,,1155,1,1,0.972887704767344208001134120423
202,202_0,FAILED,GenerationStep_1,,,1635,1,1,0.580415934467678140684654408687
203,203_0,FAILED,GenerationStep_1,,,1911,1,5,0.216755528982764400502958324068
204,204_0,RUNNING,GenerationStep_1,,,2799,2274,10,0.293975806074587842076084598375
205,205_0,FAILED,GenerationStep_1,,,1997,1,1,0.698927865001692905089214491454
206,206_0,RUNNING,GenerationStep_1,,,125,3838,1,0.001000000000000000020816681712
207,207_0,FAILED,GenerationStep_1,,,2894,3120,5,0.255681142160426255749428037234
208,208_0,FAILED,GenerationStep_1,,,643,2382,6,0.238090384151572465043500415049
209,209_0,FAILED,GenerationStep_1,,,2075,3062,10,0.160446468458317781369260046631
210,210_0,FAILED,GenerationStep_1,,,1065,1,1,0.238045545022291749059917265186
211,211_0,FAILED,GenerationStep_1,,,2231,1,10,0.873853577559022598464366637927
212,212_0,FAILED,GenerationStep_1,,,231,1,2,0.995634278088710189535959216300
213,213_0,FAILED,GenerationStep_1,,,1258,1,10,0.998999999999999999111821580300
214,214_0,FAILED,GenerationStep_1,,,1,1,10,0.962350038110641015087765026692
215,215_0,FAILED,GenerationStep_1,,,577,1,1,0.780743469043864379841579648200
216,216_0,FAILED,GenerationStep_1,,,4771,1,10,0.263742868952989595321412252815
217,217_0,FAILED,GenerationStep_1,,,1673,3216,2,0.489701445454699790804653503073
218,218_0,FAILED,GenerationStep_1,,,2594,1,3,0.649927594771254613092992258316
219,219_0,FAILED,GenerationStep_1,,,1888,1,10,0.150327918066792770579453986102
220,220_0,FAILED,GenerationStep_1,,,1,1,3,0.234323861034322594720791244072
221,221_0,FAILED,GenerationStep_1,,,1,2575,10,0.998545470759144682126873249217
222,222_0,FAILED,GenerationStep_1,,,3143,1,10,0.631864745808855099440393132681
223,111_0,FAILED,GenerationStep_1,,,5000,1,1,0.998999999999999999111821580300
224,224_0,FAILED,GenerationStep_1,,,2984,1,1,0.697472222404900810133199229313
225,225_0,FAILED,GenerationStep_1,,,3338,1,1,0.626375056130189955538867252471
226,226_0,FAILED,GenerationStep_1,,,4366,4093,1,0.940847106701874436041066473990
227,227_0,FAILED,GenerationStep_1,,,1612,4423,3,0.208585853649472935389397321160
228,228_0,FAILED,GenerationStep_1,,,2741,2613,2,0.220914016615223779416155025501
229,229_0,FAILED,GenerationStep_1,,,2343,1,6,0.249323609166304138717862315389
230,230_0,FAILED,GenerationStep_1,,,1004,3018,1,0.231192095536477848494172349092
231,231_0,FAILED,GenerationStep_1,,,4057,1,6,0.020301906191691750785954795333
232,232_0,FAILED,GenerationStep_1,,,3754,2755,1,0.235345449089221364635804434329
233,233_0,FAILED,GenerationStep_1,,,291,1,10,0.685203985327182518716426784522
234,234_0,FAILED,GenerationStep_1,,,217,3986,10,0.998999999999999999111821580300
235,235_0,FAILED,GenerationStep_1,,,1230,1,10,0.010299298319963300779589232548
236,236_0,FAILED,GenerationStep_1,,,4744,1,1,0.715209031472773815174548417417
237,237_0,FAILED,GenerationStep_1,,,3535,1,1,0.234054295981185267461199828176
238,238_0,FAILED,GenerationStep_1,,,2486,3295,10,0.001000000000000000020816681712
239,239_0,FAILED,GenerationStep_1,,,2832,1,1,0.998999999999999999111821580300
240,240_0,FAILED,GenerationStep_1,,,2385,1,9,0.612893181393901476106123027421
241,241_0,FAILED,GenerationStep_1,,,700,1,1,0.236782748298267453623822120790
242,242_0,FAILED,GenerationStep_1,,,132,1,10,0.827854070817228060441550496762
243,243_0,FAILED,GenerationStep_1,,,2787,1,1,0.254264936444856037844886031962
244,244_0,FAILED,GenerationStep_1,,,3573,1,1,0.998999999999999999111821580300
245,245_0,FAILED,GenerationStep_1,,,2317,1,9,0.245761783682803769401914451009
246,246_0,FAILED,GenerationStep_1,,,763,1,10,0.001000000000000000020816681712
247,247_0,FAILED,GenerationStep_1,,,4489,1,2,0.616653338001649897748279727239
248,103_0,FAILED,GenerationStep_1,,,1,1,1,0.998999999999999999111821580300
249,249_0,FAILED,GenerationStep_1,,,509,1,2,0.797976559432072352073817000928
250,250_0,FAILED,GenerationStep_1,,,1,1,6,0.236120071041471091266572557288
251,251_0,RUNNING,GenerationStep_1,,,5000,2560,10,0.001000000000000000020816681712
252,252_0,FAILED,GenerationStep_1,,,2250,1,7,0.992479980510755033229486343771
253,253_0,FAILED,GenerationStep_1,,,1840,1,1,0.239757775903891273694412689110
254,254_0,FAILED,GenerationStep_1,,,777,1,1,0.221124503728658217127645002620
255,255_0,RUNNING,GenerationStep_1,,,3754,4472,9,0.122626332636333087999780389055
256,256_0,RUNNING,GenerationStep_1,,,134,3131,1,0.241439179309553081376193972574
257,257_0,FAILED,GenerationStep_1,,,4867,1,10,0.295331888130048902940671951001
258,258_0,FAILED,GenerationStep_1,,,3823,1,10,0.933545750509856442356237948843
259,259_0,FAILED,GenerationStep_1,,,3567,1,1,0.880019609855118623009673228808
260,260_0,RUNNING,GenerationStep_1,,,4725,2530,4,0.030518898677197509039515921359
261,111_0,FAILED,GenerationStep_1,,,5000,1,1,0.998999999999999999111821580300
262,262_0,FAILED,GenerationStep_1,,,4047,1,1,0.844676315224175189300126476155
263,263_0,FAILED,GenerationStep_1,,,1637,1,10,0.636326063676953213033016254485
264,264_0,FAILED,GenerationStep_1,,,4942,1,10,0.010356681368594302175556443046
265,265_0,FAILED,GenerationStep_1,,,2034,1,1,0.686764507636286380964918407699
266,266_0,RUNNING,GenerationStep_1,,,4909,2777,4,0.998999999999999999111821580300
267,267_0,FAILED,GenerationStep_1,,,1705,2830,3,0.791791148634599428746128069179
268,268_0,FAILED,GenerationStep_1,,,4743,3217,1,0.971881546434504195453030206409
269,128_0,FAILED,GenerationStep_1,,,1,1,10,0.998999999999999999111821580300
270,270_0,FAILED,GenerationStep_1,,,1,1,9,0.998999999999999999111821580300
271,271_0,FAILED,GenerationStep_1,,,892,1,1,0.236654172166559401135899065594
272,272_0,FAILED,GenerationStep_1,,,3116,1,1,0.797808833108222370533724188135
273,273_0,FAILED,GenerationStep_1,,,2398,1,10,0.632589622518652028304586565355
274,111_0,FAILED,GenerationStep_1,,,5000,1,1,0.998999999999999999111821580300
275,275_0,FAILED,GenerationStep_1,,,361,1,10,0.621774355277345036618896756409
276,276_0,FAILED,GenerationStep_1,,,1847,1,5,0.239827671056505792313018332607
277,277_0,FAILED,GenerationStep_1,,,3589,1,1,0.886034045880881526713324092270
278,278_0,FAILED,GenerationStep_1,,,597,1,1,0.248981993728904726914663569914
279,279_0,FAILED,GenerationStep_1,,,2840,1,1,0.981455979896479702162537250842
280,280_0,FAILED,GenerationStep_1,,,667,1,10,0.232865132055864232363262544823
281,281_0,FAILED,GenerationStep_1,,,4363,1,3,0.614035475837091504480724779569
282,282_0,FAILED,GenerationStep_1,,,326,1,1,0.975644721220592536781168746529
283,283_0,FAILED,GenerationStep_1,,,1232,1,10,0.586060311663469279963578628667
284,284_0,RUNNING,GenerationStep_1,,,579,4092,10,0.965205279051380538035687095544
285,285_0,RUNNING,GenerationStep_1,,,634,2860,3,0.211733143485297647945486687604
286,286_0,FAILED,GenerationStep_1,,,37,1,1,0.222586637799137815330041689776
287,287_0,RUNNING,GenerationStep_1,,,4101,3759,1,0.173600189171317864644805695207
288,288_0,RUNNING,GenerationStep_1,,,188,2425,2,0.224513739036467568910282466277
289,289_0,RUNNING,GenerationStep_1,,,5000,5000,1,0.998999999999999999111821580300
290,290_0,RUNNING,GenerationStep_1,,,164,3842,3,0.702722944447954689373148084997
291,291_0,RUNNING,GenerationStep_1,,,2698,2488,3,0.812658149041982857951893493009
292,292_0,FAILED,GenerationStep_1,,,4692,1,10,0.998999999999999999111821580300
293,293_0,FAILED,GenerationStep_1,,,2505,1,1,0.245853329178427809642570878168
294,294_0,RUNNING,GenerationStep_1,,,4174,4976,7,0.836462433168484342793647101644
295,295_0,RUNNING,GenerationStep_1,,,3792,2879,10,0.638662453962527520978653683414
296,296_0,RUNNING,GenerationStep_1,,,2963,4008,9,0.916935949555991225423667856376
297,297_0,FAILED,GenerationStep_1,,,629,2402,9,0.617231499454166443463520863588
298,298_0,FAILED,GenerationStep_1,,,3638,1,9,0.649939941145391886223592337046
299,299_0,FAILED,GenerationStep_1,,,102,1,2,0.599319880156653383984632910142
300,300_0,FAILED,GenerationStep_1,,,3389,1,3,0.257807984902021114503867238454
301,301_0,FAILED,GenerationStep_1,,,587,1,1,0.235071837475246403492690205894
302,302_0,FAILED,GenerationStep_1,,,2317,1,10,0.629188032003017205795458721695
303,303_0,FAILED,GenerationStep_1,,,86,1,3,0.998999999999999999111821580300
304,304_0,FAILED,GenerationStep_1,,,1848,1,1,0.983426896692949803480132686673
305,305_0,RUNNING,GenerationStep_1,,,1613,2379,10,0.967714499034031838675673498074
306,306_0,FAILED,GenerationStep_1,,,4745,3136,1,0.228758610804239148617256205398
307,307_0,FAILED,GenerationStep_1,,,1688,1,10,0.998999999999999999111821580300
308,308_0,FAILED,GenerationStep_1,,,5000,1,10,0.998999999999999999111821580300
309,309_0,FAILED,GenerationStep_1,,,1625,1,1,0.240581149895348733736000212957
310,310_0,FAILED,GenerationStep_1,,,4515,3577,10,0.111014960994718553388693749184
311,311_0,FAILED,GenerationStep_1,,,1233,1,1,0.841663928309185793708024903026
312,128_0,FAILED,GenerationStep_1,,,1,1,10,0.998999999999999999111821580300
313,313_0,FAILED,GenerationStep_1,,,420,1,10,0.847904275658653561187350078399
314,314_0,FAILED,GenerationStep_1,,,425,4,8,0.238735586851813202935446156516
315,111_0,FAILED,GenerationStep_1,,,5000,1,1,0.998999999999999999111821580300
316,316_0,FAILED,GenerationStep_1,,,1,1,1,0.224733002675610721299293004449
317,165_0,FAILED,GenerationStep_1,,,1,1,10,0.001000000000000000020816681712
318,318_0,FAILED,GenerationStep_1,,,2016,1,7,0.225494562600756925929701424138
319,319_0,FAILED,GenerationStep_1,,,2533,4780,6,0.900022491936755986152718378435
320,320_0,FAILED,GenerationStep_1,,,3134,2722,2,0.998999999999999999111821580300
321,321_0,FAILED,GenerationStep_1,,,3074,1,1,0.844559215110756822397775067657
