trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
1567,1567_0,FAILED,SOBOL,,,536,0.026170357661321759501493744438,0.885209538077935564892584352492,4476,513,2738
1568,1568_0,FAILED,SOBOL,,,335,0.535985546894371500670217756124,0.437838556431233871801822488123,983,2283,1558
1569,1569_0,FAILED,SOBOL,,,3421,0.044654174083843825582285091969,0.532615954434499161429528157896,2693,883,3788
1570,1570_0,FAILED,SOBOL,,,3755,0.774009697543457164670144265983,0.202536989102140074781033263207,2234,308,2597
1571,1571_0,FAILED,SOBOL,,,2462,0.267080286204814887351943752947,0.795819525908678770953486036888,3945,3295,209
1572,1572_0,FAILED,SOBOL,,,1667,0.877515584964305150883490114211,0.670491862844675767796331911086,4995,2856,2202
1573,1573_0,FAILED,SOBOL,,,4599,0.386454510254785443823521973172,0.328110208043828621704562920058,1330,747,4980
1574,1574_0,RUNNING,SOBOL,,,2585,0.685725814258679733370627218392,0.905557215368375190145400210895,3745,1322,3672
1575,1575_0,COMPLETED,SOBOL,0.460000000000000019984014443253,5349.000000000000000000000000000000,1142,0.179074322592467083392619997539,0.064655546687543391515262669600,79,1844,1049
1576,1576_0,RUNNING,SOBOL,,,663,0.871505717508494814893538205069,0.970507708866149232385112100019,1657,1229,317
1577,1577_0,RUNNING,SOBOL,,,3122,0.364567269960418327556794793054,0.004460099549964070299312712820,4676,2621,3094
1578,1578_0,RUNNING,SOBOL,,,4706,0.563252881409600392181857841933,0.730200022025033868011689719424,408,3196,4286
1579,1579_0,RUNNING,SOBOL,,,1540,0.071903895333409309498229333713,0.263647032245993617749491022551,3427,217,1664
1580,1580_0,RUNNING,SOBOL,,,1985,0.713053532067686290929486858658,0.137525595530867572602318205099,2993,656,922
1581,1581_0,RUNNING,SOBOL,,,4290,0.206385382620617757742920161945,0.856075902862474369392487005825,676,2757,3153
1582,1582_0,RUNNING,SOBOL,,,3527,0.974951221635565135059664498840,0.378069500895217069924569841533,4242,2182,4463
1583,1583_0,RUNNING,SOBOL,,,210,0.483880155231803665838441474989,0.597140056330710655707605383213,1925,1667,2074
1584,1584_0,RUNNING,SOBOL,,,226,0.505929991528391798105701582244,0.147079883141443129579428727993,3965,1912,2781
1585,1585_0,RUNNING,SOBOL,,,3548,0.014840367527678609282926203150,0.863215607866644862866678522551,2215,1501,1
1586,1586_0,RUNNING,SOBOL,,,4269,0.807839960703626291937951009459,0.401637662965804331793862047562,2713,817,1350
1587,1587_0,RUNNING,SOBOL,,,1968,0.301159912310540678337389408625,0.619252901645377273887049796031,963,3033,3971
1588,1588_0,RUNNING,SOBOL,,,1562,0.907021844383329112204705779732,0.994326120587065820366490243032,137,3472,3464
1589,1589_0,RUNNING,SOBOL,,,4722,0.415722827931866045769737638693,0.026809999901801349897478843332,3685,378,1232
1590,1590_0,RUNNING,SOBOL,,,3104,0.652441039977595171883706370863,0.739532598122954354380453878548,1389,1061,2385
1591,1591_0,RUNNING,SOBOL,,,642,0.145543992433696978139323618961,0.270521144075319186494965606471,4937,2352,4772
1592,1592_0,RUNNING,SOBOL,,,1158,0.842905532807111779192155154306,0.678450096735730756591919998755,3368,1600,4099
1593,1593_0,RUNNING,SOBOL,,,2607,0.336205027000978595719260511032,0.334645481538027533829904314189,466,2004,1865
1594,1594_0,RUNNING,SOBOL,,,4578,0.595631580973044028048946074705,0.930689071081578722655081037374,4617,2688,519
1595,1595_0,RUNNING,SOBOL,,,1649,0.104528150774538516887268713162,0.087405183589085944095842251045,1716,478,2907
1596,1596_0,COMPLETED,SOBOL,0.849999999999999977795539507497,3756.000000000000000000000000000000,2484,0.742081171672791195526031060581,0.462781064426526445032550327596,1905,40,4665
1597,1597_0,RUNNING,SOBOL,,,3772,0.235171273415908210768776598343,0.555067634366452677951997429773,4261,3126,1886
1598,1598_0,RUNNING,SOBOL,,,3403,0.942148874236270805759829727322,0.210777829002588984463884003162,656,2443,735
1599,1599_0,RUNNING,SOBOL,,,314,0.450828444886952617309816560009,0.802559498080983702017476844048,3013,1161,3355
1600,1600_0,RUNNING,SOBOL,,,514,0.984088013505563186100744133000,0.372782040368765610338641636190,1510,2945,2037
1601,1601_0,RUNNING,SOBOL,,,3212,0.492773294758051649822050421790,0.652254406282678278472531019361,4824,672,4495
1602,1602_0,RUNNING,SOBOL,,,3972,0.700261925298720555588261049706,0.113590939974412316604279737930,260,1411,3185
1603,1603_0,RUNNING,SOBOL,,,2294,0.193350123507902038610950512521,0.892558639250695673439395250170,3573,1769,886
1604,1604_0,RUNNING,SOBOL,,,1839,0.584816180752590342173391491087,0.519131858192384276762254557980,2513,2208,1706
1605,1605_0,RUNNING,SOBOL,,,4377,0.093710847020149229402719015525,0.487263276910409326436735000243,1153,971,4242
1606,1606_0,RUNNING,SOBOL,,,2798,0.853597173579037193924534676626,0.778071396538987714031065934250,3765,233,3048
1607,1607_0,RUNNING,SOBOL,,,958,0.346902378374710662622959489454,0.246723301302641639942692108889,2405,3385,358
1608,1608_0,RUNNING,SOBOL,,,833,0.665137064805254363264452877047,0.842622136756777773136661835451,856,553,1090
1609,1609_0,RUNNING,SOBOL,,,2903,0.158241920795291673984550584464,0.186919985873624683314631056419,2823,2818,3625
1610,1610_0,RUNNING,SOBOL,,,4913,0.894449579004198302989436797361,0.579422495039179974440912701539,2105,2080,4933
1611,1611_0,RUNNING,SOBOL,,,1362,0.403144851950928584383149200221,0.422225245017558314941652497509,4071,1729,2244
1612,1612_0,RUNNING,SOBOL,,,2167,0.763898236813023712166170753335,0.049101125854998831088416011426,4496,1290,172
1613,1613_0,RUNNING,SOBOL,,,4079,0.257212477818131446394289696400,0.952301058324053872894410233130,1827,2518,2629
1614,1614_0,RUNNING,SOBOL,,,3750,0.549751822523772748496639906080,0.312552333338186161260097151171,3247,3257,3820
1615,1615_0,COMPLETED,SOBOL,0.869999999999999995559107901499,2127.000000000000000000000000000000,36,0.058664102056995036382769370675,0.717231538102030774517459121853,578,113,1521
1616,1616_0,FAILED,SOBOL,,,86,0.785151369800791143482854295144,0.912940765114501062704732703423,2426,2374,2339
1617,1617_0,FAILED,SOBOL,,,3641,0.294061743941158082460418654591,0.070188920933753257136444858588,3899,1037,4881
1618,1618_0,FAILED,SOBOL,,,4166,0.524720174673944717014251182263,0.664965701207518522508621572342,1175,409,3691
1619,1619_0,FAILED,SOBOL,,,2100,0.018040128139778972143902890934,0.320718523664399957073811719965,2648,3441,990
1620,1620_0,RUNNING,SOBOL,,,1255,0.627799664916470656628177948733,0.197277262730523955669426072745,3472,3002,1420
1621,1621_0,RUNNING,SOBOL,,,4963,0.136500646606087683299080026700,0.788648710951209030994846216345,205,848,3886
1622,1622_0,RUNNING,SOBOL,,,2836,0.935561686687171434329002295271,0.445016583997756232093934158911,4724,1477,2578
1623,1623_0,RUNNING,SOBOL,,,920,0.428664641002193091967598093106,0.537867546172812627247594718938,1455,1935,267
1624,1624_0,RUNNING,SOBOL,,,1027,0.622160718893632336268240123900,0.380401112472638469608199329741,522,1129,787
1625,1625_0,RUNNING,SOBOL,,,2710,0.115460211228579287534579123076,0.597484318993985685786185513280,3147,2474,3251
1626,1626_0,RUNNING,SOBOL,,,4485,0.812477927643805775126395474217,0.137173168491572156080238187315,1771,3103,4443
1627,1627_0,RUNNING,SOBOL,,,1791,0.321374499304220073714333238968,0.853751474151387856892370109563,4396,64,2133
1628,1628_0,RUNNING,SOBOL,,,2205,0.962826790498569562437580771075,0.729642072806134800444510801753,4205,503,454
1629,1629_0,RUNNING,SOBOL,,,4041,0.455916890382766726297347759100,0.261040821027010705446258498341,2128,2664,2997
1630,1630_0,RUNNING,SOBOL,,,3164,0.725301663167774668394827131124,0.973105755709111730489269120881,2956,2035,4307
1631,1631_0,RUNNING,SOBOL,,,621,0.233981235677376386838943744806,0.005025231635197997294428606807,879,1569,1604
1632,1632_0,RUNNING,SOBOL,,,421,0.704859050840139333971023916092,0.577146099887788310844882744277,4914,3298,2845
