trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.001000000000000000020816681712,703
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.998999999999999999111821580300,5000
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.998999999999999999111821580300,701
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.998999999999999999111821580300,943
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,652.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,1
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.001000000000000000020816681712,5000
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.001000000000000000020816681712,4696
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.001000000000000000020816681712,999
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.001000000000000000020816681712,1
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.998999999999999999111821580300,1
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,4392
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,4583
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.001000000000000000020816681712,4547
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,1723
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,710
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.001000000000000000020816681712,694
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.998999999999999999111821580300,5000
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.998999999999999999111821580300,2671
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,3208
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,2855,71,0.001000000000000000020816681712,3021
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,42,0.998999999999999999111821580300,862
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,5000
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,4205,71,0.001000000000000000020816681712,1562
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,2659
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.998999999999999999111821580300,4660
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.001000000000000000020816681712,2082
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.998999999999999999111821580300,3028
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.001000000000000000020816681712,4310
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,1061
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,3929,71,0.998999999999999999111821580300,519
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1366,0,0.001000000000000000020816681712,1168
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.998999999999999999111821580300,3200
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,2430,0,0.001000000000000000020816681712,5000
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,2091,71,0.998999999999999999111821580300,5000
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,27.000000000000000000000000000000,3863,0,0.001000000000000000020816681712,511
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1059,71,0.998999999999999999111821580300,1166
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,2474,0,0.001000000000000000020816681712,1986
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.998999999999999999111821580300,3039
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,0,0.001000000000000000020816681712,3302
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,0,0.998999999999999999111821580300,3937
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,293
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,990,0,0.001000000000000000020816681712,4391
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,2873,71,0.001000000000000000020816681712,5000
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1512,71,0.001000000000000000020816681712,2649
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1784,71,0.998999999999999999111821580300,1912
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,1,71,0.001000000000000000020816681712,3499
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,3018,0,0.998999999999999999111821580300,4899
