start_time,end_time,run_time,program_string,n_samples,threshold,outlier_detector_kwargs,result,exit_code,signal,hostname
1727347874,1727347877,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 896 threshold 0.671563713811338 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",896,0.671563713811338,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347894,1727347897,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 353 threshold 0.7692478187382221 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",353,0.7692478187382221,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347894,1727347897,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 161 threshold 0.22777413967996837 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",161,0.22777413967996837,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347894,1727347897,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 820 threshold 0.45858532153069975 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",820,0.45858532153069975,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347894,1727347897,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 767 threshold 0.4607141232118011 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",767,0.4607141232118011,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347894,1727347898,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 976 threshold 0.6263395765796305 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",976,0.6263395765796305,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347902,1727347906,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 736 threshold 0.32252828720957044 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",736,0.32252828720957044,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347902,1727347906,4,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 614 threshold 0.23144205771386625 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",614,0.23144205771386625,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347914,1727347917,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 480 threshold 0.361755183339119 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",480,0.361755183339119,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347914,1727347917,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 842 threshold 0.2617489034309983 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",842,0.2617489034309983,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
