start_time,end_time,run_time,program_string,n_samples,n_permutations,update_interval,n_consecutive_deviations,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727666322,1727667266,944,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 31 update_interval 50 n_consecutive_deviations 4,315,31,50,4,0.2502568740955138,0,None,i7186,937,1.453484879913057e-05
1727666477,1727667286,809,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 10 update_interval 50 n_consecutive_deviations 5,315,10,50,5,0.24995658465991322,0,None,i7181,802,1.5638402785823803e-05
1727666477,1727667290,813,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 33 update_interval 50 n_consecutive_deviations 4,316,33,50,4,0.25088880849011097,0,None,i7181,807,1.4543788205785015e-05
1727666453,1727667395,942,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 293 n_permutations 50 update_interval 52 n_consecutive_deviations 3,293,50,52,3,0.2578424987940183,0,None,i7186,935,1.267526592594068e-05
1727666618,1727667460,842,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 10 update_interval 50 n_consecutive_deviations 4,315,10,50,4,0.2502629040038591,0,None,i7181,835,1.454150814727754e-05
1727666658,1727667513,855,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 10 update_interval 50 n_consecutive_deviations 5,316,10,50,5,0.2506307284129281,0,None,i7181,848,1.5683734708295584e-05
1727666698,1727667540,842,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 33 update_interval 50 n_consecutive_deviations 4,316,33,50,4,0.2508948383984564,0,None,i7181,835,1.4543549293453092e-05
1727666578,1727667617,1039,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 754 n_permutations 12 update_interval 245 n_consecutive_deviations 2,754,12,245,2,0.28420284611673907,0,None,i7181,1033,5.274283073628001e-05
1727666497,1727667674,1177,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 798 n_permutations 50 update_interval 149 n_consecutive_deviations 1,798,50,149,1,0.2737168355041003,0,None,i7186,1169,2.84145805622632e-05
1727666756,1727667677,921,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 32 update_interval 50 n_consecutive_deviations 4,316,32,50,4,0.25089725036179455,0,None,i7186,914,1.4543453728520323e-05
1727666598,1727667679,1081,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 770 n_permutations 24 update_interval 220 n_consecutive_deviations 1,770,24,220,1,0.2805185721177038,0,None,i7181,1074,4.3462249729290976e-05
1727666877,1727667984,1107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 770 n_permutations 24 update_interval 220 n_consecutive_deviations 1,770,24,220,1,0.28047877472262417,0,None,i7186,1100,4.346177775831227e-05
