trial_index,arm_name,trial_status,generation_method,result,n_samples,n_windows,disjoint_training_windows
132,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
133,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
134,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
135,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
136,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
137,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
138,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
139,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
140,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
141,141_0,COMPLETED,BoTorch,0.328986975397973946400043132599,794,25,True
142,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
143,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
144,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
145,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
146,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
147,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
148,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
149,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
150,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
151,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
152,152_0,COMPLETED,BoTorch,0.328986975397973946400043132599,812,25,True
153,153_0,COMPLETED,BoTorch,0.328986975397973946400043132599,880,165,True
154,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
155,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
156,156_0,COMPLETED,BoTorch,0.328986975397973946400043132599,682,95,True
157,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
158,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
159,159_0,COMPLETED,BoTorch,0.328986975397973946400043132599,685,103,True
160,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
161,161_0,COMPLETED,BoTorch,0.328986975397973946400043132599,712,88,True
162,162_0,COMPLETED,BoTorch,0.328986975397973946400043132599,829,64,True
163,163_0,COMPLETED,BoTorch,0.328986975397973946400043132599,819,25,True
164,164_0,COMPLETED,BoTorch,0.328986975397973946400043132599,800,114,True
165,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
166,166_0,COMPLETED,BoTorch,0.328986975397973946400043132599,674,110,True
167,167_0,COMPLETED,BoTorch,0.328986975397973946400043132599,773,25,True
168,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
169,169_0,COMPLETED,BoTorch,0.321876507477086293285140072840,928,250,False
170,170_0,COMPLETED,BoTorch,0.328986975397973946400043132599,708,91,True
171,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
172,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
173,173_0,COMPLETED,BoTorch,0.328986975397973946400043132599,696,100,True
174,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
175,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
176,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
177,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
178,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
179,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
180,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
181,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
182,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
183,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
184,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
185,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
186,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
187,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
188,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
189,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
190,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
191,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
192,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
193,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
194,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
195,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
196,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
197,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
198,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
199,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
200,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
201,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
202,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
203,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
204,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
205,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
206,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
207,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
208,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
209,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
210,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
211,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
212,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
213,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
214,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
215,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
216,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
217,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
218,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
219,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
220,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
221,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
222,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
223,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
224,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
225,225_0,COMPLETED,BoTorch,0.267549445248432271604599463899,121,78,False
226,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
227,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
228,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
229,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
230,36_0,RUNNING,BoTorch,,100,25,False
231,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
232,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
233,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
234,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
235,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
236,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
237,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
238,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
239,239_0,COMPLETED,BoTorch,0.303071635311143228186381293199,571,90,False
240,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
241,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
242,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
243,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
244,244_0,COMPLETED,BoTorch,0.306473709599614063670003361040,568,93,False
245,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
246,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
247,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
248,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
249,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
250,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
251,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
252,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
253,253_0,COMPLETED,BoTorch,0.310180897250361797823359211179,633,99,False
254,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
255,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
256,256_0,COMPLETED,BoTorch,0.321927158707187688335693565023,1000,155,False
257,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
258,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
259,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
260,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
261,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
262,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
263,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
264,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
265,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
266,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
267,267_0,COMPLETED,BoTorch,0.328986975397973946400043132599,232,185,True
268,268_0,COMPLETED,BoTorch,0.328986975397973946400043132599,1000,136,True
269,269_0,COMPLETED,BoTorch,0.327807525325615078948260361358,1000,186,False
270,270_0,COMPLETED,BoTorch,0.317878678244090662197152141744,865,146,False
271,271_0,COMPLETED,BoTorch,0.328986975397973946400043132599,114,193,True
272,272_0,COMPLETED,BoTorch,0.328986975397973946400043132599,264,184,True
273,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
274,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
275,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
276,276_0,COMPLETED,BoTorch,0.328986975397973946400043132599,188,190,True
277,277_0,COMPLETED,BoTorch,0.319558610709117174586424425797,862,202,False
