start_time,end_time,run_time,program_string,n_samples,n_windows,disjoint_training_windows,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727410987,1727410999,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 592 n_windows 119 disjoint_training_windows True,592,119,True,0.2645115100782024,0,None,i7186,8,0
1727411008,1727411020,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 354 n_windows 90 disjoint_training_windows True,354,90,True,0.2645115100782024,0,None,i7186,8,0
1727411028,1727411041,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 25 disjoint_training_windows False,100,25,False,0.2805925762749202,0,None,i7186,9,0.0003359400815067734
1727411047,1727411060,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 312 n_windows 84 disjoint_training_windows True,312,84,True,0.2645115100782024,0,None,i7186,8,0
1727411068,1727411080,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 563 n_windows 131 disjoint_training_windows True,563,131,True,0.2645115100782024,0,None,i7186,9,0
1727411088,1727411100,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 336 n_windows 88 disjoint_training_windows True,336,88,True,0.2645115100782024,0,None,i7186,8,0
1727411108,1727411122,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 186 n_windows 64 disjoint_training_windows True,186,64,True,0.2645115100782024,0,None,i7186,10,0
1727411128,1727411140,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 589 n_windows 136 disjoint_training_windows True,589,136,True,0.2645115100782024,0,None,i7186,8,0
1727411148,1727411161,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 198 n_windows 74 disjoint_training_windows True,198,74,True,0.2645115100782024,0,None,i7186,9,0
1727411168,1727411181,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 618 n_windows 142 disjoint_training_windows True,618,142,True,0.2645115100782024,0,None,i7186,9,0
1727411188,1727411203,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 35 disjoint_training_windows True,100,35,True,0.2778940411939641,0,None,i7186,11,0.056669236700077064
1727411208,1727411221,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 572 n_windows 135 disjoint_training_windows True,572,135,True,0.2645115100782024,0,None,i7186,9,0
1727411228,1727411243,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 34 disjoint_training_windows True,100,34,True,0.27965634981826193,0,None,i7186,11,0.05490692807577924
1727411248,1727411263,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 25 disjoint_training_windows True,100,25,True,0.27965634981826193,0,None,i7186,11,0.05490692807577924
1727411268,1727411284,16,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 569 n_windows 139 disjoint_training_windows True,569,139,True,0.2645115100782024,0,None,i7186,8,0
1727411289,1727411303,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 70 disjoint_training_windows True,100,70,True,0.2645115100782024,0,None,i7186,10,0
1727411308,1727411321,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 594 n_windows 139 disjoint_training_windows True,594,139,True,0.2645115100782024,0,None,i7186,8,0
1727411329,1727411342,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 607 n_windows 161 disjoint_training_windows True,607,161,True,0.2645115100782024,0,None,i7186,9,0
1727411348,1727411361,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 612 n_windows 168 disjoint_training_windows True,612,168,True,0.2645115100782024,0,None,i7186,9,0
1727411368,1727411381,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 592 n_windows 160 disjoint_training_windows True,592,160,True,0.2645115100782024,0,None,i7186,8,0
1727411389,1727411402,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 25 disjoint_training_windows False,100,25,False,0.2805925762749202,0,None,i7186,9,0.0003359400815067734
