start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745502204,1745502223,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3104 feature_id 8 batch_size 330 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.661967156832396 subsets 52,3104,8,330,str\(\'KL\'\),3,str\(\'tstat\'\),0.661967156832396,52,0.29,6.0,0,,i7183,6.0,789.83203125,789.6041666666666,-1.0,0.2216624685138539,4690130
1745502447,1745502466,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2619 feature_id 8 batch_size 1550 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.6739880416033761 subsets 48,2619,8,1550,str\(\'H\'\),2,str\(\'tstat\'\),0.6739880416033761,48,0.29,7.0,0,,i7182,7.0,791.6875,791.3802083333334,-1.0,0.2602854743912678,4690264
1745502724,1745502744,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2283 feature_id 8 batch_size 368 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.70875426107963 subsets 14,2283,8,368,str\(\'H\'\),3,str\(\'stdev\'\),0.70875426107963,14,0.29,6.0,0,,i7182,6.0,791.03125,790.8828125,-1.0,0.2471872376154492,4690409
1745503009,1745503036,27,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2011 feature_id 8 batch_size 1387 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.6684326022732954 subsets 66,2011,8,1387,str\(\'KL\'\),1,str\(\'tstat\'\),0.6684326022732954,66,0.29,13.0,0,,i7182,13.0,793.19140625,793.04296875,-1.0,0.3493702770780856,4690539
1745503296,1745503322,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3626 feature_id 0 batch_size 581 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.6853239063305409 subsets 33,3626,0,581,str\(\'KL\'\),3,str\(\'tstat\'\),0.6853239063305409,33,0.17,8.0,0,,i7181,8.0,791.8046875,791.5794270833334,-1.0,0.1463476070528967,4690692
1745503544,1745503564,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 942 feature_id 0 batch_size 404 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.6964721073061438 subsets 24,942,0,404,str\(\'KL\'\),3,str\(\'tstat\'\),0.6964721073061438,24,0.17,9.0,0,,i7181,9.0,791.05078125,790.84765625,-1.0,0.2052896725440806,4690837
1745503885,1745503911,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1942 feature_id 8 batch_size 2111 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.6690355566071332 subsets 66,1942,8,2111,str\(\'H\'\),1,str\(\'tstat\'\),0.6690355566071332,66,0.29,11.0,0,,i7183,11.0,793.21484375,793.052734375,-1.0,0.1866498740554156,4691012
1745504579,1745504605,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2430 feature_id 3 batch_size 477 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.6838680274773797 subsets 54,2430,3,477,str\(\'H\'\),1,str\(\'stdev\'\),0.6838680274773797,54,0.17,14.0,0,,i7180,14.0,791.7265625,790.3896484375,-1.0,0.2403022670025189,4691399
1745504824,1745504844,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2483 feature_id 0 batch_size 1053 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.6182754368868908 subsets 1,2483,0,1053,str\(\'KL\'\),3,str\(\'tstat\'\),0.6182754368868908,1,0.17,9.0,0,,i7180,9.0,791.83203125,791.5885416666666,-1.0,0.2742233417296389,4691540
1745505568,1745505588,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 756 feature_id 8 batch_size 892 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.7895107196007681 subsets 14,756,8,892,str\(\'KL\'\),3,str\(\'stdev\'\),0.7895107196007681,14,0.29,6.0,0,,i7180,6.0,791.86328125,791.671875,-1.0,0.1497900923593619,4691930
