start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744286339,1744287854,1515,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4704 n_samples 3112 n_clusters 1 threshold 0.6847420236784965,4704,3112,1,0.6847420236784965,0.88,1501.0,0,,i7127,1501.0,725.6015625,634.1011770148026,-1.0,0.9937355008033114,4211848
1744286247,1744288001,1754,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1647 n_samples 238 n_clusters 4 threshold 0.042664155760779976,1647,238,4,0.0426641557607799,0.92,1741.0,0,,i7139,1741.0,686.15234375,634.5500932173295,-1.0,0.9998585591651848,4211814
1744286518,1744288321,1803,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2080 n_samples 2843 n_clusters 5 threshold 0.9247232042588294,2080,2843,5,0.9247232042588294,0.67,1792.0,0,,i7124,1792.0,557.78515625,538.2670709599447,-1.0,0.6889740220333389,4211908
1744286368,1744288494,2126,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2939 n_samples 547 n_clusters 9 threshold 0.1575607651565224,2939,547,9,0.1575607651565224,0.92,2113.0,0,,i7125,2113.0,810.71875,682.2940507629108,-1.0,0.9993411516668864,4211860
1744286459,1744288517,2058,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3748 n_samples 1151 n_clusters 4 threshold 0.7357244418542832,3748,1151,4,0.7357244418542832,0.92,2046.0,0,,i7121,2046.0,802.30859375,688.3719051932367,-1.0,0.998826161960636,4211891
1744286610,1744288863,2253,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2796 n_samples 1723 n_clusters 8 threshold 0.9464975346904247,2796,1723,8,0.9464975346904247,0.85,2240.0,0,,i7126,2240.0,692.796875,617.9983407079646,-1.0,0.9974806606858552,4211938
1744286428,1744289307,2879,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4212 n_samples 1383 n_clusters 5 threshold 0.5764867075532675,4212,1383,5,0.5764867075532675,0.91,2863.0,0,,i7125,2863.0,769.77734375,668.3755541738755,-1.0,0.9995369928227844,4211876
1744286278,1744289462,3184,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2537 n_samples 3267 n_clusters 3 threshold 0.35251304929703475,2537,3267,3,0.3525130492970347,0.76,3175.0,0,,i7130,3175.0,594.37109375,545.0204223632812,-1.0,0.6931350421481599,4211826
1744286489,1744289700,3211,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2983 n_samples 4443 n_clusters 2 threshold 0.5021060725487768,2983,4443,2,0.5021060725487768,0.78,3200.0,0,,i7122,3200.0,581.30859375,541.2925198951864,-1.0,0.6094371259222365,4211898
1744286368,1744289775,3407,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 40 n_samples 4643 n_clusters 4 threshold 0.7616174313742667,40,4643,4,0.7616174313742667,0.6,3397.0,0,,i7129,3397.0,529.26171875,521.0172925804094,-1.0,0.0079303579178458,4211855
