start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745773003,1745777417,4414,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 94 n_reference_samples 3969 n_recent_samples 39 threshold 0.6054168375171721 stability_offset 0.3,94,3969,39,0.6054168375171721,0.3,0.75,4391.0,0,,i7168,4391.0,801.8828125,758.1212974773242,-1.0,0.6426532325776658,4796009
1745811596,1745815377,3781,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4107 n_reference_samples 1483 n_recent_samples 53 threshold 0.29348036768473684 stability_offset 1e-07,4107,1483,53,0.2934803676847368,1e-07,0.68,3766.0,0,,i7173,3766.0,833.55078125,780.9572786114776,-1.0,0.9490344248530648,4812575
1745882560,1745884070,1510,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 450 n_reference_samples 4460 n_recent_samples 11 threshold 0.02598495364189148 stability_offset 1e-12,450,4460,11,0.0259849536418914,1e-12,0.52,1493.0,0,,i7174,1493.0,803.984375,699.5517064144736,-1.0,0.0,4828625
1745899748,1745905616,5868,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1126 n_reference_samples 1918 n_recent_samples 106 threshold 0.2750072251800448 stability_offset 0.01,1126,1918,106,0.2750072251800448,0.01,0.67,5848.0,0,,i7163,5848.0,795.390625,756.9274382453152,-1.0,0.848782535684299,4831807
1747437476,1747439528,2052,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2296 n_reference_samples 4014 n_recent_samples 7 threshold 0.6249593692142517 stability_offset 0.3,2296,4014,7,0.6249593692142517,0.3,0.76,2037.0,0,,i7049,2037.0,790.7265625,663.4874279429612,-1.0,0.8551637279596978,5087344
1747449585,1747463933,14348,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3554 n_reference_samples 602 n_recent_samples 288 threshold 0.832451948100701 stability_offset 0.8,3554,602,288,0.832451948100701,0.8,0.83,14323.0,0,,i7095,14323.0,791.19921875,707.8276997557572,-1.0,1.0,5087758
1747459114,1747469915,10801,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4714 n_reference_samples 2685 n_recent_samples 111 threshold 0.4524013652782887 stability_offset 0.6,4714,2685,111,0.4524013652782887,0.6,0.65,10784.0,0,,i7178,10784.0,801.29296875,739.6975622106481,-1.0,0.9887489504617968,5088661
1747497766,1747500420,2654,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3763 n_reference_samples 1940 n_recent_samples 44 threshold 0.23673364350758494 stability_offset 1e-09,3763,1940,44,0.2367336435075849,1e-09,0.56,2628.0,0,,i7154,2628.0,794.8828125,729.4643573113208,-1.0,0.5960537363560033,5092212
1747495071,1747505877,10806,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 961 n_reference_samples 1773 n_recent_samples 221 threshold 0.026352634048089386 stability_offset 0.1,961,1773,221,0.0263526340480893,0.1,0.55,10786.0,0,,i7108,10786.0,800.54296875,736.6374855324074,-1.0,0.080688497061293,5091889
1747548984,1747560084,11100,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1338 n_reference_samples 767 n_recent_samples 152 threshold 0.9356492446009069 stability_offset 1e-05,1338,767,152,0.9356492446009068,1e-05,0.83,11078.0,0,,i7147,11078.0,793.140625,701.6381946009919,-1.0,1.0,5096114
1745474897,1745474923,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 111 n_reference_samples 1150 n_recent_samples 2826 threshold 0.6957464500237256 stability_offset 1e-10,111,1150,2826,0.6957464500237256,1e-10,,,-9,,i7176,,,,,,4678406
1745528993,1745529014,21,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1458 n_reference_samples 1526 n_recent_samples 2171 threshold 0.14922568266652525 stability_offset 1e-09,1458,1526,2171,0.1492256826665252,1e-09,,,-9,,i7185,,,,,,4703916
1745557740,1745557769,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4362 n_reference_samples 3089 n_recent_samples 382 threshold 0.14156549311429262 stability_offset 0.01,4362,3089,382,0.1415654931142926,0.01,,,-9,,i7182,,,,,,4717656
