start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1748006749,1748006762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3964 window_size 107 ev_threshold 0.5732497248593718 delta 0.7537603041343391 divergence_metric str\(\'kl\'\) sample_period 0.03816145180724562 online_scaling True,3964,107,0.5732497248593718,0.7537603041343391,str\(\'kl\'\),0.0381614518072456,True,,,1,,i7028,5184424
1748006780,1748006792,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3721 window_size 1808 ev_threshold 0.2825738367065787 delta 0.4922755791898817 divergence_metric str\(\'kl\'\) sample_period 0.04836118835955859 online_scaling True,3721,1808,0.2825738367065787,0.4922755791898817,str\(\'kl\'\),0.0483611883595585,True,,,1,,i7028,5184425
1748006630,1748006813,183,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1010 window_size 2518 ev_threshold 0.261878182630986 delta 0.2147849798537791 divergence_metric str\(\'kl\'\) sample_period 0.04144203424453736 online_scaling True,1010,2518,0.261878182630986,0.2147849798537791,str\(\'kl\'\),0.0414420342445373,True,,,1,,i7182,5184419
1748006811,1748006824,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 429 window_size 3239 ev_threshold 0.6683497077319771 delta 0.7103992975130677 divergence_metric str\(\'intersection\'\) sample_period 0.07614448465406895 online_scaling False,429,3239,0.6683497077319771,0.7103992975130677,str\(\'intersection\'\),0.0761444846540689,False,,,1,,i7028,5184426
1748006840,1748006853,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4425 window_size 4066 ev_threshold 0.8598574951663613 delta 0.8779734248425811 divergence_metric str\(\'kl\'\) sample_period 0.014173177173361182 online_scaling False,4425,4066,0.8598574951663613,0.8779734248425811,str\(\'kl\'\),0.0141731771733611,False,,,1,,i7028,5184429
1748006841,1748006854,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1202 window_size 2200 ev_threshold 0.8963604575321078 delta 0.5783817490134389 divergence_metric str\(\'intersection\'\) sample_period 0.09151946730911732 online_scaling True,1202,2200,0.8963604575321078,0.5783817490134389,str\(\'intersection\'\),0.0915194673091173,True,,,1,,i7182,5184427
1748006841,1748006873,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2948 window_size 2692 ev_threshold 0.02729594478942454 delta 0.37487694638594987 divergence_metric str\(\'kl\'\) sample_period 0.02928319621831179 online_scaling False,2948,2692,0.0272959447894245,0.3748769463859498,str\(\'kl\'\),0.0292831962183117,False,,,1,,i7131,5184428
1748006870,1748006883,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1444 window_size 812 ev_threshold 0.24799914213456214 delta 0.16875651618093251 divergence_metric str\(\'intersection\'\) sample_period 0.08695907252840698 online_scaling True,1444,812,0.2479991421345621,0.1687565161809325,str\(\'intersection\'\),0.0869590725284069,True,,,1,,i7028,5184431
1748006871,1748006884,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4907 window_size 2058 ev_threshold 0.14501270012557507 delta 0.6289306903146208 divergence_metric str\(\'intersection\'\) sample_period 0.024922325853258376 online_scaling True,4907,2058,0.145012700125575,0.6289306903146208,str\(\'intersection\'\),0.0249223258532583,True,,,1,,i7182,5184430
1748006901,1748006914,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1570 window_size 2816 ev_threshold 0.7802883332092315 delta 0.4178600485417992 divergence_metric str\(\'kl\'\) sample_period 0.0983454061113298 online_scaling False,1570,2816,0.7802883332092315,0.4178600485417992,str\(\'kl\'\),0.0983454061113298,False,,,1,,i7182,5184432
1748026225,1748026238,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2348 window_size 1356 ev_threshold 0.5365662548691035 delta 0.2935857879593968 divergence_metric str\(\'kl\'\) sample_period 0.06644699668511748 online_scaling True,2348,1356,0.5365662548691035,0.2935857879593968,str\(\'kl\'\),0.0664469966851174,True,,,1,,i7118,5186752
1748026256,1748026269,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 708 window_size 3945 ev_threshold 0.11438783568143844 delta 0.8352213566824794 divergence_metric str\(\'kl\'\) sample_period 0.07971426856704057 online_scaling False,708,3945,0.1143878356814384,0.8352213566824794,str\(\'kl\'\),0.0797142685670405,False,,,1,,i7118,5186753
1748026286,1748026299,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 655 window_size 1461 ev_threshold 0.49721183119900525 delta 0.6942975102923811 divergence_metric str\(\'intersection\'\) sample_period 0.09864547262899578 online_scaling True,655,1461,0.4972118311990052,0.6942975102923811,str\(\'intersection\'\),0.0986454726289957,True,,,1,,i7118,5186755
1748026286,1748026323,37,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1492 window_size 3325 ev_threshold 0.3636583371534944 delta 0.3095242839418352 divergence_metric str\(\'kl\'\) sample_period 0.08894523640163243 online_scaling False,1492,3325,0.3636583371534944,0.3095242839418352,str\(\'kl\'\),0.0889452364016324,False,,,1,,i7179,5186754
1748026316,1748026329,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3266 window_size 4491 ev_threshold 0.6891386860907078 delta 0.2500552292577922 divergence_metric str\(\'intersection\'\) sample_period 0.03696186752058566 online_scaling False,3266,4491,0.6891386860907078,0.2500552292577922,str\(\'intersection\'\),0.0369618675205856,False,,,1,,i7118,5186756
1748026346,1748026359,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2452 window_size 3869 ev_threshold 0.9180501624960452 delta 0.18481642193719744 divergence_metric str\(\'intersection\'\) sample_period 0.0644574823975563 online_scaling False,2452,3869,0.9180501624960452,0.1848164219371974,str\(\'intersection\'\),0.0644574823975563,False,,,1,,i7118,5186757
1748026376,1748026389,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4516 window_size 1630 ev_threshold 0.7420063808206468 delta 0.5189959516320377 divergence_metric str\(\'intersection\'\) sample_period 0.02747800760902465 online_scaling True,4516,1630,0.7420063808206468,0.5189959516320377,str\(\'intersection\'\),0.0274780076090246,True,,,1,,i7118,5186758
1748026407,1748026420,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2714 window_size 3515 ev_threshold 0.6105847927331924 delta 0.4772547687385231 divergence_metric str\(\'kl\'\) sample_period 0.025859600072726606 online_scaling False,2714,3515,0.6105847927331924,0.4772547687385231,str\(\'kl\'\),0.0258596000727266,False,,,1,,i7118,5186759
1748026437,1748026449,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2800 window_size 951 ev_threshold 0.9912149653900415 delta 0.11797654088400304 divergence_metric str\(\'intersection\'\) sample_period 0.018247062573209405 online_scaling True,2800,951,0.9912149653900416,0.117976540884003,str\(\'intersection\'\),0.0182470625732094,True,,,1,,i7118,5186760
1748026467,1748026479,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 242 window_size 562 ev_threshold 0.32678009511716666 delta 0.9526806832198054 divergence_metric str\(\'kl\'\) sample_period 0.06538239163346588 online_scaling True,242,562,0.3267800951171666,0.9526806832198054,str\(\'kl\'\),0.0653823916334658,True,,,1,,i7118,5186761
1748026497,1748026510,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3175 window_size 2006 ev_threshold 0.8229794910717756 delta 0.35882078821212054 divergence_metric str\(\'kl\'\) sample_period 0.051782037084922204 online_scaling True,3175,2006,0.8229794910717756,0.3588207882121205,str\(\'kl\'\),0.0517820370849222,True,,,1,,i7118,5186762
1748026527,1748026540,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4129 window_size 3673 ev_threshold 0.4160019800681621 delta 0.5036820452865213 divergence_metric str\(\'intersection\'\) sample_period 0.04997684830799699 online_scaling False,4129,3673,0.4160019800681621,0.5036820452865213,str\(\'intersection\'\),0.0499768483079969,False,,,1,,i7118,5186763
1748026557,1748026570,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 194 window_size 3126 ev_threshold 0.1951312094628811 delta 0.5631933569367975 divergence_metric str\(\'intersection\'\) sample_period 0.06902122776024044 online_scaling False,194,3126,0.1951312094628811,0.5631933569367975,str\(\'intersection\'\),0.0690212277602404,False,,,1,,i7118,5186764
1748026587,1748026600,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4971 window_size 4571 ev_threshold 0.27653880784101786 delta 0.7698659579083323 divergence_metric str\(\'kl\'\) sample_period 0.015663213096559048 online_scaling False,4971,4571,0.2765388078410178,0.7698659579083323,str\(\'kl\'\),0.015663213096559,False,,,1,,i7118,5186765
1748026618,1748026630,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4198 window_size 1237 ev_threshold 0.032813457801938055 delta 0.8931655645016581 divergence_metric str\(\'kl\'\) sample_period 0.036674165986478324 online_scaling True,4198,1237,0.032813457801938,0.8931655645016581,str\(\'kl\'\),0.0366741659864783,True,,,1,,i7118,5186766
1748026648,1748026661,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1679 window_size 379 ev_threshold 0.6470557073205709 delta 0.058593241890892385 divergence_metric str\(\'intersection\'\) sample_period 0.07789946138858796 online_scaling True,1679,379,0.6470557073205709,0.0585932418908923,str\(\'intersection\'\),0.0778994613885879,True,,,1,,i7118,5186767
1748026678,1748026691,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3657 window_size 4371 ev_threshold 0.1663064625952393 delta 0.10307761608995497 divergence_metric str\(\'intersection\'\) sample_period 0.04074530111625791 online_scaling False,3657,4371,0.1663064625952393,0.1030776160899549,str\(\'intersection\'\),0.0407453011162579,False,,,1,,i7118,5186768
1748026708,1748026721,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 320 window_size 756 ev_threshold 0.7863236000165343 delta 0.8189973268918693 divergence_metric str\(\'kl\'\) sample_period 0.057215429376810796 online_scaling True,320,756,0.7863236000165343,0.8189973268918693,str\(\'kl\'\),0.0572154293768107,True,,,1,,i7118,5186769
