start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747409250,1747411050,1800,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3839 significance 0.1673944168202579 gamma 0.12340494471415878 max_node_size 4187 max_tree_depth 2605 max_time_stationary 2264,3839,0.1673944168202579,0.1234049447141587,4187,2605,2264,,,1,,i7145,5082007
1747409230,1747411075,1845,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1285 significance 0.40139468633942305 gamma 0.9962281274199486 max_node_size 317 max_tree_depth 466 max_time_stationary 3776,1285,0.401394686339423,0.9962281274199486,317,466,3776,,,1,,i7146,5081999
1747409271,1747411114,1843,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4047 significance 0.947378184961155 gamma 0.5809605253636837 max_node_size 1077 max_tree_depth 1310 max_time_stationary 4540,4047,0.947378184961155,0.5809605253636837,1077,1310,4540,,,1,,i7155,5082023
1747409251,1747411114,1863,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4470 significance 0.4907309859488159 gamma 0.5521465732436627 max_node_size 2652 max_tree_depth 548 max_time_stationary 542,4470,0.4907309859488159,0.5521465732436627,2652,548,542,,,1,,i7144,5082013
1747409254,1747411120,1866,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4834 significance 0.13332428328879178 gamma 0.5710357234235853 max_node_size 2135 max_tree_depth 4542 max_time_stationary 1701,4834,0.1333242832887917,0.5710357234235853,2135,4542,1701,,,1,,i7145,5082009
1747409250,1747411231,1981,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4170 significance 0.6169559366162867 gamma 0.8076149607617408 max_node_size 3676 max_tree_depth 1249 max_time_stationary 1616,4170,0.6169559366162867,0.8076149607617408,3676,1249,1616,,,1,,i7145,5082010
1747409267,1747411233,1966,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3733 significance 0.8183522138502449 gamma 0.9083112590480595 max_node_size 2984 max_tree_depth 2764 max_time_stationary 3469,3733,0.8183522138502449,0.9083112590480596,2984,2764,3469,,,1,,i7186,5082021
1747409232,1747411442,2210,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1948 significance 0.8480206919107586 gamma 0.6387753365598619 max_node_size 3777 max_tree_depth 3763 max_time_stationary 3846,1948,0.8480206919107586,0.6387753365598619,3777,3763,3846,,,1,,i7151,5081995
1747409245,1747411493,2248,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4789 significance 0.7853449010178447 gamma 0.3632817125543952 max_node_size 4643 max_tree_depth 3256 max_time_stationary 1150,4789,0.7853449010178447,0.3632817125543952,4643,3256,1150,,,1,,i7180,5082003
1747409252,1747411728,2476,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4678 significance 0.6479557201005518 gamma 0.027347079956904056 max_node_size 2007 max_tree_depth 4264 max_time_stationary 2501,4678,0.6479557201005518,0.027347079956904,2007,4264,2501,,,1,,i7143,5082018
