start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_windows,disjoint_training_windows,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744531720,1744531733,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 3259 n_windows 321 disjoint_training_windows True,1,3259,321,True,0.71,2,0,,i7173,2,482.1953125,482.1080729166667,-1,0.0,4313120
1744531721,1744531734,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1358 n_samples 3303 n_windows 712 disjoint_training_windows True,1358,3303,712,True,0.71,2,0,,i7154,2,482.5703125,482.4791666666667,-1,0.0,4313127
1744531723,1744531743,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 2745 n_windows 319 disjoint_training_windows True,1,2745,319,True,0.71,2,0,,i7161,2,483.4296875,483.3645833333333,-1,0.0,4313124
1744531739,1744531752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1532 n_samples 628 n_windows 3974 disjoint_training_windows True,1532,628,3974,True,0.71,2,0,,i7186,2,480.9453125,480.87109375,-1,0.0,4313131
1744531751,1744531764,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1975 n_samples 3442 n_windows 1573 disjoint_training_windows True,1975,3442,1573,True,0.71,2,0,,i7177,2,483.20703125,483.1315104166667,-1,0.0,4313134
1744531751,1744531764,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 1 n_windows 261 disjoint_training_windows False,5000,1,261,False,0.71,4,0,,i7162,4,484.015625,483.9375,-1,0.0,4313141
1744531751,1744531764,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3032 n_samples 1190 n_windows 2173 disjoint_training_windows True,3032,1190,2173,True,0.71,2,0,,i7169,2,482.43359375,482.34375,-1,0.0,4313138
1744539942,1744539954,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 4610 n_windows 1 disjoint_training_windows False,5000,4610,1,False,0.72,4,0,,i7120,4,481.65234375,481.2942708333333,-1,0.9581640192094568,4320354
1744539942,1744539954,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 3714 n_windows 5000 disjoint_training_windows True,5000,3714,5000,True,0.71,2,0,,i7120,2,481.6015625,481.5169270833333,-1,0.0,4320355
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 4693 n_windows 564 disjoint_training_windows True,5000,4693,564,True,0.71,2,0,,i7096,2,483.78125,483.48046875,-1,0.0,4320409
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 282 n_windows 5000 disjoint_training_windows True,5000,282,5000,True,0.71,2,0,,i7107,2,483.90625,483.8111979166667,-1,0.0,4320376
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 406 n_windows 348 disjoint_training_windows True,1,406,348,True,0.71,2,0,,i7119,2,483.71875,483.6497395833333,-1,0.0,4320358
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 4584 n_windows 3442 disjoint_training_windows True,5000,4584,3442,True,0.71,2,0,,i7119,2,483.30859375,483.03125,-1,0.0,4320357
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 406 n_windows 2185 disjoint_training_windows True,5000,406,2185,True,0.71,2,0,,i7101,2,483.3046875,483.2317708333333,-1,0.0,4320395
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 399 n_windows 3731 disjoint_training_windows True,5000,399,3731,True,0.71,2,0,,i7119,2,483.80078125,483.7083333333333,-1,0.0,4320356
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 1661 n_windows 529 disjoint_training_windows True,1,1661,529,True,0.71,2,0,,i7104,2,481.09375,481.0078125,-1,0.0,4320385
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 420 n_windows 1 disjoint_training_windows False,1,420,1,False,0.71,1,0,,i7100,1,483.171875,483.0872395833333,-1,0.0023550055411895,4320398
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 2321 n_windows 4060 disjoint_training_windows True,5000,2321,4060,True,0.71,2,0,,i7098,2,483.1796875,483.125,-1,0.0,4320406
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 4537 n_windows 1 disjoint_training_windows True,5000,4537,1,True,0.72,3,0,,i7116,3,484.0625,483.7434895833333,-1,0.8488640561507204,4320363
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 407 n_windows 1 disjoint_training_windows True,1,407,1,True,0.71,1,0,,i7098,1,482.23828125,482.1536458333333,-1,0.002424270410048,4320403
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 5000 n_samples 2621 n_windows 3655 disjoint_training_windows True,5000,2621,3655,True,0.71,2,0,,i7117,2,482.65234375,482.5013020833333,-1,0.0,4320361
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 3846 n_samples 2995 n_windows 1575 disjoint_training_windows True,3846,2995,1575,True,0.71,2,0,,i7112,2,483.62890625,483.5377604166667,-1,0.0,4320368
1744539942,1744539955,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 2123 n_samples 2585 n_windows 5000 disjoint_training_windows True,2123,2585,5000,True,0.71,2,0,,i7105,2,484.19140625,484.1171875,-1,0.0,4320383
1744539943,1744539955,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier UDetect recent_samples_size 1 n_samples 4544 n_windows 390 disjoint_training_windows True,1,4544,390,True,0.71,2,0,,i7105,2,483.1796875,482.9283854166667,-1,0.0,4320378
