start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1750031524,1750032086,562,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3476 significance 0.794984739838168 gamma 0.6542264321204275 max_node_size 1627 max_tree_depth 1252 max_time_stationary 812,3476,0.794984739838168,0.6542264321204275,1627,1252,812,,,1,,i7146,5451610,,,,,
1750031553,1750032097,544,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2249 significance 0.8763417839612812 gamma 0.2508247904777527 max_node_size 4593 max_tree_depth 2709 max_time_stationary 4934,2249,0.8763417839612812,0.2508247904777527,4593,2709,4934,,,1,,i7138,5451655,,,,,
1750031555,1750032125,570,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2990 significance 0.3887302761618048 gamma 0.8529181138724089 max_node_size 2199 max_tree_depth 1695 max_time_stationary 2284,2990,0.3887302761618048,0.8529181138724089,2199,1695,2284,,,1,,i7136,5451663,,,,,
1750031585,1750032467,882,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4603 significance 0.34907228158414366 gamma 0.8595883328653872 max_node_size 143 max_tree_depth 2530 max_time_stationary 3824,4603,0.3490722815841436,0.8595883328653872,143,2530,3824,,,1,,i7130,5451695,,,,,
1750031584,1750033785,2201,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 30 significance 0.8536090725250542 gamma 0.2765603443570435 max_node_size 3065 max_tree_depth 66 max_time_stationary 1479,30,0.8536090725250542,0.2765603443570435,3065,66,1479,0.87,2189.0,0,,i7178,5451689,2189.0,5499.95703125,1357.4864076640272,-1.0,0.99664147774979
1750040171,1750040664,493,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3816 significance 0.942823889862746 gamma 0.6294655136410147 max_node_size 714 max_tree_depth 2099 max_time_stationary 3100,3816,0.942823889862746,0.6294655136410147,714,2099,3100,,,1,,i7123,5454195,,,,,
1750040202,1750040696,494,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1774 significance 0.5900304760523141 gamma 0.8814706061258912 max_node_size 1403 max_tree_depth 1077 max_time_stationary 2101,1774,0.5900304760523141,0.8814706061258912,1403,1077,2101,,,1,,i7142,5454197,,,,,
1750040201,1750040702,501,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1381 significance 0.28167680842243137 gamma 0.4364464643280953 max_node_size 1002 max_tree_depth 2813 max_time_stationary 1869,1381,0.2816768084224313,0.4364464643280953,1002,2813,1869,,,1,,i7118,5454200,,,,,
1750040201,1750040707,506,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3370 significance 0.76514171663858 gamma 0.9566196581851691 max_node_size 3301 max_tree_depth 1538 max_time_stationary 4217,3370,0.76514171663858,0.9566196581851693,3301,1538,4217,,,1,,i7119,5454199,,,,,
1750040201,1750040713,512,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3455 significance 0.08244684110581875 gamma 0.481608847014606 max_node_size 4305 max_tree_depth 3329 max_time_stationary 4453,3455,0.0824468411058187,0.481608847014606,4305,3329,4453,,,1,,i7119,5454198,,,,,
1750040208,1750040727,519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1037 significance 0.6346822487730532 gamma 0.7097761745639145 max_node_size 3979 max_tree_depth 2293 max_time_stationary 684,1037,0.6346822487730532,0.7097761745639145,3979,2293,684,,,1,,i7117,5454201,,,,,
1750040261,1750040760,499,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2719 significance 0.9040659926459194 gamma 0.38610251076705754 max_node_size 1507 max_tree_depth 2493 max_time_stationary 2323,2719,0.9040659926459194,0.3861025107670575,1507,2493,2323,,,1,,i7115,5454208,,,,,
1750040234,1750040771,537,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2587 significance 0.42539363170973954 gamma 0.5318030738756061 max_node_size 2719 max_tree_depth 1095 max_time_stationary 2710,2587,0.4253936317097395,0.5318030738756061,2719,1095,2710,,,1,,i7115,5454206,,,,,
1750040238,1750040782,544,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 584 significance 0.04126088876090944 gamma 0.7837314654681832 max_node_size 4541 max_tree_depth 1857 max_time_stationary 2492,584,0.0412608887609094,0.7837314654681832,4541,1857,2492,,,1,,i7116,5454204,,,,,
1750040262,1750040786,524,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 364 significance 0.5045523534566164 gamma 0.13414315700531007 max_node_size 905 max_tree_depth 1334 max_time_stationary 2574,364,0.5045523534566164,0.13414315700531,905,1334,2574,,,1,,i7113,5454210,,,,,
1750040291,1750040797,506,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4072 significance 0.6638781401440501 gamma 0.7718836267348379 max_node_size 2933 max_tree_depth 3448 max_time_stationary 1697,4072,0.6638781401440501,0.7718836267348379,2933,3448,1697,,,1,,i7113,5454212,,,,,
1750040291,1750040829,538,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4855 significance 0.012064943481236698 gamma 0.7210734049528837 max_node_size 3554 max_tree_depth 3013 max_time_stationary 229,4855,0.0120649434812366,0.7210734049528837,3554,3013,229,,,1,,i7124,5454211,,,,,
1750040322,1750040833,511,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 747 significance 0.9719903526734561 gamma 0.81685518014431 max_node_size 2365 max_tree_depth 2665 max_time_stationary 4582,747,0.971990352673456,0.81685518014431,2365,2665,4582,,,1,,i7106,5454218,,,,,
1750040322,1750040843,521,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4471 significance 0.8204309695716947 gamma 0.21489621297083794 max_node_size 3778 max_tree_depth 1304 max_time_stationary 1242,4471,0.8204309695716947,0.2148962129708379,3778,1304,1242,,,1,,i7099,5454220,,,,,
