Unnamed: 0,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,start_time
1746335749.0,1746335762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 1070 n_permutations 1000 update_interval 250 n_consecutive_deviations 1,5000,1070,1000,250,1,0.91,0.0,0,,i7175,4935624,0.0,752.97265625,752.9427083333334,-1.0,0.0,
1746335749.0,1746335762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 5000 n_permutations 2 update_interval 250 n_consecutive_deviations 9,5000,5000,2,250,9,0.91,0.0,0,,i7175,4935625,0.0,752.51953125,752.46875,-1.0,0.0,
1746335749.0,1746335762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 2228 n_permutations 1000 update_interval 250 n_consecutive_deviations 7,5000,2228,1000,250,7,0.91,0.0,0,,i7175,4935622,0.0,753.50390625,753.453125,-1.0,0.0,
1746335749.0,1746335762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1496 n_samples 412 n_permutations 2 update_interval 2 n_consecutive_deviations 10,1496,412,2,2,10,,,1,,i7175,4935623,,,,,,
1746335749.0,1746335762,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3199 n_samples 1 n_permutations 1000 update_interval 2 n_consecutive_deviations 10,3199,1,1000,2,10,,,1,,i7183,4935619,,,,,,
1746335750.0,1746335769,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2822 n_samples 247 n_permutations 2 update_interval 250 n_consecutive_deviations 5,2822,247,2,250,5,,,1,,i7174,4935626,,,,,,
1746335759.0,1746335772,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 3300 n_permutations 1000 update_interval 2 n_consecutive_deviations 10,1,3300,1000,2,10,0.91,0.0,0,,i7184,4935627,0.0,752.3046875,752.2747395833334,-1.0,0.0,
1746344341.0,1746344354,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 443 n_permutations 2 update_interval 2 n_consecutive_deviations 10,1,443,2,2,10,,,1,,i7179,4937460,,,,,,
1746344340.0,1746344354,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 408 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,408,2,2,10,,,1,,i7179,4937459,,,,,,
1746344341.0,1746344354,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2507 n_samples 257 n_permutations 2 update_interval 250 n_consecutive_deviations 4,2507,257,2,250,4,,,1,,i7181,4937457,,,,,,
1746344341.0,1746344354,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3174 n_samples 243 n_permutations 2 update_interval 250 n_consecutive_deviations 5,3174,243,2,250,5,,,1,,i7181,4937458,,,,,,
1746344361.0,1746344374,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 307 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,307,2,2,10,,,1,,i7179,4937465,,,,,,
1746344361.0,1746344374,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2061 n_samples 254 n_permutations 2 update_interval 250 n_consecutive_deviations 4,2061,254,2,250,4,,,1,,i7179,4937466,,,,,,
1746344361.0,1746344374,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1628 n_samples 263 n_permutations 2 update_interval 250 n_consecutive_deviations 3,1628,263,2,250,3,,,1,,i7179,4937463,,,,,,
1746344361.0,1746344374,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 212 n_permutations 2 update_interval 250 n_consecutive_deviations 3,1,212,2,250,3,,,1,,i7179,4937462,,,,,,
1746344361.0,1746344374,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 469 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,469,2,2,10,,,1,,i7179,4937464,,,,,,
1746344361.0,1746344375,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 1381 n_permutations 2 update_interval 2 n_consecutive_deviations 1,5000,1381,2,2,1,0.91,0.0,0,,i7178,4937469,0.0,752.60546875,752.5559895833334,-1.0,0.0,
1746344362.0,1746344375,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 247 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,247,2,2,10,,,1,,i7178,4937467,,,,,,
1746344362.0,1746344375,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 356 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,356,2,2,10,,,1,,i7184,4937472,,,,,,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 176 n_permutations 2 update_interval 250 n_consecutive_deviations 8,5000,176,2,250,8,,,1,,i7179,4937481,,,,,,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 3742 n_permutations 1000 update_interval 250 n_consecutive_deviations 8,5000,3742,1000,250,8,0.91,0.0,0,,i7179,4937480,0.0,752.63671875,752.6067708333334,-1.0,0.0,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4113 n_samples 210 n_permutations 2 update_interval 250 n_consecutive_deviations 6,4113,210,2,250,6,,,1,,i7179,4937478,,,,,,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 196 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,196,2,2,10,,,1,,i7179,4937479,,,,,,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 3144 n_permutations 2 update_interval 250 n_consecutive_deviations 7,5000,3144,2,250,7,0.91,0.0,0,,i7181,4937476,0.0,751.6875,751.6549479166666,-1.0,0.0,
1746344381.0,1746344394,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 1852 n_permutations 679 update_interval 250 n_consecutive_deviations 3,5000,1852,679,250,3,0.91,0.0,0,,i7181,4937475,0.0,753.42578125,753.3958333333334,-1.0,0.0,
1746344390.0,1746344403,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 1269 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,1269,2,2,10,0.91,0.0,0,,i7176,4937493,0.0,752.77734375,752.7473958333334,-1.0,0.0,
1746344360.0,1746344404,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 789 n_samples 245 n_permutations 2 update_interval 250 n_consecutive_deviations 3,789,245,2,250,3,,,1,,i7176,4937470,,,,,,
1746344360.0,1746344404,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1832 n_samples 401 n_permutations 2 update_interval 2 n_consecutive_deviations 10,1832,401,2,2,10,,,1,,i7176,4937471,,,,,,
,1747320200,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4353 n_samples 2972 n_permutations 675 update_interval 74 n_consecutive_deviations 2,4353,2972,675,74,2,0.91,0.0,0,,i7183,5050910,0.0,750.28125,750.23046875,-1.0,0.0,1747320175.0
,1747320216,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 721 n_samples 1304 n_permutations 79 update_interval 161 n_consecutive_deviations 10,721,1304,79,161,10,0.91,0.0,0,,i7183,5050923,0.0,751.91796875,751.8880208333334,-1.0,0.0,1747320197.0
,1747320326,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1775 n_samples 4684 n_permutations 778 update_interval 49 n_consecutive_deviations 8,1775,4684,778,49,8,0.91,0.0,0,,i7181,5050948,0.0,751.71484375,751.6640625,-1.0,0.0,1747320288.0
