start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747541864,1747543137,1273,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1985 n_reference_samples 1016 recent_samples_proportion 0.04518146692588926 threshold 0.3166063215341419,1985,1016,0.0451814669258892,0.3166063215341419,0.75,1256.0,0,,i7050,1256.0,3267.07421875,2059.702117919922,-1.0,0.999492238502829,5095505
1747541785,1747543151,1366,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4185 n_reference_samples 718 recent_samples_proportion 0.8919880428705365 threshold 0.4647845236696303,4185,718,0.8919880428705365,0.4647845236696303,0.76,1345.0,0,,i7114,1345.0,2959.0,2009.112653968978,-1.0,0.9994887843429844,5095465
1747543090,1747543200,110,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 98 n_reference_samples 1939 recent_samples_proportion 0.683779411772266 threshold 0.9688358019217849,98,1939,0.683779411772266,0.9688358019217848,0.58,75.0,0,,i7178,75.0,1060.09375,1054.23046875,-1.0,0.0003385076647806,5095584
1747542199,1747543305,1106,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3370 n_reference_samples 349 recent_samples_proportion 0.0173246029317379 threshold 0.39615819460712376,3370,349,0.0173246029317379,0.3961581946071237,0.79,1066.0,0,,i7123,1066.0,2066.8671875,1790.772362385321,-1.0,0.9998583794463672,5095523
1747543027,1747543428,401,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4058 n_reference_samples 2796 recent_samples_proportion 0.40083012866042556 threshold 0.4862439028862864,4058,2796,0.4008301286604255,0.4862439028862864,0.72,383.0,0,,i7038,383.0,2016.2421875,1501.9061547256097,-1.0,0.9970466933327806,5095582
1747542295,1747543525,1230,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 622 n_reference_samples 129 recent_samples_proportion 0.9208860098030418 threshold 0.26363466485217213,622,129,0.9208860098030418,0.2636346648521721,0.82,1203.0,0,,i7161,1203.0,2118.89453125,1717.0533536585365,-1.0,0.9999930916803106,5095533
1747543016,1747543657,641,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4858 n_reference_samples 1553 recent_samples_proportion 0.21492461726628245 threshold 0.2926848977692425,4858,1553,0.2149246172662824,0.2926848977692425,0.74,620.0,0,,i7081,620.0,2685.56640625,1855.1119384765625,-1.0,0.9989792957658908,5095580
1747542418,1747544505,2087,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4220 n_reference_samples 214 recent_samples_proportion 0.6928597157150507 threshold 0.14968512772209944,4220,214,0.6928597157150507,0.1496851277220994,0.79,2067.0,0,,i7098,2067.0,1790.0,1524.414791417464,-1.0,0.9998549252865224,5095544
1747554548,1747554631,83,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2881 n_reference_samples 2613 recent_samples_proportion 0.7390443695522845 threshold 0.8561493803877384,2881,2613,0.7390443695522845,0.8561493803877384,0.59,64.0,0,,i7161,64.0,1050.90234375,1046.3216145833333,-1.0,0.0736167816901895,5096386
1747554548,1747554663,115,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2967 n_reference_samples 968 recent_samples_proportion 0.778167971143499 threshold 0.6976116037704051,2967,968,0.778167971143499,0.6976116037704051,0.6,97.0,0,,i7176,97.0,1124.59765625,1077.6656901041667,-1.0,0.1042620878323765,5096385
1747554603,1747554666,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 8 n_reference_samples 4201 recent_samples_proportion 0.8320929897464812 threshold 0.5688462653066962,8,4201,0.8320929897464812,0.5688462653066962,0.58,48.0,0,,i7164,48.0,1056.296875,1053.150669642857,-1.0,0.0018790629555173,5096389
1747554513,1747554739,226,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1814 n_reference_samples 4334 recent_samples_proportion 0.059248503705486656 threshold 0.2136360697876662,1814,4334,0.0592485037054866,0.2136360697876662,0.69,212.0,0,,i7079,212.0,1575.140625,1300.37744140625,-1.0,0.4166787562261231,5096382
1747554686,1747554775,89,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2172 n_reference_samples 3320 recent_samples_proportion 0.14394741263985633 threshold 0.4134192172642797,2172,3320,0.1439474126398563,0.4134192172642797,0.65,64.0,0,,i7185,64.0,1107.86328125,1062.9131944444443,-1.0,0.6527118608940747,5096402
1747554710,1747554793,83,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3204 n_reference_samples 1359 recent_samples_proportion 0.9249517844803631 threshold 0.9286134067438543,3204,1359,0.9249517844803632,0.9286134067438544,0.57,66.0,0,,i7115,66.0,1054.35546875,1050.0008680555557,-1.0,0.0315295710624304,5096434
