start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747254067,1747254901,834,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 44 n_reference_samples 4762 recent_samples_proportion 0.6902306174747646 threshold 0.37993007705174386,44,4762,0.6902306174747646,0.3799300770517438,0.03,820.0,0,,i7175,5037464,820.0,517.10546875,495.6231398809524,-1.0,0.009205506530562
1747254412,1747254917,505,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4167 n_reference_samples 1956 recent_samples_proportion 0.5818484988491982 threshold 0.1667004123274237,4167,1956,0.5818484988491982,0.1667004123274237,0.25,487.0,0,,i7175,5037525,487.0,905.1171875,766.5672487745098,-1.0,0.999395347557921
1747254558,1747255020,462,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1831 n_reference_samples 3626 recent_samples_proportion 0.20594966388866306 threshold 0.780006933638826,1831,3626,0.205949663888663,0.780006933638826,0.17,441.0,0,,i7184,5037547,441.0,957.8671875,704.2266456117021,-1.0,0.4978318633350211
1747254747,1747255241,494,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3188 n_reference_samples 4352 recent_samples_proportion 0.32711833859793843 threshold 0.6716226205583662,3188,4352,0.3271183385979384,0.6716226205583662,0.12,468.0,0,,i7183,5037577,468.0,831.08984375,646.6978635204082,-1.0,0.7172918424224334
1747254847,1747255326,479,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3446 n_reference_samples 1660 recent_samples_proportion 0.8763778553716839 threshold 0.8645673660561443,3446,1660,0.8763778553716839,0.8645673660561443,0.23,464.0,0,,i7180,5037594,464.0,940.59375,766.8262914540817,-1.0,0.947287473233646
1747255000,1747255468,468,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1105 n_reference_samples 2681 recent_samples_proportion 0.2540178097169846 threshold 0.191391430772841,1105,2681,0.2540178097169846,0.191391430772841,0.15,444.0,0,,i7178,5037622,444.0,865.36328125,663.2431848404256,-1.0,0.4115469227880023
1747255207,1747255674,467,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3869 n_reference_samples 4651 recent_samples_proportion 0.15623965590819716 threshold 0.3558063767813146,3869,4651,0.1562396559081971,0.3558063767813146,0.15,451.0,0,,i7180,5037660,451.0,907.85546875,694.9680989583334,-1.0,0.830391157375114
1747255141,1747255703,562,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1542 n_reference_samples 1010 recent_samples_proportion 0.5301914135944098 threshold 0.711755169492215,1542,1010,0.5301914135944098,0.711755169492215,0.29,537.0,0,,i7175,5037645,537.0,886.81640625,760.9943498883929,-1.0,0.9200185949789048
1747253170,1747255859,2689,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3327 n_reference_samples 229 recent_samples_proportion 0.7215709299817681 threshold 0.11554165701381862,3327,229,0.7215709299817681,0.1155416570138186,0.46,2670.0,0,,i7184,5037279,2670.0,854.72265625,762.0189503949814,-1.0,0.9999062134914598
1747255538,1747256069,531,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 341 n_reference_samples 2383 recent_samples_proportion 0.016214557303115724 threshold 0.06607794754952193,341,2383,0.0162145573031157,0.0660779475495219,0.09,516.0,0,,i7180,5037713,516.0,646.765625,551.6880787037037,-1.0,0.1429928627565207
1747255650,1747256150,500,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 2999 n_reference_samples 3209 recent_samples_proportion 0.6385717476569116 threshold 0.990764089025557,2999,3209,0.6385717476569116,0.990764089025557,0.09,488.0,0,,i7175,5037737,488.0,627.34765625,526.0214460784314,-1.0,0.3434687391080271
1747255433,1747256185,752,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 2013 n_reference_samples 3811 recent_samples_proportion 0.7679956177752465 threshold 0.586593924369663,2013,3811,0.7679956177752465,0.586593924369663,0.03,738.0,0,,i7175,5037698,738.0,562.5859375,527.249177631579,-1.0,0.520993974667723
