start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747739699,1747739712,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4410 n_samples 2003 k_neighbors 40 n_permutations 466 significance_level 0.5714589000232517,4410,2003,40,466,0.5714589000232517,,,1,,i7178,5172073,,,,,
1747739970,1747739983,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1791 n_samples 3523 k_neighbors 90 n_permutations 561 significance_level 0.2563210690487176,1791,3523,90,561,0.2563210690487176,,,1,,i7171,5172182,,,,,
1747740633,1747740646,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2230 n_samples 1776 k_neighbors 66 n_permutations 628 significance_level 0.46529443746991456,2230,1776,66,628,0.4652944374699145,,,1,,i7178,5172445,,,,,
1747741479,1747741492,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3912 n_samples 2661 k_neighbors 15 n_permutations 345 significance_level 0.6411085300780833,3912,2661,15,345,0.6411085300780833,,,1,,i7183,5172745,,,,,
1747764831,1747764837,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3623 n_samples 226 k_neighbors 86 n_permutations 979 significance_level 0.8384538900516927,3623,226,86,979,0.8384538900516927,,,1,,i7173,5177180,,,,,
1747764861,1747764874,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 61 n_samples 4246 k_neighbors 38 n_permutations 12 significance_level 0.024323978075757622,61,4246,38,12,0.0243239780757576,,,1,,i7169,5177186,,,,,
1747765162,1747765175,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 350 n_samples 2417 k_neighbors 78 n_permutations 287 significance_level 0.9406616119425744,350,2417,78,287,0.9406616119425744,,,1,,i7180,5177219,,,,,
1747765282,1747765295,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3354 n_samples 3309 k_neighbors 28 n_permutations 696 significance_level 0.13409224490821361,3354,3309,28,696,0.1340922449082136,,,1,,i7107,5177244,,,,,
1747765373,1747765392,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4269 n_samples 837 k_neighbors 74 n_permutations 77 significance_level 0.3158096433207393,4269,837,74,77,0.3158096433207393,,,1,,i7167,5177254,,,,,
1747765644,1747765656,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1893 n_samples 4845 k_neighbors 25 n_permutations 919 significance_level 0.5152658151593059,1893,4845,25,919,0.5152658151593059,,,1,,i7181,5177299,,,,,
