start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747926820,1747927227,407,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 838 window_size 3339 ev_threshold 0.42819534924812613 delta 0.5823319035228341 divergence_metric str\(\'kl\'\) sample_period 0.04976063946262003 online_scaling False,838,3339,0.4281953492481261,0.5823319035228341,str\(\'kl\'\),0.04976063946262,False,0.71,87.0,0,,i7074,5179673,87.0,485.42578125,484.8941761363636,-1.0,0.0
1747926911,1747927241,330,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4356 window_size 2818 ev_threshold 0.7053620726950467 delta 0.3886530742906034 divergence_metric str\(\'intersection\'\) sample_period 0.05867517695762218 online_scaling False,4356,2818,0.7053620726950467,0.3886530742906034,str\(\'intersection\'\),0.0586751769576221,False,0.71,31.0,0,,i7151,5179678,31.0,450.90625,449.6940104166667,-1.0,0.0
1747926759,1747927269,510,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3594 window_size 1317 ev_threshold 0.5524460982121527 delta 0.5286812577731907 divergence_metric str\(\'kl\'\) sample_period 0.06066462787799538 online_scaling True,3594,1317,0.5524460982121527,0.5286812577731907,str\(\'kl\'\),0.0606646278779953,True,0.71,77.0,0,,i7029,5179671,77.0,386.68359375,382.156640625,-1.0,0.0
1747926729,1747927271,542,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2151 window_size 2742 ev_threshold 0.04036711172759533 delta 0.26933322550542654 divergence_metric str\(\'intersection\'\) sample_period 0.010358129218220711 online_scaling False,2151,2742,0.0403671117275953,0.2693332255054265,str\(\'intersection\'\),0.0103581292182207,False,0.71,32.0,0,,i7029,5179670,32.0,386.21875,383.591796875,-1.0,0.0
1747926850,1747927274,424,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2703 window_size 1099 ev_threshold 0.2988320306558162 delta 0.8557373851910234 divergence_metric str\(\'intersection\'\) sample_period 0.07834213986992836 online_scaling True,2703,1099,0.2988320306558162,0.8557373851910234,str\(\'intersection\'\),0.0783421398699283,True,0.71,43.0,0,,i7059,5179676,43.0,429.86328125,429.04296875,-1.0,0.0
1747926850,1747927275,425,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1631 window_size 4827 ev_threshold 0.7926117765884847 delta 0.09772253084741533 divergence_metric str\(\'kl\'\) sample_period 0.03935157041065395 online_scaling False,1631,4827,0.7926117765884847,0.0977225308474153,str\(\'kl\'\),0.0393515704106539,False,0.71,124.0,0,,i7059,5179677,124.0,432.58203125,431.92083333333335,-1.0,0.0
1747926941,1747927298,357,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 135 window_size 1866 ev_threshold 0.20285505121946334 delta 0.628647804537788 divergence_metric str\(\'kl\'\) sample_period 0.01964083367958665 online_scaling True,135,1866,0.2028550512194633,0.628647804537788,str\(\'kl\'\),0.0196408336795866,True,0.71,114.0,0,,i7174,5179679,114.0,364.76171875,358.4994419642857,-1.0,0.0
1747988010,1747988067,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4391 window_size 384 ev_threshold 0.9962748560179024 delta 0.7895255113989115 divergence_metric str\(\'kl\'\) sample_period 0.059291467033326634 online_scaling False,4391,384,0.9962748560179024,0.7895255113989115,str\(\'kl\'\),0.0592914670333266,False,0.71,46.0,0,,i7148,5181641,46.0,483.8046875,483.5552455357143,-1.0,0.0
1747988010,1747988067,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4323 window_size 2049 ev_threshold 0.24409123064950108 delta 0.5872184322141111 divergence_metric str\(\'intersection\'\) sample_period 0.08815271555446089 online_scaling False,4323,2049,0.244091230649501,0.5872184322141111,str\(\'intersection\'\),0.0881527155544608,False,0.71,32.0,0,,i7044,5181642,32.0,487.2109375,485.6432291666667,-1.0,0.0
1747988041,1747988105,64,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1257 window_size 2527 ev_threshold 0.8693178422618657 delta 0.5159978540819138 divergence_metric str\(\'intersection\'\) sample_period 0.03224882369861007 online_scaling True,1257,2527,0.8693178422618657,0.5159978540819138,str\(\'intersection\'\),0.03224882369861,True,0.71,49.0,0,,i7033,5181643,49.0,485.5546875,484.7762276785714,-1.0,0.0
1747988100,1747988144,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 414 window_size 806 ev_threshold 0.15091280579939484 delta 0.23556099410541356 divergence_metric str\(\'intersection\'\) sample_period 0.051956860786303884 online_scaling False,414,806,0.1509128057993948,0.2355609941054135,str\(\'intersection\'\),0.0519568607863038,False,0.71,33.0,0,,i7148,5181644,33.0,483.703125,483.4791666666667,-1.0,0.0
1747988129,1747988168,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3208 window_size 1040 ev_threshold 0.596500217974186 delta 0.10842596181854605 divergence_metric str\(\'intersection\'\) sample_period 0.09864994345232844 online_scaling False,3208,1040,0.596500217974186,0.108425961818546,str\(\'intersection\'\),0.0986499434523284,False,0.71,31.0,0,,i7033,5181646,31.0,483.4921875,483.2571614583333,-1.0,0.0
1747988160,1747988212,52,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1117 window_size 4310 ev_threshold 0.4694188322555274 delta 0.039185832289978864 divergence_metric str\(\'intersection\'\) sample_period 0.020256941532716156 online_scaling True,1117,4310,0.4694188322555274,0.0391858322899788,str\(\'intersection\'\),0.0202569415327161,True,0.71,41.0,0,,i7148,5181647,41.0,485.25,484.4838169642857,-1.0,0.0
1747988189,1747988246,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2661 window_size 3764 ev_threshold 0.7751352883893996 delta 0.1820195004120469 divergence_metric str\(\'intersection\'\) sample_period 0.06286075515672565 online_scaling True,2661,3764,0.7751352883893996,0.1820195004120469,str\(\'intersection\'\),0.0628607551567256,True,0.71,48.0,0,,i7033,5181648,48.0,485.46484375,484.6623883928572,-1.0,0.0
1747988100,1747988295,195,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2458 window_size 4885 ev_threshold 0.12444354926422238 delta 0.8430883083138615 divergence_metric str\(\'kl\'\) sample_period 0.048387561934068804 online_scaling True,2458,4885,0.1244435492642223,0.8430883083138615,str\(\'kl\'\),0.0483875619340688,True,0.71,181.0,0,,i7044,5181645,181.0,487.44921875,486.98363095238096,-1.0,0.0
1747988220,1747988302,82,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 796 window_size 1612 ev_threshold 0.903038388254121 delta 0.37600797921977935 divergence_metric str\(\'kl\'\) sample_period 0.023054401464760305 online_scaling False,796,1612,0.903038388254121,0.3760079792197793,str\(\'kl\'\),0.0230544014647603,False,0.71,70.0,0,,i7169,5181650,70.0,484.62109375,484.448828125,-1.0,0.0
1747988280,1747988330,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3002 window_size 1532 ev_threshold 0.35123136959783735 delta 0.28006336171925067 divergence_metric str\(\'kl\'\) sample_period 0.07128316697664558 online_scaling False,3002,1532,0.3512313695978373,0.2800633617192506,str\(\'kl\'\),0.0712831669766455,False,0.71,42.0,0,,i7033,5181653,42.0,485.578125,484.7321428571428,-1.0,0.0
1747988280,1747988343,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4714 window_size 3072 ev_threshold 0.37538182437233625 delta 0.6393401080146431 divergence_metric str\(\'intersection\'\) sample_period 0.07336090012453497 online_scaling True,4714,3072,0.3753818243723362,0.6393401080146431,str\(\'intersection\'\),0.0733609001245349,True,0.71,44.0,0,,i7029,5181654,44.0,484.76953125,483.9888392857143,-1.0,0.0
1747988311,1747988349,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2813 window_size 2805 ev_threshold 0.5364405509904027 delta 0.8305361676011235 divergence_metric str\(\'intersection\'\) sample_period 0.053921953393146406 online_scaling False,2813,2805,0.5364405509904027,0.8305361676011235,str\(\'intersection\'\),0.0539219533931464,False,0.71,30.0,0,,i7044,5181657,30.0,487.37109375,485.7799479166667,-1.0,0.0
