start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1748331701,1748331810,109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4577 batch_size 500 detection_buf_size 3407 overlap 0.788693818571046 alpha 0.24455740313604474 gamma 1.7526271319789812 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 29,4577,500,3407,0.788693818571046,0.2445574031360447,1.7526271319789812,str\(\'t-test\'\),str\(\'bounded\'\),29,0.73,96.0,0,,i7175,96.0,528.9140625,526.7158203125,-1.0,0.0,5209069
1748331416,1748331909,493,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 975 batch_size 151 detection_buf_size 4884 overlap 0.2860571365058422 alpha 0.2052274902537465 gamma 6.732438287563623 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4747,975,151,4884,0.2860571365058422,0.2052274902537465,6.732438287563623,str\(\'ks-test\'\),str\(\'full\'\),4747,0.73,484.0,0,,i7181,484.0,536.4375,531.5060508578431,-1.0,0.0,5209027
1748331836,1748331915,79,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2203 batch_size 1112 detection_buf_size 363 overlap 0.3725907686688006 alpha 0.5635762247182429 gamma 8.973811368630267 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1009,2203,1112,363,0.3725907686688006,0.5635762247182429,8.973811368630267,str\(\'t-test\'\),str\(\'bounded\'\),1009,0.73,68.0,0,,i7172,68.0,531.14453125,527.6137152777778,-1.0,0.0,5209091
1748331869,1748332014,145,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4228 batch_size 1016 detection_buf_size 2195 overlap 0.20633678209036588 alpha 0.783905160151422 gamma 6.429180132419803 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3731,4228,1016,2195,0.2063367820903658,0.783905160151422,6.429180132419803,str\(\'ks-test\'\),str\(\'bounded\'\),3731,0.73,119.0,0,,i7170,119.0,529.7109375,527.6453683035714,-1.0,0.0,5209099
1748346499,1748346604,105,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1301 batch_size 419 detection_buf_size 3999 overlap 0.6324143200721591 alpha 0.4021189726367593 gamma 4.295220689172857 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2770,1301,419,3999,0.6324143200721591,0.4021189726367593,4.295220689172857,str\(\'ks-test\'\),str\(\'bounded\'\),2770,0.73,93.0,0,,i7182,93.0,530.41796875,528.2337239583334,-1.0,0.0,5210042
1748346740,1748346772,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3227 batch_size 3596 detection_buf_size 2356 overlap 0.9567875065654516 alpha 0.9092566443439573 gamma 9.760359678191133 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2043,3227,3596,2356,0.9567875065654516,0.9092566443439573,9.760359678191133,str\(\'t-test\'\),str\(\'bounded\'\),2043,0.73,23.0,0,,i7186,23.0,526.37890625,525.7109375,-1.0,0.0,5210059
1748346839,1748346904,65,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1835 batch_size 935 detection_buf_size 1848 overlap 0.5017887716591358 alpha 0.16364161267876626 gamma 4.929218297351152 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1246,1835,935,1848,0.5017887716591358,0.1636416126787662,4.929218297351152,str\(\'ks-test\'\),str\(\'bounded\'\),1246,0.73,55.0,0,,i7180,55.0,530.55859375,526.50830078125,-1.0,0.0,5210070
1748346879,1748346931,52,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4525 batch_size 2085 detection_buf_size 1429 overlap 0.45954622413776813 alpha 0.09012525829672814 gamma 9.318296168662608 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4767,4525,2085,1429,0.4595462241377681,0.0901252582967281,9.318296168662608,str\(\'ks-test\'\),str\(\'full\'\),4767,0.73,43.0,0,,i7179,43.0,525.703125,525.1997767857143,-1.0,0.0,5210075
1748346629,1748346999,370,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3159 batch_size 90 detection_buf_size 904 overlap 0.5682489097751677 alpha 0.09764379257895052 gamma 7.857506444212981 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3250,3159,90,904,0.5682489097751677,0.0976437925789505,7.857506444212981,str\(\'ks-test\'\),str\(\'bounded\'\),3250,0.73,356.0,0,,i7181,356.0,535.98046875,530.0936472039474,-1.0,0.0,5210053
1748346979,1748347032,53,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3728 batch_size 1215 detection_buf_size 3680 overlap 0.6871785508338362 alpha 0.34244849190302196 gamma 8.553636872759089 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 397,3728,1215,3680,0.6871785508338362,0.3424484919030219,8.553636872759089,str\(\'ks-test\'\),str\(\'bounded\'\),397,0.73,44.0,0,,i7186,44.0,530.1015625,525.4285714285714,-1.0,0.0,5210082
