start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747357715,1747359131,1416,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1751 feature_id 4 threshold 0.8291869328953326 window_size 2061,1751,4,0.8291869328953326,2061,0.5,1403.0,0,,i7141,1403.0,524.66796875,516.6717930506993,-1.0,0.0,5062484
1747357590,1747359219,1629,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1128 feature_id 9 threshold 0.44619483339600263 window_size 4684,1128,9,0.4461948333960026,4684,0.5,1617.0,0,,i7179,1617.0,511.44140625,502.7412585746951,-1.0,0.0,5062436
1747358607,1747360397,1790,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3300 feature_id 8 threshold 0.8976577530875802 window_size 903,3300,8,0.8976577530875802,903,0.5,1773.0,0,,i7130,1773.0,510.17578125,499.2602864583333,-1.0,0.0,5062761
1747358989,1747360549,1560,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 482 feature_id 6 threshold 0.9514086466673761 window_size 3583,482,6,0.951408646667376,3583,0.5,1546.0,0,,i7184,1546.0,513.21875,495.4450636942675,-1.0,0.0,5062890
1747359414,1747360933,1519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4279 feature_id 9 threshold 0.5837455070465803 window_size 3929,4279,9,0.5837455070465803,3929,0.5,1506.0,0,,i7172,1506.0,527.46484375,516.4763327205883,-1.0,0.0,5063025
1747360256,1747361881,1625,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2693 feature_id 6 threshold 0.40633188918605445 window_size 2317,2693,6,0.4063318891860544,2317,0.5,1610.0,0,,i7184,1610.0,519.39453125,512.5695935582822,-1.0,0.0,5063273
1747361711,1747363147,1436,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2369 feature_id 6 threshold 0.9630422978661954 window_size 4157,2369,6,0.9630422978661954,4157,0.5,1425.0,0,,i7116,1425.0,525.3984375,505.4221713362069,-1.0,0.0,5063714
1747362229,1747363709,1480,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3651 feature_id 8 threshold 0.5641922623943537 window_size 3333,3651,8,0.5641922623943537,3333,0.5,1467.0,0,,i7151,1467.0,523.98828125,515.8109270134228,-1.0,0.0,5063876
1747363389,1747364698,1309,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3928 feature_id 9 threshold 0.8861443740036339 window_size 1515,3928,9,0.8861443740036339,1515,0.5,1295.0,0,,i7146,1295.0,513.80078125,510.1741240530303,-1.0,0.0,5064214
1747364530,1747366296,1766,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 3047 feature_id 6 threshold 0.06945648513175547 window_size 4731,3047,6,0.0694564851317554,4731,0.5,1749.0,0,,i7142,1749.0,518.6015625,511.9249867584746,-1.0,0.0,5064553
