start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747240236,1747240267,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 96 feature_id 123 threshold 0.8992257938142866 window_size 3485,96,123,0.8992257938142866,3485,0.2,14.0,0,,i7185,14.0,670.21875,670.0302734375,-1.0,0.0,5034567
1747240326,1747240358,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3428 feature_id 88 threshold 0.5250345050096512 window_size 4195,3428,88,0.5250345050096512,4195,0.17,14.0,0,,i7185,14.0,778.0234375,759.6162109375,-1.0,0.0,5034585
1747239637,1747240480,843,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3740 feature_id 117 threshold 0.6157054468039423 window_size 467,3740,117,0.6157054468039423,467,0.2,830.0,0,,i7184,830.0,791.0859375,791.0318933823529,-1.0,0.4760705289672544,5034426
1747240470,1747240508,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1908 feature_id 97 threshold 0.5802248113565147 window_size 755,1908,97,0.5802248113565147,755,0.17,12.0,0,,i7186,12.0,790.67578125,790.638671875,-1.0,0.0,5034606
1747240595,1747240620,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3947 feature_id 66 threshold 0.9545304311681538 window_size 1290,3947,66,0.9545304311681538,1290,0.17,13.0,0,,i7186,13.0,791.70703125,791.669921875,-1.0,0.0,5034629
1747240640,1747240671,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 432 feature_id 61 threshold 0.4525297859683633 window_size 4050,432,61,0.4525297859683633,4050,0.17,14.0,0,,i7178,14.0,789.9140625,789.876953125,-1.0,0.0,5034641
1747240730,1747240762,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 828 feature_id 82 threshold 0.23402016517706214 window_size 4958,828,82,0.2340201651770621,4958,0.17,14.0,0,,i7181,14.0,789.26171875,787.5615234375,-1.0,0.0,5034652
1747240771,1747240796,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4811 feature_id 45 threshold 0.7358685890063643 window_size 2199,4811,45,0.7358685890063643,2199,0.17,14.0,0,,i7180,14.0,789.8828125,789.845703125,-1.0,0.0,5034660
1747240838,1747240869,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2540 feature_id 113 threshold 0.3587765291891992 window_size 2998,2540,113,0.3587765291891992,2998,0.17,14.0,0,,i7178,14.0,790.5390625,790.517578125,-1.0,0.0,5034673
1747240891,1747240916,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1834 feature_id 14 threshold 0.8606544596534222 window_size 394,1834,14,0.8606544596534222,394,0.17,12.0,0,,i7180,12.0,791.08984375,791.068359375,-1.0,0.0,5034683
