start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744560304,1744561121,817,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4583 n_reference_samples 313 n_recent_samples 257 threshold 0.8332061859446869 stability_offset 0.9,4583,313,257,0.8332061859446869,0.9,0.57,803,0,,i7162,803,634.703125,632.6317771084338,-1,1.0,4329518
1744560324,1744561193,869,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1482 n_reference_samples 261 n_recent_samples 307 threshold 0.863640110076521 stability_offset 0.9,1482,261,307,0.863640110076521,0.9,0.57,859,0,,i7056,859,645.8046875,638.0869584517045,-1,1.0,4329531
1744560298,1744561226,928,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1528 n_reference_samples 13 n_recent_samples 412 threshold 0.7276772981098417 stability_offset 0.9,1528,13,412,0.7276772981098417,0.9,0.55,909,0,,i7056,909,652.50390625,644.8937752016129,-1,1.0,4329517
1744560307,1744561913,1606,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3111 n_reference_samples 153 n_recent_samples 509 threshold 0.40748444586840143 stability_offset 0.9,3111,153,509,0.4074844458684014,0.9,0.56,1587,0,,i7071,1587,639.5546875,638.6250727872671,-1,1.0,4329519
1744560284,1744561939,1655,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4082 n_reference_samples 103 n_recent_samples 619 threshold 0.90700093931268 stability_offset 0.9,4082,103,619,0.90700093931268,0.9,0.57,1643,0,,i7117,1643,641.8125,631.5238585329341,-1,1.0,4329506
1744560304,1744562085,1781,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1506 n_reference_samples 145 n_recent_samples 1641 threshold 0.6694113467003231 stability_offset 0.9,1506,145,1641,0.6694113467003231,0.9,0.54,1767,0,,i7062,1767,638.7578125,638.6937630935754,-1,0.86,4329520
1744560285,1744562145,1860,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4670 n_reference_samples 388 n_recent_samples 668 threshold 0.6338300655635754 stability_offset 0.9,4670,388,668,0.6338300655635754,0.9,0.56,1851,0,,i7059,1851,637.8984375,636.7397017045455,-1,1.0,4329507
1744560297,1744562263,1966,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2465 n_reference_samples 435 n_recent_samples 1096 threshold 0.9244738563721053 stability_offset 0.9,2465,435,1096,0.9244738563721052,0.9,0.54,1942,0,,i7057,1942,636.23046875,635.5961492703045,-1,1.0,4329514
1744560317,1744562276,1959,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 7 n_reference_samples 170 n_recent_samples 769 threshold 0.8485998893210673 stability_offset 0.9,7,170,769,0.8485998893210673,0.9,0.56,1950,0,,i7056,1950,639.31640625,638.9964506662436,-1,0.534,4329527
1744560344,1744562296,1952,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2564 n_reference_samples 144 n_recent_samples 766 threshold 0.9464395471396534 stability_offset 0.9,2564,144,766,0.9464395471396534,0.9,0.56,1941,0,,i7062,1941,636.75390625,636.7173549107143,-1,1.0,4329534
