start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747596321,1747603689,7368,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1112 n_samples 4943 n_permutations 364 update_interval 111 n_consecutive_deviations 1,1112,4943,364,111,1,0.82,7354.0,0,,i7131,5114370,7354.0,1367.75,1255.95303489654,-1.0,0.9933213819402706
1747595682,1747603820,8138,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3482 n_samples 2776 n_permutations 94 update_interval 29 n_consecutive_deviations 9,3482,2776,94,29,9,0.83,8118.0,0,,i7179,5113703,8118.0,1199.88671875,1131.3849169741698,-1.0,0.9936426188058278
1747601501,1747604072,2571,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 825 n_samples 3572 n_permutations 166 update_interval 198 n_consecutive_deviations 5,825,3572,166,198,5,0.8,2555.0,0,,i7151,5118475,2555.0,2170.75390625,1767.9946554021317,-1.0,0.9815945092675108
1747601839,1747604731,2892,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 892 n_samples 1400 n_permutations 489 update_interval 141 n_consecutive_deviations 6,892,1400,489,141,6,0.81,2872.0,0,,i7117,5118691,2872.0,1460.8671875,1406.4167657871972,-1.0,0.9935510835699431
1747600881,1747604797,3916,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3137 n_samples 3864 n_permutations 381 update_interval 163 n_consecutive_deviations 6,3137,3864,381,163,6,0.8,3903.0,0,,i7072,5118077,3903.0,1591.33203125,1516.6170778858418,-1.0,0.9977219815824198
1747602563,1747605280,2717,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3263 n_samples 1030 n_permutations 213 update_interval 223 n_consecutive_deviations 5,3263,1030,213,223,5,0.79,2694.0,0,,i7070,5119188,2694.0,1519.3203125,1435.729190602022,-1.0,0.99662010459196
1747602917,1747605462,2545,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2491 n_samples 3656 n_permutations 602 update_interval 98 n_consecutive_deviations 10,2491,3656,602,98,10,0.82,2527.0,0,,i7084,5119378,2527.0,1493.98828125,1401.6545802696078,-1.0,0.9944560734492548
1747603640,1747605701,2061,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2779 n_samples 2831 n_permutations 357 update_interval 210 n_consecutive_deviations 4,2779,2831,357,210,4,0.79,2048.0,0,,i7121,5119838,2048.0,2492.40234375,1790.530438556763,-1.0,0.9972953928415992
1747601200,1747605754,4554,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4741 n_samples 1119 n_permutations 524 update_interval 74 n_consecutive_deviations 10,4741,1119,524,74,10,0.81,4542.0,0,,i7086,5118285,4542.0,1342.0,1250.5855777138158,-1.0,0.9999568230019412
1747604640,1747606456,1816,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 583 n_samples 914 n_permutations 669 update_interval 203 n_consecutive_deviations 1,583,914,669,203,1,0.8,1800.0,0,,i7060,5120427,1800.0,2109.6953125,1748.7543569711538,-1.0,0.9583739197115084
1747604340,1747606513,2173,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 97 n_samples 4454 n_permutations 64 update_interval 183 n_consecutive_deviations 7,97,4454,64,183,7,0.72,2159.0,0,,i7063,5120261,2159.0,1551.4609375,1257.8531572534405,-1.0,0.3681305396088509
1747605985,1747607074,1089,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2006 n_samples 2307 n_permutations 138 update_interval 24 n_consecutive_deviations 4,2006,2307,138,24,4,0.7,1066.0,0,,i7121,5121249,1066.0,1368.71484375,1179.1711582568807,-1.0,0.9988704897307829
1747605326,1747607244,1918,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2958 n_samples 1834 n_permutations 882 update_interval 160 n_consecutive_deviations 9,2958,1834,882,160,9,0.8,1899.0,0,,i7181,5120827,1899.0,1621.20703125,1450.5640055338542,-1.0,0.99872886917715
1747603251,1747608394,5143,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1695 n_samples 615 n_permutations 957 update_interval 85 n_consecutive_deviations 9,1695,615,957,85,9,0.82,5124.0,0,,i7062,5119617,5124.0,1415.703125,1309.459463156615,-1.0,0.9970000621748772
