start_time,end_time,run_time,program_string,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745677693,1745678622,929,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2595 n_subspaces 5 feature_percentage 0.25634195866063236 alpha 0.47277477745525537 window_size 213 mode EDFSMode.RANDOM,2595,5,0.2563419586606323,0.4727747774552553,213,EDFSMode.RANDOM,0.35,917,0,,i7184,917,912.4296875,790.4008061835107,-1,0.9999887275831082,4768519
1745677573,1745678700,1127,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4325 n_subspaces 23 feature_percentage 0.0797003223337233 alpha 0.9207025520727038 window_size 705 mode EDFSMode.RANDOM,4325,23,0.0797003223337233,0.9207025520727038,705,EDFSMode.RANDOM,0.3,1110,0,,i7184,1110,929.015625,770.0812707411504,-1,0.9988587805138688,4768491
1745677628,1745678812,1184,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 127 n_subspaces 43 feature_percentage 0.04430127487890422 alpha 0.11123732993938029 window_size 587 mode EDFSMode.RANDOM,127,43,0.0443012748789042,0.1112373299393802,587,EDFSMode.RANDOM,0.06,1169,0,,i7184,1169,620.05859375,547.827468487395,-1,0.1081714651842386,4768501
1745678217,1745679007,790,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2577 n_subspaces 57 feature_percentage 0.10516250438801944 alpha 0.14426324963010848 window_size 656 mode EDFSMode.RANDOM,2577,57,0.1051625043880194,0.1442632496301084,656,EDFSMode.RANDOM,0.19,776,0,,i7184,776,975.78125,728.4880859375,-1,0.9997641810386224,4768665
1745678012,1745679187,1175,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 679 n_subspaces 16 feature_percentage 0.21082205735333265 alpha 0.3787680987790227 window_size 153 mode EDFSMode.RANDOM,679,16,0.2108220573533326,0.3787680987790227,153,EDFSMode.RANDOM,0.4,1161,0,,i7184,1161,865.41015625,762.2984308792373,-1,0.999928307428568,4768608
1745677733,1745679852,2119,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3265 n_subspaces 84 feature_percentage 0.14306625767238437 alpha 0.3445239173695445 window_size 187 mode EDFSMode.RANDOM,3265,84,0.1430662576723843,0.3445239173695445,187,EDFSMode.RANDOM,0.43,2103,0,,i7184,2103,877.3125,774.0750990316901,-1,0.9998390298867844,4768533
1745678394,1745680344,1950,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 25 n_subspaces 94 feature_percentage 0.31623714469745756 alpha 0.2582585561554879 window_size 296 mode EDFSMode.RANDOM,25,94,0.3162371446974575,0.2582585561554879,296,EDFSMode.RANDOM,0.04,1938,0,,i7184,1938,555.8671875,513.5802774234694,-1,0.0422264736768775,4768709
1744364187,1744364802,615,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2438 n_subspaces 20 feature_percentage 0.005291557224467397 alpha 0.44028983411565425 window_size 544 mode EDFSMode.RANDOM,2438,20,0.0052915572244673,0.4402898341156542,544,EDFSMode.RANDOM,0.18,601,0,,i7005,601,946.7734375,722.6231398809524,-1,0.9997930384258656,4223343
1744364157,1744364831,674,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2797 n_subspaces 75 feature_percentage 0.13286828002333642 alpha 0.1888650285601616 window_size 733 mode EDFSMode.RANDOM,2797,75,0.1328682800233364,0.1888650285601616,733,EDFSMode.RANDOM,0.21,662,0,,i7027,662,967.7421875,752.8567142210145,-1,0.9994539641257588,4223338
1744364216,1744364989,773,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3270 n_subspaces 48 feature_percentage 0.3717102903481573 alpha 0.10771117181330919 window_size 632 mode EDFSMode.RANDOM,3270,48,0.3717102903481573,0.1077111718133091,632,EDFSMode.RANDOM,0.27,758,0,,i7128,758,939.890625,774.5187299679487,-1,0.9996631801832716,4223347
1744364278,1744365055,777,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 960 n_subspaces 82 feature_percentage 0.1990814699307084 alpha 0.7321186578255147 window_size 592 mode EDFSMode.RANDOM,960,82,0.1990814699307084,0.7321186578255147,592,EDFSMode.RANDOM,0.26,767,0,,i7159,767,963.66796875,761.7351661392405,-1,0.8107482945960485,4223354
1744364286,1744365167,881,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2943 n_subspaces 76 feature_percentage 0.26945289625972507 alpha 0.92588281705603 window_size 858 mode EDFSMode.RANDOM,2943,76,0.269452896259725,0.92588281705603,858,EDFSMode.RANDOM,0.2,858,0,,i7144,858,990.8515625,748.4113547585227,-1,0.9996703945300822,4223356
1744364247,1744365253,1006,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3807 n_subspaces 26 feature_percentage 0.0712611012943089 alpha 0.9798273357283324 window_size 330 mode EDFSMode.RANDOM,3807,26,0.0712611012943089,0.9798273357283324,330,EDFSMode.RANDOM,0.37,985,0,,i7162,985,874.80859375,761.2938582920792,-1,0.999870141757406,4223351
1744364307,1744365272,965,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 17 n_subspaces 46 feature_percentage 0.16090279262326657 alpha 0.30476569540984927 window_size 818 mode EDFSMode.RANDOM,17,46,0.1609027926232665,0.3047656954098492,818,EDFSMode.RANDOM,0.03,955,0,,i7135,955,521.4140625,500.9451929209184,-1,0.0103864049241524,4223367
1744364248,1744365330,1082,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 495 n_subspaces 4 feature_percentage 0.2974567208811641 alpha 0.5658692553434521 window_size 693 mode EDFSMode.RANDOM,495,4,0.2974567208811641,0.5658692553434521,693,EDFSMode.RANDOM,0.15,1071,0,,i7173,1071,827.20703125,653.1929472477065,-1,0.3432721481574333,4223349
1744364278,1744365353,1075,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1509 n_subspaces 54 feature_percentage 0.10556922211125493 alpha 0.5265443494617938 window_size 319 mode EDFSMode.RANDOM,1509,54,0.1055692221112549,0.5265443494617938,319,EDFSMode.RANDOM,0.37,1060,0,,i7135,1060,865.77734375,760.7758246527778,-1,0.9999481468822976,4223358
1744364278,1744365658,1380,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3727 n_subspaces 2 feature_percentage 0.22748108089715244 alpha 0.7741316473335028 window_size 958 mode EDFSMode.RANDOM,3727,2,0.2274810808971524,0.7741316473335028,958,EDFSMode.RANDOM,0.22,1359,0,,i7126,1359,944.44921875,773.8736129981884,-1,0.943891319472469,4223363
1744364278,1744366467,2189,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1980 n_subspaces 30 feature_percentage 0.3911820195056498 alpha 0.6778805190436542 window_size 195 mode EDFSMode.RANDOM,1980,30,0.3911820195056498,0.6778805190436542,195,EDFSMode.RANDOM,0.43,2177,0,,i7127,2177,848.64453125,761.7099254261364,-1,0.9998814141742978,4223361
1744364307,1744370075,5768,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4749 n_subspaces 98 feature_percentage 0.03923458618111909 alpha 0.053463160308077934 window_size 106 mode EDFSMode.RANDOM,4749,98,0.039234586181119,0.0534631603080779,106,EDFSMode.RANDOM,0.48,5755,0,,i7026,5755,781.0703125,708.5586072898614,-1,0.9999679863360272,4223370
1744388729,1744389345,616,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4822 n_subspaces 33 feature_percentage 0.28190091980062426 alpha 0.33803171876631677 window_size 999 mode EDFSMode.RANDOM,4822,33,0.2819009198006242,0.3380317187663167,999,EDFSMode.RANDOM,0.25,607,0,,i7161,607,936.0234375,772.4712301587301,-1,0.9999896293764596,4238867
