start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1749870865,1749870966,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1454 feature_id 13 p 464 big_windowSize 298 small_windowSize 17,1454,13,464,298,17,0.05,69,0,,i7138,69.0,633.66015625,633.5993923611111,-1.0,0.0,5427052
1749872402,1749872471,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1926 feature_id 20 p 487 big_windowSize 1055 small_windowSize 177,1926,20,487,1055,177,0.04,53,0,,i7153,53.0,526.8125,526.5634765625,-1.0,0.0005,5427328
1749872933,1749873014,81,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1549 feature_id 15 p 97 big_windowSize 1425 small_windowSize 41,1549,15,97,1425,41,0.04,63,0,,i7181,63.0,632.1953125,632.1323784722222,-1.0,0.0,5427330
1749873114,1749873158,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1271 feature_id 18 p 250 big_windowSize 699 small_windowSize 108,1271,18,250,699,108,0.04,30,0,,i7184,30.0,633.2578125,633.14765625,-1.0,0.0,5427332
1749873354,1749873392,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1760 feature_id 5 p 298 big_windowSize 231 small_windowSize 28,1760,5,298,231,28,0.06,27,0,,i7181,27.0,633.38671875,633.23671875,-1.0,0.0,5427335
1749874084,1749874154,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 976 feature_id 10 p 296 big_windowSize 872 small_windowSize 66,976,10,296,872,66,0.04,56,0,,i7184,56.0,633.82421875,633.75,-1.0,0.0,5427359
1749874289,1749874333,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1906 feature_id 17 p 216 big_windowSize 1665 small_windowSize 410,1906,17,216,1665,410,0.05,34,0,,i7181,34.0,632.58203125,632.4654947916666,-1.0,0.0,5427407
1749874416,1749874454,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 496 feature_id 13 p 220 big_windowSize 340 small_windowSize 48,496,13,220,340,48,0.05,26,0,,i7176,26.0,633.04296875,632.9328125,-1.0,0.0,5427409
1749874647,1749874823,176,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1326 feature_id 10 p 2 big_windowSize 1230 small_windowSize 92,1326,10,2,1230,92,0.04,153,0,,i7161,153.0,620.390625,511.06206597222223,-1.0,0.0005,5427412
1749874884,1749875053,169,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1830 feature_id 8 p 453 big_windowSize 1698 small_windowSize 47,1830,8,453,1698,47,0.06,158,0,,i7181,158.0,632.84375,632.80859375,-1.0,0.0,5427418
1749875154,1749875192,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1115 feature_id 0 p 332 big_windowSize 425 small_windowSize 102,1115,0,332,425,102,0.04,25,0,,i7171,25.0,632.33984375,632.21640625,-1.0,0.0,5427423
1749875395,1749875484,89,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1603 feature_id 18 p 154 big_windowSize 894 small_windowSize 26,1603,18,154,894,26,0.04,75,0,,i7179,75.0,633.54296875,626.928125,-1.0,0.0,5427430
