trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
97,97_0,FAILED,SOBOL,,,,4937,0.785034916836768403847202080215,0.474045848298817851240727350159,4314,40,2665
98,98_0,FAILED,SOBOL,,,,3258,0.177681761112064129370935461338,0.839274869924411137667163984588,1080,1769,4066
99,99_0,FAILED,SOBOL,,,,904,0.676501955229789064816259269719,0.100040783297270535756595677412,3198,2533,781
100,100_0,FAILED,SOBOL,,,,140,0.112809394298121340449725380495,0.296804524425417159960716162459,2962,3211,1322
101,101_0,FAILED,SOBOL,,,,2811,0.611994910782203027643788573187,0.521445783076807889422354946873,66,2490,3525
102,102_0,FAILED,SOBOL,,,,4173,0.472546018777415144374032252017,0.171810266073793183050355537489,4547,782,4615
103,103_0,FAILED,SOBOL,,,,1825,0.971246134107932479473390685598,0.896428067376837112156806597341,2426,4938,546
104,104_0,FAILED,SOBOL,,,,1507,0.208139811664819707193174735949,0.188976995950564746751254574519,390,529,949
105,105_0,FAILED,SOBOL,,,,3865,0.707439517877995971417703913176,0.992528611075133126995240218093,2638,3754,3894
106,106_0,FAILED,SOBOL,,,,3118,0.318620088487863550863465889051,0.312995202405378203369679113166,2122,2982,3107
107,107_0,FAILED,SOBOL,,,,456,0.817434393547475379726563460281,0.618523360181599812790409487206,4852,1319,2047
108,108_0,FAILED,SOBOL,,,,1220,0.377279300088062874429795101605,0.799693552073091229459578244132,3994,2001,246
109,109_0,FAILED,SOBOL,,,,3565,0.876459284426644447130172466132,0.010760125806555151384280577531,1730,3699,4908
110,110_0,FAILED,SOBOL,,,,4629,0.019979199046269061068592520769,0.674699078086763659456437380868,3499,4489,3185
111,111_0,FAILED,SOBOL,,,,1954,0.518669975163415064578487090330,0.385742134986445328603821280922,779,1231,1658
112,112_0,FAILED,SOBOL,,,,2121,0.037812680721282958262730033994,0.961999914132058653315482388280,4437,2660,4765
113,113_0,FAILED,SOBOL,,,,4461,0.536627193979918981625587548479,0.222764907339587814316672620407,2341,1624,81
114,114_0,FAILED,SOBOL,,,,3713,0.426576294183731052900299118846,0.588481722548603980449399841746,3053,227,1806
115,115_0,FAILED,SOBOL,,,,1073,0.925876208595931560196845566679,0.347270173104479884518269727778,170,4077,3355
116,116_0,FAILED,SOBOL,,,,621,0.362922237420454596446006689803,0.041289068127050999879035231288,1185,4791,4061
117,117_0,FAILED,SOBOL,,,,2954,0.861612805338576426272823027830,0.765905886061489571403626541723,3289,907,1099
