trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
44,44_0,COMPLETED,SOBOL,0.250000000000000000000000000000,1826.000000000000000000000000000000,0.179999999999999993338661852249,4203,12,1797,str\(\'KL\'\),str\(\'stdev\'\),0.147606879485771058657661569669,76,3
45,45_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1547.000000000000000000000000000000,0.040000000000000000832667268469,165,31,3235,str\(\'H\'\),str\(\'tstat\'\),0.978232177078723896812562088598,7,2
46,46_0,COMPLETED,SOBOL,0.250000000000000000000000000000,1592.000000000000000000000000000000,0.110000000000000000555111512313,1440,17,1089,str\(\'KL\'\),str\(\'tstat\'\),0.527490248749032608621689632855,39,3
47,47_0,COMPLETED,SOBOL,0.369999999999999995559107901499,1718.000000000000000000000000000000,0.239999999999999991118215802999,2949,52,4026,str\(\'H\'\),str\(\'stdev\'\),0.344949898149818190429272135589,71,3
48,48_0,COMPLETED,SOBOL,0.209999999999999992228438827624,1591.000000000000000000000000000000,0.050000000000000002775557561563,3002,19,2499,str\(\'KL\'\),str\(\'tstat\'\),0.378686067434027773259686000529,50,2
49,49_0,COMPLETED,SOBOL,0.140000000000000013322676295502,1528.000000000000000000000000000000,0.010000000000000000208166817117,1386,50,2627,str\(\'H\'\),str\(\'stdev\'\),0.748872835759073485206727127661,69,3
50,50_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1662.000000000000000000000000000000,0.040000000000000000832667268469,140,11,398,str\(\'KL\'\),str\(\'stdev\'\),0.759122201388701789426249888493,87,2
51,51_0,COMPLETED,SOBOL,0.460000000000000019984014443253,1641.000000000000000000000000000000,0.200000000000000011102230246252,4227,32,4645,str\(\'H\'\),str\(\'tstat\'\),0.115039688237011439309043225876,6,3
52,52_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1811.000000000000000000000000000000,0.239999999999999991118215802999,4842,6,3325,str\(\'H\'\),str\(\'stdev\'\),0.945578734736889581213858946285,51,2
53,53_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1771.000000000000000000000000000000,0.170000000000000012212453270877,794,37,1635,str\(\'KL\'\),str\(\'tstat\'\),0.178325859183445567524017860705,32,3
