trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
322,322_0,FAILED,SOBOL,,,,253,1450,2.660727684550918681338771420997,0.027128289370331914315270793736,True,True
323,323_0,FAILED,SOBOL,,,,4800,4940,5.452925523028709697825888724765,0.021030582984909416965901840513,False,False
324,324_0,FAILED,SOBOL,,,,4348,2221,8.935019721112213986202732485253,0.018388910534325987600201557370,False,False
325,325_0,FAILED,SOBOL,,,,779,3896,1.688777385263703800788448461390,0.037455336080864071179874486006,True,True
326,326_0,FAILED,SOBOL,,,,2471,681,7.121994546044618346058996394277,0.010971386490389705911652207249,True,True
327,327_0,FAILED,SOBOL,,,,2642,2892,4.760821544345469114034585800255,0.041828205278608948658458643877,False,False
328,328_0,FAILED,SOBOL,,,,3059,1683,6.350341325912625123351062939037,0.034186891079414638561217998358,True,False
329,329_0,FAILED,SOBOL,,,,1990,4392,4.258836875062436355676709354157,0.015512152530252934848342682983,False,True
330,330_0,FAILED,SOBOL,,,,1181,108,9.390356500185093935328950465191,0.038515952017158273934516188319,False,True
331,331_0,FAILED,SOBOL,,,,3852,3511,2.497390133484266527830186532810,0.008041757058817891601343319508,True,False
332,332_0,FAILED,SOBOL,,,,4651,1231,3.156114779480732934757725161035,0.003915048867464065822374674752,True,False
333,333_0,FAILED,SOBOL,,,,457,2661,6.222708536447026261839710059576,0.047330775328446185457043071665,False,True
334,334_0,FAILED,SOBOL,,,,1543,2141,0.085890149606391796854865106070,0.024291427586693319778943234155,False,True
335,335_0,FAILED,SOBOL,,,,3589,4285,8.032673300450667852601327467710,0.030000562075525524785568620700,True,False
336,336_0,FAILED,SOBOL,,,,3748,1952,3.852685474682599586770948008052,0.011483438857831061719050325109,False,True
337,337_0,FAILED,SOBOL,,,,1379,4164,6.760754926200957193316298798891,0.042911273341160273420147319712,True,False
338,338_0,FAILED,SOBOL,,,,611,950,1.894106846950016853625697876851,0.016438651926349849563546712261,True,False
339,339_0,FAILED,SOBOL,,,,4502,2623,9.999104092090391304736840538681,0.034909894806332886219024658203,False,True
340,340_0,FAILED,SOBOL,,,,4011,217,5.657892475717702041038137394935,0.026673639092128727245967212411,False,True
341,341_0,FAILED,SOBOL,,,,1017,3708,3.725212707684375512684482600889,0.019986792520619928864578085381,True,False
