trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
282,282_0,FAILED,SOBOL,3716,73,1986,0.723259518872946483014629848185,0.128839340772479771235481393887,2.534331483974121557167791252141,str\(\'ks-test\'\),str\(\'full\'\),3936
283,283_0,FAILED,SOBOL,2103,3115,4834,0.445692284636199476111073636275,0.696663609480485335190280693496,8.885999142093583103019227564801,str\(\'t-test\'\),str\(\'bounded\'\),1206
284,284_0,FAILED,SOBOL,1705,913,2932,0.279144228089600821007820741215,0.605524350006133360579951840919,5.315363872125745459129575465340,str\(\'ks-test\'\),str\(\'full\'\),4736
285,285_0,FAILED,SOBOL,2556,3486,94,0.546992966100573574372845087055,0.038663252739235758059788139462,1.706326385480351648382679741189,str\(\'t-test\'\),str\(\'bounded\'\),132
286,286_0,FAILED,SOBOL,4457,2441,3984,0.015351068580523132001136588087,0.372677148027345528369380645017,5.000308548538946240569202927873,str\(\'ks-test\'\),str\(\'bounded\'\),2179
287,287_0,FAILED,SOBOL,971,4379,1743,0.784517359158024230048056324449,0.803829853240400571401380602765,8.607341470686717954663436103147,str\(\'t-test\'\),str\(\'full\'\),3033
288,288_0,FAILED,SOBOL,1036,671,395,0.625671302989125210913812225044,0.088133490730077035379963490414,8.991568610374816472585735027678,str\(\'ks-test\'\),str\(\'full\'\),605
289,289_0,FAILED,SOBOL,4403,3723,2635,0.419737831790000182063948841460,0.519026569901034240395176766469,2.716933723069727246723914504400,str\(\'t-test\'\),str\(\'bounded\'\),4573
290,290_0,FAILED,SOBOL,2647,2189,1441,0.892933654954656930158307659440,0.820149570001289296428126363026,0.699091104200109891841918852151,str\(\'ks-test\'\),str\(\'bounded\'\),2561
291,291_0,FAILED,SOBOL,1604,4626,4279,0.186662951165810220288676646305,0.253056451652199032587020610663,6.972024709812366438654862577096,str\(\'t-test\'\),str\(\'full\'\),2341
292,292_0,FAILED,SOBOL,2168,1818,3643,0.105629710434004667196639104532,0.413320716818794620106558568295,8.478678871829993468622888030950,str\(\'ks-test\'\),str\(\'bounded\'\),3596
293,293_0,FAILED,SOBOL,3661,3786,795,0.817781386034563184672663282981,0.981407466869801292652653046389,4.792129068456590701430286571849,str\(\'t-test\'\),str\(\'full\'\),1502
