trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
16,16_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1971,990,0.981631443476304377249164190289,0.635049382656812655412181811698
17,17_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4650,3277,0.259835479730740170900560315204,0.359195585492998348264848118561
18,18_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3494,1501,0.698039386773481984604927674809,0.998339587118476590177351681632
19,19_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1096,4253,0.044412635331973433772123627250,0.026603211797773838181990768703
20,20_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,454,2421,0.429838969008997096032942408783,0.222519993718713532393493892414
21,21_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3086,4659,0.842800493611022827344925190118,0.755702319569885760941474472929
22,22_0,COMPLETED,SOBOL,0.579999999999999960031971113494,5.000000000000000000000000000000,1.000000000000000000000000000000,3774,109,0.154127271397039300460107824620,0.397214164257049584527692331903
23,23_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1485,2832,0.619527211295440749516671985475,0.612685318265110301361175970669
24,24_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1822,1657,0.191760589949786675045828587827,0.836007057044655055300097501458
25,25_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4211,3783,0.535097382869571425167976030934,0.186013653695583341951547140525
26,26_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.619999999999999995559107901499,2721,835,0.475292049583047604421892629034,0.543861507780849962045977008529
27,27_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,31,3748,0.750581419192254517547269188071,0.445508376117795701354395987437
28,28_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.750000000000000000000000000000,912,578,0.645787803146988137470430046960,0.298351389266550526269128340573
29,29_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3211,2674,0.112273106142878539848162233739,0.706673306431621295331524379435
30,30_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4858,1953,0.921560246542096117572384628147,0.068106313530355691576723131675
31,31_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2235,4817,0.335485285762697482692118455816,0.907194209009408947252950383699
32,32_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1.000000000000000000000000000000,0.849999999999999977795539507497,2324,336,0.030776969270780683840538216600,0.600876868184655910098967979138
33,33_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4927,2584,0.742877781106159096324859092420,0.377773740239441380150964278073
34,34_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3144,2175,0.308559462709352361198256176067,0.767296376705169702603370751604
35,35_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,825,4888,0.964079732226207797296524404373,0.242052984509617097330647084164
36,36_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,100,1728,0.570790375744923972334277095797,0.014989383190870283341089574947
37,37_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2810,4005,0.171661378676071757487520130780,0.978827289823442692195953895862
38,38_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.690000000000000057731597280508,4124,744,0.856453771078959147367015702912,0.370960499670356491641598495335
39,39_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1755,3506,0.385013419812545165665795821042,0.654532420553266991447571854223
40,40_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1552,2330,0.799305405888706466122073379665,0.926706989623606203210215426225
41,41_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3860,4417,0.457740334615111377214446974904,0.079720610585063703124042433501
42,42_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2.000000000000000000000000000000,0.910000000000000031086244689504,2997,180,0.521461713090539014103796944255,0.687189800087362523406397940562
43,43_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,384,3054,0.236598988000303517287292720539,0.286585991770029080427661938302
